Participant,Quality,Method,YearsCoding,JavaExperience
122,0,listen_29572299,2,3.0
122,0,messageSent_19413001,2,3.0
122,0,updateSchema_4627680,2,3.0
122,0,swapItems_36634895,2,3.0
122,0,testGetEmail_33718481,2,3.0
122,0,addPKColumn_51577053,2,3.0
122,0,go_14477536,2,3.0
122,0,getApplicableLaw_39298970,2,3.0
122,0,testOneTwoThreeCreateCycle_19507735,2,3.0
122,0,add_4114383,2,3.0
122,0,makeUniqueParagraphForGlobalWithLength_34105249,2,3.0
155,0,getImageWithSource_1782360,5,2.0
155,0,getUserNameFromCookie_1694531,5,2.0
155,0,addRotation_23014476,5,2.0
155,0,swapItems_36634895,5,2.0
155,0,actionPerformed_12725774,5,2.0
155,0,removeService_38221424,5,2.0
155,0,BFSdist_44521080,5,2.0
155,0,appendDeclarations_36405409,5,2.0
155,0,evaluate_45130358,5,2.0
155,0,updateGain_26215341,5,2.0
311,0,swapItems_36634895,9,5.0
311,0,getUserNameFromCookie_1694531,9,5.0
311,0,addPKColumn_51577053,9,5.0
311,0,getImageWithSource_1782360,9,5.0
176,0,swapItems_36634895,4,4.0
176,0,print_7957602,4,4.0
176,0,add_4114383,4,4.0
176,0,invalidateSession_18354735,4,4.0
176,0,selectBracketingEntries_40936756,4,4.0
176,0,updateSchema_4627680,4,4.0
176,0,getBackCommand22_40865212,4,4.0
176,0,testGetEmail_33718481,4,4.0
176,0,getImageWithSource_1782360,4,4.0
176,0,equals_10222579,4,4.0
176,0,setSecurityMode_38737384,4,4.0
310,0,handleHalt_19682824,10,1.0
310,0,messageSent_19413001,10,1.0
310,0,appendDeclarations_36405409,10,1.0
143,0,clearFieldersFromField_45147874,5,5.0
143,0,getImageWithSource_1782360,5,5.0
143,0,deleteCascade_34604973,5,5.0
143,0,updateSchema_4627680,5,5.0
147,1,go_14477536,4,1.0
147,1,equals_10222579,4,1.0
147,1,appendDeclarations_36405409,4,1.0
147,1,testInvoke_39233866,4,1.0
147,1,getImageWithSource_1782360,4,1.0
147,1,exportXVRL_45047585,4,1.0
147,1,populateNewList_34427273,4,1.0
147,1,getClassNameForLookAndFeel_19218425,4,1.0
147,1,setGenJarDir_31789275,4,1.0
147,1,add_4114383,4,1.0
147,1,getNAGString_43137003,4,1.0
147,1,BFSdist_44521080,4,1.0
147,1,testNegativeParseCases_31696447,4,1.0
147,1,clearFieldersFromField_45147874,4,1.0
147,1,messageSent_19413001,4,1.0
147,1,updateGain_26215341,4,1.0
147,1,updateSchema_4627680,4,1.0
147,1,actionPerformed_12725774,4,1.0
147,1,addPKColumn_51577053,4,1.0
147,1,testSetWelcomeMsg_33719869,4,1.0
314,1,print_7957602,5,3.0
314,1,actionPerformed_12725774,5,3.0
314,1,getClassNameForLookAndFeel_19218425,5,3.0
314,1,BFSdist_44521080,5,3.0
314,1,equals_10222579,5,3.0
314,1,updateGain_26215341,5,3.0
314,1,setGenJarDir_31789275,5,3.0
314,1,messageSent_19413001,5,3.0
314,1,getJSplitPane_39233258,5,3.0
314,1,getBackCommand2_29601536,5,3.0
314,1,testInvoke_39233866,5,3.0
314,1,removeService_38221424,5,3.0
318,1,toString_39120328,7,5.0
318,1,exportXVRL_45047585,7,5.0
318,1,equals_10222579,7,5.0
318,1,testNegativeParseCases_31696447,7,5.0
318,1,BFSdist_44521080,7,5.0
318,1,testValidateSeparationCount_26285656,7,5.0
318,1,add_4114383,7,5.0
318,1,makeUniqueParagraphForGlobalWithLength_34105249,7,5.0
318,1,createChecklistItem_49866815,7,5.0
318,1,go_14477536,7,5.0
318,1,testInvoke_39233866,7,5.0
318,1,setGenJarDir_31789275,7,5.0
318,1,addPKColumn_51577053,7,5.0
318,1,actionPerformed_12725774,7,5.0
318,1,updateGain_26215341,7,5.0
319,1,evaluate_45130358,11,1.0
319,1,visitRetStmt_13482891,11,1.0
319,1,actionPerformed_12725774,11,1.0
319,1,testNegativeParseCases_31696447,11,1.0
319,1,goToRegistration_47570692,11,1.0
319,1,appendDeclarations_36405409,11,1.0
319,1,createCacheFile_50995324,11,1.0
319,1,getTargetServiceName_29318894,11,1.0
136,1,appendDeclarations_36405409,5,1.0
136,1,goToRegistration_47570692,5,1.0
136,1,setGenJarDir_31789275,5,1.0
136,1,swapItems_36634895,5,1.0
136,1,go_14477536,5,1.0
136,1,messageSent_19413001,5,1.0
136,1,actionPerformed_12725774,5,1.0
136,1,deleteCascade_34604973,5,1.0
136,1,testValidateSeparationCount_26285656,5,1.0
136,1,print_7957602,5,1.0
136,1,getUserNameFromCookie_1694531,5,1.0
136,1,updateGain_26215341,5,1.0
312,1,add_4114383,8,1.0
312,1,test_10_bug2689872_19498280,8,1.0
312,1,testInvoke_39233866,8,1.0
312,1,actionPerformed_12725774,8,1.0
313,1,testNegativeParseCases_31696447,14,3.0
313,1,compareTo_17121898,14,3.0
313,1,getEffect_47571922,14,3.0
313,1,appendDeclarations_36405409,14,3.0
191,1,setSecurityMode_38737384,4,1.0
191,1,setPhoto_50994916,4,1.0
191,1,updateGain_26215341,4,1.0
191,1,getUserNameFromCookie_1694531,4,1.0
191,1,appendDeclarations_36405409,4,1.0
168,1,testGetEmail_33718481,4,2.0
168,1,compareTo_17121898,4,2.0
168,1,getImageWithSource_1782360,4,2.0
168,1,updateSchema_4627680,4,2.0
168,1,test_10_bug2689872_19498280,4,2.0
168,1,appendDeclarations_36405409,4,2.0
168,1,store_20787007,4,2.0
168,1,getUserNameFromCookie_1694531,4,2.0
168,1,testNegativeParseCases_31696447,4,2.0
168,1,equals_10222579,4,2.0
168,1,testOneTwoThreeCreateCycle_19507735,4,2.0
168,1,exportXVRL_45047585,4,2.0
168,1,readFromFile_16777940,4,2.0
168,1,setGenJarDir_31789275,4,2.0
168,1,actionPerformed_12725774,4,2.0
186,1,testNegativeParseCases_31696447,4,3.0
186,1,appendDeclarations_36405409,4,3.0
186,1,testValidateSeparationCount_26285656,4,3.0
186,1,add_4114383,4,3.0
186,1,updateGain_26215341,4,3.0
139,1,liesBetween_39299426,4,2.0
139,1,setGenJarDir_31789275,4,2.0
139,1,messageSent_19413001,4,2.0
317,1,add_4114383,5,2.0
317,1,equals_10222579,5,2.0
317,1,store_20787007,5,2.0
317,1,deleteCascade_34604973,5,2.0
317,1,BFSdist_44521080,5,2.0
317,1,setGenJarDir_31789275,5,2.0
106,1,setPhoto_50994916,6,4.0
106,1,searchRecipe_18421665,6,4.0
106,1,BFSdist_44521080,6,4.0
106,1,appendDeclarations_36405409,6,4.0
106,1,updateSchema_4627680,6,4.0
106,1,testNegativeParseCases_31696447,6,4.0
106,1,go_14477536,6,4.0
106,1,getImageWithSource_1782360,6,4.0
106,1,test_10_bug2689872_19498280,6,4.0
133,1,setPhoto_50994916,5,3.0
133,1,go_14477536,5,3.0
133,1,testNegativeParseCases_31696447,5,3.0
133,1,exportXVRL_45047585,5,3.0
133,1,messageSent_19413001,5,3.0
133,1,BFSdist_44521080,5,3.0
133,1,actionPerformed_12725774,5,3.0
133,1,getBackCommand2_29601536,5,3.0
133,1,equals_10222579,5,3.0
166,1,add_4114383,6,4.0
166,1,equals_10222579,6,4.0
166,1,getBackCommand2_29601536,6,4.0
166,1,appendDeclarations_36405409,6,4.0
166,1,BFSdist_44521080,6,4.0
166,1,showLatestPlan_18418213,6,4.0
166,1,updateSchema_4627680,6,4.0
166,1,setPhoto_50994916,6,4.0
166,1,testNegativeParseCases_31696447,6,4.0
166,1,compareTo_17121898,6,4.0
166,1,testOneTwoThreeCreateCycle_19507735,6,4.0
111,1,go_14477536,2,1.0
111,1,actionPerformed_12725774,2,1.0
111,1,setUpMrj_14467418,2,1.0
111,1,updateGain_26215341,2,1.0
111,1,BFSdist_44521080,2,1.0
111,1,print_7957602,2,1.0
111,1,appendDeclarations_36405409,2,1.0
111,1,setGenJarDir_31789275,2,1.0
111,1,testOneTwoThreeCreateCycle_19507735,2,1.0
111,1,add_4114383,2,1.0
111,1,testNegativeParseCases_31696447,2,1.0
182,1,invalidateSession_18354735,3,2.5
182,1,appendDeclarations_36405409,3,2.5
182,1,setGenJarDir_31789275,3,2.5
182,1,getUserNameFromCookie_1694531,3,2.5
182,1,updateGain_26215341,3,2.5
182,1,getImageWithSource_1782360,3,2.5
182,1,BFSdist_44521080,3,2.5
189,1,abstractMatrix3D_12723449,8,3.0
189,1,go_14477536,8,3.0
189,1,isInvalidEmailLink_49250848,8,3.0
189,1,testNegativeParseCases_31696447,8,3.0
189,1,getNAGString_43137003,8,3.0
189,1,actionPerformed_12725774,8,3.0
129,1,BFSdist_44521080,1,1.0
129,1,actionPerformed_12725774,1,1.0
129,1,abstractMatrix3D_12723449,1,1.0
117,1,swapItems_36634895,4,1.0
117,1,messageSent_19413001,4,1.0
117,1,setGenJarDir_31789275,4,1.0
122,1,BFSdist_44521080,2,3.0
122,1,testNegativeParseCases_31696447,2,3.0
122,1,setGenJarDir_31789275,2,3.0
155,1,add_4114383,5,2.0
155,1,testOneTwoThreeCreateCycle_19507735,5,2.0
311,1,testSetWelcomeMsg_33719869,9,5.0
311,1,setGenJarDir_31789275,9,5.0
311,1,addRotation_23014476,9,5.0
311,1,clearFieldersFromField_45147874,9,5.0
311,1,testSetExample_50891793,9,5.0
311,1,liesBetween_39299426,9,5.0
311,1,BFSdist_44521080,9,5.0
311,1,appendDeclarations_36405409,9,5.0
311,1,add_4114383,9,5.0
311,1,updateGain_26215341,9,5.0
311,1,actionPerformed_12725774,9,5.0
311,1,go_14477536,9,5.0
176,1,searchRecipe_18421665,4,4.0
176,1,setGenJarDir_31789275,4,4.0
176,1,store_20787007,4,4.0
310,1,testMoveRFWithNullContainer_19507414,10,1.0
310,1,addPKColumn_51577053,10,1.0
310,1,equals_10222579,10,1.0
310,1,actionPerformed_12725774,10,1.0
310,1,getImageWithSource_1782360,10,1.0
310,1,testNegativeParseCases_31696447,10,1.0
310,1,BFSdist_44521080,10,1.0
310,1,updateGain_26215341,10,1.0
143,1,testOneTwoThreeCreateCycle_19507735,5,5.0
143,1,swapItems_36634895,5,5.0
143,1,getNAGString_43137003,5,5.0
143,1,selectBracketingEntries_40936756,5,5.0
143,1,getEffect_47571922,5,5.0
143,1,equals_10222579,5,5.0
