,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,testGetClassification.0,System.0,out.0,println.0,"""getClassification"".0",SystemClient_DBImpl.0,instance.0,=.0,new.0,SystemClient_DBImpl.1,Set.0,expResult.0,=.1,nan.0,Set.1,result.0,=.2,instance.1,getClassification.0,assertEquals.0,expResult.1,result.1,// TODO review the generated test code and remove the default call to fail..200,fail.0,"""The test case is a prototype. "".100",prewritten,accurate,missing,unnecessary,readable,code
0,136,testGetClassification,33719607,1210533319834,19047715432,1,1,"(0.9069150686264038, 0.8392316102981567)","(0.9281861186027527, 0.8787822127342224)",1,1,2.7523956298828125,2.6427001953125,Fixation,POINT (0.9175505936145782 0.8590069115161896),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533328167,19047723765,1,1,"(0.9049249291419983, 0.8433775901794434)","(0.9274691343307495, 0.8807663917541504)",1,1,2.760406494140625,2.653961181640625,Fixation,POINT (0.9161970317363739 0.8620719909667969),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533336501,19047732099,1,1,"(0.9052438735961914, 0.8412559628486633)","(0.9299889206886292, 0.8742541074752808)",1,1,2.7454376220703125,2.6441650390625,Fixation,POINT (0.9176163971424103 0.857755035161972),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533344834,19047740432,1,1,"(0.9057177305221558, 0.8503990769386292)","(0.9293349385261536, 0.875809371471405)",1,1,2.7557830810546875,2.63507080078125,Fixation,POINT (0.9175263345241547 0.8631042242050171),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533353167,19047748765,1,1,"(0.9034751057624817, 0.8451308012008667)","(0.9290426969528198, 0.8741117715835571)",1,1,2.7567596435546875,2.6454620361328125,Fixation,POINT (0.9162589013576508 0.8596212863922119),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533361504,19047757102,1,1,"(0.9035201668739319, 0.8429278135299683)","(0.9296268820762634, 0.8705689907073975)",1,1,2.75054931640625,2.6239013671875,Fixation,POINT (0.9165735244750977 0.8567484021186829),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533369838,19047765436,1,1,"(0.906055212020874, 0.839932382106781)","(0.9278184771537781, 0.8846713304519653)",1,1,2.737655639648437,2.6261444091796875,Fixation,POINT (0.916936844587326 0.8623018562793732),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533378172,19047773770,1,1,"(0.9100900292396545, 0.8403975963592529)","(0.9270920157432556, 0.878110945224762)",1,1,2.739974975585937,2.6297149658203125,Fixation,POINT (0.9185910224914551 0.8592542707920074),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533386505,19047782103,1,1,"(0.9025515913963318, 0.8477259278297424)","(0.9282287955284119, 0.8673048615455627)",1,1,2.7514801025390625,2.6345977783203125,Fixation,POINT (0.9153901934623718 0.8575153946876526),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533394838,19047790436,1,1,"(0.9027668237686157, 0.8407002687454224)","(0.9269413352012634, 0.8813328742980957)",1,1,2.757659912109375,2.6253814697265625,Fixation,POINT (0.9148540794849396 0.861016571521759),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533403171,19047798769,1,1,"(0.8963427543640137, 0.8381041884422302)","(0.9299021363258362, 0.8740024566650391)",1,1,2.7523956298828125,2.616073608398437,Fixation,POINT (0.9131224453449249 0.8560533225536346),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533411505,19047807103,1,1,"(0.9019690155982971, 0.8425258994102478)","(0.9292200803756714, 0.8730068802833557)",1,1,2.730682373046875,2.62054443359375,Fixation,POINT (0.9155945479869843 0.8577663898468018),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533419838,19047815436,1,1,"(0.9040418863296509, 0.8417632579803467)","(0.926186203956604, 0.882853090763092)",1,1,2.737518310546875,2.626815795898437,Fixation,POINT (0.9151140451431274 0.8623081743717194),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533428171,19047823769,1,1,"(0.9017136096954346, 0.8471888303756714)","(0.9292753338813782, 0.88204026222229)",1,1,2.750823974609375,2.6039276123046875,Fixation,POINT (0.9154944717884064 0.8646145462989807),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533436505,19047832103,1,1,"(0.9057130217552185, 0.8404004573822021)","(0.9262765049934387, 0.8758721947669983)",1,1,2.720916748046875,2.627288818359375,Fixation,POINT (0.9159947633743286 0.8581363260746002),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533444838,19047840436,1,1,"(0.9061702489852905, 0.8398589491844177)","(0.9280690550804138, 0.8781841993331909)",1,1,2.720184326171875,2.6266632080078125,Fixation,POINT (0.9171196520328522 0.8590215742588043),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533453171,19047848769,1,1,"(0.905481219291687, 0.8392244577407837)","(0.9299202561378479, 0.8710314035415649)",1,1,2.734710693359375,2.626251220703125,Fixation,POINT (0.9177007377147675 0.8551279306411743),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533461505,19047857103,1,1,"(0.9085640907287598, 0.8391605615615845)","(0.9266520738601685, 0.8787971138954163)",1,1,2.733139038085937,2.61480712890625,Fixation,POINT (0.9176080822944641 0.8589788377285004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533469838,19047865436,1,1,"(0.9017131924629211, 0.8357200026512146)","(0.9255083203315735, 0.8831248879432678)",1,1,2.72967529296875,2.5824432373046875,Fixation,POINT (0.9136107563972473 0.8594224452972412),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533528177,19047923775,1,1,"(0.6668766736984253, 0.20865291357040405)","(0.6833224892616272, 0.19784237444400787)",1,1,2.71929931640625,2.696990966796875,Fixation,POINT (0.6750995814800262 0.203247644007206),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,testGetClassification,33719607,1210533536511,19047932109,1,1,"(0.6705282330513, 0.2126678228378296)","(0.6791471242904663, 0.22430099546909332)",1,1,2.713958740234375,2.6576690673828125,Fixation,POINT (0.6748376786708832 0.2184844091534615),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533544845,19047940442,1,1,"(0.6704073548316956, 0.20175763964653015)","(0.6796450614929199, 0.22722989320755005)",1,1,2.7273712158203125,2.6424560546875,Fixation,POINT (0.6750262081623077 0.2144937664270401),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533553178,19047948775,1,1,"(0.672880232334137, 0.20519879460334778)","(0.6764348149299622, 0.23089124262332916)",1,1,2.712371826171875,2.639923095703125,Fixation,POINT (0.6746575236320496 0.2180450186133385),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533561512,19047957109,1,1,"(0.6760128140449524, 0.20889787375926971)","(0.6735568046569824, 0.23688261210918427)",1,1,2.72430419921875,2.619735717773437,Fixation,POINT (0.6747848093509674 0.222890242934227),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533569845,19047965442,1,1,"(0.6753580570220947, 0.21084313094615936)","(0.6720514893531799, 0.23565542697906494)",1,1,2.688232421875,2.620086669921875,Fixation,POINT (0.6737047731876373 0.2232492789626122),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533578178,19047973775,1,1,"(0.6763925552368164, 0.22315379977226257)","(0.6752254962921143, 0.2328590452671051)",1,1,2.7113800048828125,2.6294097900390625,Fixation,POINT (0.6758090257644653 0.2280064225196838),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533586511,19047982108,1,1,"(0.6758126020431519, 0.21262770891189575)","(0.6739796996116638, 0.23949243128299713)",1,1,2.6780242919921875,2.6311492919921875,Fixation,POINT (0.6748961508274078 0.2260600700974464),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533594845,19047990442,1,1,"(0.678592324256897, 0.21425466239452362)","(0.6722315549850464, 0.24362239241600037)",1,1,2.702255249023437,2.63311767578125,Fixation,POINT (0.6754119396209717 0.228938527405262),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533603178,19047998775,1,1,"(0.6757474541664124, 0.21764706075191498)","(0.6750490665435791, 0.2412910908460617)",1,1,2.6937713623046875,2.6351776123046875,Fixation,POINT (0.6753982603549957 0.2294690757989883),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533611511,19048007108,1,1,"(0.6790013909339905, 0.21459749341011047)","(0.6738081574440002, 0.23994691669940948)",1,1,2.690216064453125,2.632354736328125,Fixation,POINT (0.6764047741889954 0.22727220505476),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533619845,19048015442,1,1,"(0.6787984371185303, 0.21730151772499084)","(0.6741325259208679, 0.23865021765232086)",1,1,2.6952362060546875,2.6295318603515625,Fixation,POINT (0.6764654815196991 0.2279758676886558),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533628183,19048023780,1,1,"(0.6765144467353821, 0.21336805820465088)","(0.67398601770401, 0.23809990286827087)",1,1,2.696746826171875,2.61553955078125,Fixation,POINT (0.675250232219696 0.2257339805364609),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533636514,19048032112,1,1,"(0.6769203543663025, 0.2167501449584961)","(0.6732150912284851, 0.2370993196964264)",1,1,2.685943603515625,2.634918212890625,Fixation,POINT (0.6750677227973938 0.2269247323274612),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533644848,19048040446,1,1,"(0.6751860976219177, 0.21443526446819305)","(0.6744903326034546, 0.23968324065208435)",1,1,2.6749725341796875,2.6333770751953125,Fixation,POINT (0.6748382151126862 0.2270592525601387),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533653181,19048048779,1,1,"(0.677256166934967, 0.21711188554763794)","(0.6744805574417114, 0.23308058083057404)",1,1,2.678085327148437,2.61798095703125,Fixation,POINT (0.6758683621883392 0.225096233189106),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533661514,19048057112,1,1,"(0.6790518760681152, 0.21004562079906464)","(0.6739962100982666, 0.23087523877620697)",1,1,2.67401123046875,2.6181640625,Fixation,POINT (0.6765240430831909 0.2204604297876358),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533669848,19048065446,1,1,"(0.6787739992141724, 0.20535261929035187)","(0.6762475967407227, 0.2393670231103897)",1,1,2.6684112548828125,2.630523681640625,Fixation,POINT (0.6775107979774475 0.2223598212003708),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533678181,19048073779,1,1,"(0.6776111125946045, 0.2198093980550766)","(0.6761701703071594, 0.23690840601921082)",1,1,2.665023803710937,2.612945556640625,Fixation,POINT (0.676890641450882 0.2283589020371437),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533686514,19048082112,1,1,"(0.6767884492874146, 0.22224858403205872)","(0.6764839887619019, 0.2377021312713623)",1,1,2.670196533203125,2.621734619140625,Fixation,POINT (0.6766362190246582 0.2299753576517105),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533694848,19048090446,1,1,"(0.6778643727302551, 0.2134162336587906)","(0.6762482523918152, 0.23327793180942535)",1,1,2.649139404296875,2.6163787841796875,Fixation,POINT (0.6770563125610352 0.223347082734108),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533703181,19048098779,1,1,"(0.6780803799629211, 0.21714867651462555)","(0.6778715252876282, 0.22981484234333038)",1,1,2.6641998291015625,2.6122283935546875,Fixation,POINT (0.6779759526252747 0.223481759428978),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533711515,19048107113,1,1,"(0.67945796251297, 0.21807417273521423)","(0.6770215630531311, 0.23350340127944946)",1,1,2.6697235107421875,2.6294708251953125,Fixation,POINT (0.6782397627830505 0.2257887870073318),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533719848,19048115446,1,1,"(0.6763639450073242, 0.2162487506866455)","(0.6774082183837891, 0.2399298995733261)",1,1,2.65869140625,2.6280975341796875,Fixation,POINT (0.6768860816955566 0.2280893251299858),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533728182,19048123780,1,1,"(0.6787111759185791, 0.21837423741817474)","(0.6771242618560791, 0.2324310839176178)",1,1,2.654525756835937,2.6208648681640625,Fixation,POINT (0.6779177188873291 0.2254026606678963),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533736515,19048132113,1,1,"(0.6849209666252136, 0.2181529402732849)","(0.6821721196174622, 0.23420728743076324)",1,1,2.6661529541015625,2.602279663085937,Fixation,POINT (0.6835465431213379 0.2261801138520241),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210533769852,19048165450,1,1,"(0.7657713294029236, 0.21023613214492798)","(0.7715031504631042, 0.23050086200237274)",1,1,2.642791748046875,2.5782928466796875,Fixation,POINT (0.7686372399330139 0.2203684970736504),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,testGetClassification,33719607,1210533778185,19048173783,1,1,"(0.7667231559753418, 0.21024039387702942)","(0.7726590633392334, 0.23444324731826782)",1,1,2.629501342773437,2.5850982666015625,Fixation,POINT (0.7696911096572876 0.2223418205976486),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,testGetClassification,33719607,1210533786519,19048182117,1,1,"(0.7716124057769775, 0.21068443357944489)","(0.7749143838882446, 0.232086181640625)",1,1,2.6318511962890625,2.57476806640625,Fixation,POINT (0.7732633948326111 0.2213853076100349),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,testGetClassification,33719607,1210533794852,19048190450,1,1,"(0.7713439464569092, 0.2059016078710556)","(0.7771837711334229, 0.22141654789447784)",1,1,2.619125366210937,2.56304931640625,Fixation,POINT (0.774263858795166 0.2136590778827667),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,testGetClassification,33719607,1210533803185,19048198783,1,1,"(0.7701383829116821, 0.20746247470378876)","(0.7785250544548035, 0.22719275951385498)",1,1,2.61920166015625,2.5789794921875,Fixation,POINT (0.7743317186832428 0.2173276171088219),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,testGetClassification,33719607,1210533811519,19048207117,1,1,"(0.7710611820220947, 0.20687788724899292)","(0.7740275263786316, 0.22151412069797516)",1,1,2.6109771728515625,2.560531616210937,Fixation,POINT (0.7725443542003632 0.214196003973484),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,testGetClassification,33719607,1210533819852,19048215450,1,1,"(0.770835280418396, 0.2069845050573349)","(0.7718471884727478, 0.22797945141792297)",1,1,2.6000518798828125,2.5555877685546875,Fixation,POINT (0.7713412344455719 0.2174819782376289),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,testGetClassification,33719607,1210533828186,19048223783,1,1,"(0.773852527141571, 0.21085622906684875)","(0.7763002514839172, 0.2217223197221756)",1,1,2.60205078125,2.564239501953125,Fixation,POINT (0.7750763893127441 0.2162892743945122),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,testGetClassification,33719607,1210533836519,19048232116,1,1,"(0.7717529535293579, 0.2082718461751938)","(0.7760931253433228, 0.22437776625156403)",1,1,2.603668212890625,2.56298828125,Fixation,POINT (0.7739230394363403 0.2163248062133789),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,testGetClassification,33719607,1210533844853,19048240450,1,1,"(0.7675594687461853, 0.20441316068172455)","(0.7718315124511719, 0.22140148282051086)",1,1,2.593963623046875,2.5593414306640625,Fixation,POINT (0.7696954905986786 0.2129073217511177),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,testGetClassification,33719607,1210533853186,19048248783,1,1,"(0.7707402110099792, 0.2074960619211197)","(0.7752919793128967, 0.22000032663345337)",1,1,2.596588134765625,2.542343139648437,Fixation,POINT (0.773016095161438 0.2137481942772865),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,testGetClassification,33719607,1210533861519,19048257116,1,1,"(0.7698821425437927, 0.2007470428943634)","(0.7793936729431152, 0.21872258186340332)",1,1,2.5965576171875,2.544677734375,Fixation,POINT (0.774637907743454 0.2097348123788834),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,testGetClassification,33719607,1210533869853,19048265450,1,1,"(0.769544243812561, 0.19746340811252594)","(0.7740320563316345, 0.216452494263649)",1,1,2.598541259765625,2.5388946533203125,Fixation,POINT (0.7717881500720978 0.2069579511880875),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,testGetClassification,33719607,1210533878186,19048273783,1,1,"(0.7702702879905701, 0.2055368721485138)","(0.7764253616333008, 0.2226896435022354)",1,1,2.5801239013671875,2.5268096923828125,Fixation,POINT (0.7733478248119354 0.2141132578253746),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,testGetClassification,33719607,1210533886523,19048282120,1,1,"(0.7683700323104858, 0.19855156540870667)","(0.7721968293190002, 0.2241770625114441)",1,1,2.5806427001953125,2.50390625,Fixation,POINT (0.770283430814743 0.2113643139600754),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,testGetClassification,33719607,1210533894857,19048290454,1,1,"(0.7729125022888184, 0.2027333825826645)","(0.7741345763206482, 0.23014947772026062)",1,1,2.581329345703125,2.5000457763671875,Fixation,POINT (0.7735235393047333 0.2164414301514626),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,testGetClassification,33719607,1210533903190,19048298787,1,1,"(0.7678060531616211, 0.21192607283592224)","(0.7733066082000732, 0.23217594623565674)",1,1,2.580551147460937,2.490966796875,Fixation,POINT (0.7705563306808472 0.2220510095357895),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,testGetClassification,33719607,1210533911523,19048307120,1,1,"(0.7693750858306885, 0.21300053596496582)","(0.7718741297721863, 0.2353307008743286)",1,1,2.562408447265625,2.483489990234375,Fixation,POINT (0.7706246078014374 0.2241656184196472),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,testGetClassification,33719607,1210533919856,19048315453,1,1,"(0.7685661911964417, 0.1964007169008255)","(0.7697888612747192, 0.23928065598011017)",1,1,2.554046630859375,2.4570770263671875,Fixation,POINT (0.7691775262355804 0.2178406864404678),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,testGetClassification,33719607,1210533928190,19048323787,1,1,"(0.7696555256843567, 0.20356851816177368)","(0.7729165554046631, 0.23913709819316864)",1,1,2.555282592773437,2.4677886962890625,Fixation,POINT (0.7712860405445099 0.2213528081774712),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,testGetClassification,33719607,1210533936523,19048332120,1,1,"(0.7726491093635559, 0.21377798914909363)","(0.771873950958252, 0.240634024143219)",1,1,2.5537567138671875,2.444244384765625,Fixation,POINT (0.7722615301609039 0.2272060066461563),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,testGetClassification,33719607,1210533944857,19048340454,1,1,"(0.7695692777633667, 0.20023222267627716)","(0.7743422389030457, 0.24862052500247955)",1,1,2.538192749023437,2.4464874267578125,Fixation,POINT (0.7719557583332062 0.2244263738393784),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,testGetClassification,33719607,1210533953190,19048348787,1,1,"(0.771967887878418, 0.21207945048809052)","(0.7720159888267517, 0.2391701340675354)",1,1,2.56634521484375,2.452117919921875,Fixation,POINT (0.7719919383525848 0.225624792277813),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,testGetClassification,33719607,1210533961523,19048357120,1,1,"(0.7705678343772888, 0.2086380571126938)","(0.7745607495307922, 0.24702076613903046)",1,1,2.544464111328125,2.4306182861328125,Fixation,POINT (0.7725642919540405 0.2278294116258621),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,testGetClassification,33719607,1210533969857,19048365454,1,1,"(0.7611295580863953, 0.2151365429162979)","(0.7633283734321594, 0.23961208760738373)",1,1,2.544097900390625,2.4160308837890625,Fixation,POINT (0.7622289657592773 0.2273743152618408),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,testGetClassification,33719607,1210534011525,19048407122,1,1,"(0.6623899936676025, 0.22357144951820374)","(0.6690320372581482, 0.2831989526748657)",1,1,2.50250244140625,2.30242919921875,Fixation,POINT (0.6657110154628754 0.2533852010965347),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210534019866,19048415463,1,1,"(0.6615861058235168, 0.21329903602600098)","(0.6680943369865417, 0.2591532766819)",1,1,2.489730834960937,2.355926513671875,Fixation,POINT (0.6648402214050293 0.2362261563539505),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210534028199,19048423796,1,1,"(0.6635120511054993, 0.2279835194349289)","(0.6641696691513062, 0.23393407464027405)",1,1,2.5028228759765625,2.4381256103515625,Fixation,POINT (0.6638408601284027 0.2309587970376015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210534036532,19048432129,1,1,"(0.6642304062843323, 0.2235494703054428)","(0.6649861335754395, 0.2103092521429062)",1,1,2.492462158203125,2.4786834716796875,Fixation,POINT (0.6646082699298859 0.2169293612241745),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testGetClassification,33719607,1210534044866,19048440463,1,1,"(0.6625640392303467, 0.23590563237667084)","(0.6636043190956116, 0.18890050053596497)",1,1,2.508056640625,2.496551513671875,Fixation,POINT (0.6630841791629791 0.2124030664563179),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
