,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,protected.0,void.0,createNewServerProcess.0,Socket.0,socket.0,logger.0,info.0,"""Received connection on port "".100",+.0,getPort.0,+.1,""" from ["".101",+.2,socket.1,getInetAddress.0,+.3,""":"".0",+.4,socket.2,getPort.1,+.5,"""]."".0",Thread.0,t.0,=.0,new.0,Thread.1,getNewServerProcess.0,socket.3,t.1,start.0,getServerProcesses.0,add.0,t.2,new.1,Thread.2,new.2,Monitor.0,t.3,)).0,start.1,prewritten,accurate,missing,unnecessary,readable,code
0,136,createNewServerProcess,3457090,1210093827927,18608225151,1,1,"(0.9116591811180115, 0.8520753383636475)","(0.9395017027854919, 0.8991440534591675)",1,1,2.6534881591796875,2.53509521484375,Fixation,POINT (0.9255804419517517 0.8756096959114075),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210093836260,18608233484,1,1,"(0.9179723262786865, 0.8531438708305359)","(0.9396193027496338, 0.8903956413269043)",1,1,2.64190673828125,2.528564453125,Fixation,POINT (0.9287958145141602 0.8717697560787201),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210093844594,18608241818,1,1,"(0.9121825695037842, 0.8541960716247559)","(0.9295139908790588, 0.8911904692649841)",1,1,2.64605712890625,2.5422821044921875,Fixation,POINT (0.9208482801914215 0.87269327044487),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210093852928,18608250152,1,1,"(0.9121294021606445, 0.8588829040527344)","(0.9280381202697754, 0.8910843729972839)",1,1,2.6560821533203125,2.579132080078125,Fixation,POINT (0.92008376121521 0.8749836385250092),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210093861269,18608258493,1,1,"(0.911183774471283, 0.8582383394241333)","(0.9441901445388794, 0.8917681574821472)",1,1,2.6458740234375,2.540252685546875,Fixation,POINT (0.9276869595050812 0.8750032484531403),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210093869603,18608266827,1,1,"(0.9161309599876404, 0.8555800914764404)","(0.9304212927818298, 0.8960550427436829)",1,1,2.6399383544921875,2.55010986328125,Fixation,POINT (0.9232761263847351 0.8758175671100616),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210093877936,18608275160,1,1,"(0.9174593091011047, 0.8513144254684448)","(0.9337236881256104, 0.8998386263847351)",1,1,2.654281616210937,2.52215576171875,Fixation,POINT (0.9255914986133575 0.87557652592659),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210093886269,18608283493,1,1,"(0.9159747958183289, 0.8473129868507385)","(0.9351049065589905, 0.8887684345245361)",1,1,2.6427001953125,2.5540313720703125,Fixation,POINT (0.9255398511886597 0.8680407106876373),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210093894601,18608291825,1,1,"(0.9144425392150879, 0.8468060493469238)","(0.9341772794723511, 0.8989254236221313)",1,1,2.6562652587890625,2.5216827392578125,Fixation,POINT (0.9243099093437195 0.8728657364845276),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210093902934,18608300158,1,1,"(0.9112153053283691, 0.8504020571708679)","(0.9346591234207153, 0.9022965431213379)",1,1,2.649810791015625,2.5386962890625,Fixation,POINT (0.9229372143745422 0.8763493001461029),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210093911269,18608308493,1,1,"(0.9150897860527039, 0.8477386832237244)","(0.9362937211990356, 0.8976494669914246)",1,1,2.656707763671875,2.5290985107421875,Fixation,POINT (0.9256917536258698 0.8726940751075745),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210093919601,18608316825,1,1,"(0.9119745492935181, 0.8531212210655212)","(0.9339389204978943, 0.8929275274276733)",1,1,2.6577606201171875,2.550018310546875,Fixation,POINT (0.9229567348957062 0.8730243742465973),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210093927934,18608325158,1,1,"(0.9132958054542542, 0.8502922058105469)","(0.9298360347747803, 0.8908868432044983)",1,1,2.65386962890625,2.5475006103515625,Fixation,POINT (0.9215659201145172 0.8705895245075226),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210093936268,18608333492,1,1,"(0.9095785021781921, 0.8523552417755127)","(0.9316919445991516, 0.8839870095252991)",1,1,2.653427124023437,2.54547119140625,Fixation,POINT (0.9206352233886719 0.8681711256504059),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210093944601,18608341825,1,1,"(0.9131805300712585, 0.8480641841888428)","(0.9296758770942688, 0.8949138522148132)",1,1,2.6531524658203125,2.5293121337890625,Fixation,POINT (0.9214282035827637 0.871489018201828),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210093952934,18608350158,1,1,"(0.9120548963546753, 0.8476282358169556)","(0.9268969893455505, 0.8997530341148376)",1,1,2.65643310546875,2.51837158203125,Fixation,POINT (0.9194759428501129 0.8736906349658966),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210093961267,18608358491,1,1,"(0.9153985381126404, 0.8497104048728943)","(0.9355007410049438, 0.891401469707489)",1,1,2.645843505859375,2.5240631103515625,Fixation,POINT (0.9254496395587921 0.8705559372901917),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210093969601,18608366825,1,1,"(0.912841796875, 0.8458266854286194)","(0.9378390908241272, 0.8890377283096313)",1,1,2.6473846435546875,2.5333404541015625,Fixation,POINT (0.9253404438495636 0.8674322068691254),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210093977935,18608375159,1,1,"(0.9134149551391602, 0.8462061882019043)","(0.9362854361534119, 0.8926092386245728)",1,1,2.638900756835937,2.5556793212890625,Fixation,POINT (0.924850195646286 0.8694077134132385),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210093986267,18608383491,1,1,"(0.9111936092376709, 0.8463353514671326)","(0.9281449317932129, 0.893303632736206)",1,1,2.66082763671875,2.5366668701171875,Fixation,POINT (0.9196692705154419 0.8698194921016693),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210093994605,18608391829,1,1,"(0.9136889576911926, 0.8412249684333801)","(0.924810528755188, 0.8930346965789795)",1,1,2.65802001953125,2.564315795898437,Fixation,POINT (0.9192497432231903 0.8671298325061798),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210094002938,18608400162,1,1,"(0.9109578132629395, 0.8476224541664124)","(0.9276719689369202, 0.8959541320800781)",1,1,2.6381378173828125,2.5457916259765625,Fixation,POINT (0.9193148910999298 0.8717882931232452),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210094061275,18608458498,1,1,"(0.6846900582313538, 0.19906485080718994)","(0.6956151723861694, 0.2283167988061905)",1,1,2.6528472900390625,2.598663330078125,Fixation,POINT (0.6901526153087616 0.2136908248066902),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210094069608,18608466831,1,1,"(0.6914248466491699, 0.1987307369709015)","(0.6914188861846924, 0.22218909859657288)",1,1,2.6632232666015625,2.611190795898437,Fixation,POINT (0.6914218664169312 0.2104599177837372),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210094077941,18608475164,1,1,"(0.6848721504211426, 0.19756099581718445)","(0.6850932240486145, 0.22849729657173157)",1,1,2.656112670898437,2.6078033447265625,Fixation,POINT (0.6849826872348785 0.213029146194458),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210094086274,18608483497,1,1,"(0.6916957497596741, 0.18717731535434723)","(0.6850900053977966, 0.21880294382572174)",1,1,2.6475830078125,2.612579345703125,Fixation,POINT (0.6883928775787354 0.2029901295900345),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createNewServerProcess,3457090,1210094094608,18608491831,1,1,"(0.6914496421813965, 0.1999296247959137)","(0.6834120750427246, 0.21718403697013855)",1,1,2.657928466796875,2.6149139404296875,Fixation,POINT (0.6874308586120605 0.2085568308830261),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createNewServerProcess,3457090,1210094102941,18608500164,1,1,"(0.6891865134239197, 0.19485187530517578)","(0.6850838661193848, 0.20724064111709595)",1,1,2.666717529296875,2.60809326171875,Fixation,POINT (0.6871351897716522 0.2010462582111359),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createNewServerProcess,3457090,1210094111275,18608508498,1,1,"(0.6937938928604126, 0.1965489238500595)","(0.6842756271362305, 0.20833511650562286)",1,1,2.6442108154296875,2.611572265625,Fixation,POINT (0.6890347599983215 0.2024420201778412),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createNewServerProcess,3457090,1210094119608,18608516831,1,1,"(0.6868343353271484, 0.20231714844703674)","(0.6864456534385681, 0.2134280800819397)",1,1,2.6627349853515625,2.625885009765625,Fixation,POINT (0.6866399943828583 0.2078726142644882),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createNewServerProcess,3457090,1210094127945,18608525168,1,1,"(0.6928602457046509, 0.1885215938091278)","(0.6864877939224243, 0.20680224895477295)",1,1,2.6376190185546875,2.604721069335937,Fixation,POINT (0.6896740198135376 0.1976619213819504),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createNewServerProcess,3457090,1210094136278,18608533501,1,1,"(0.6871671676635742, 0.20292949676513672)","(0.6882802248001099, 0.21382397413253784)",1,1,2.6421356201171875,2.625839233398437,Fixation,POINT (0.687723696231842 0.2083767354488373),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createNewServerProcess,3457090,1210094144612,18608541835,1,1,"(0.6897751688957214, 0.1955995410680771)","(0.6858257055282593, 0.21057884395122528)",1,1,2.6271514892578125,2.6270294189453125,Fixation,POINT (0.6878004372119904 0.2030891925096512),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createNewServerProcess,3457090,1210094152945,18608550168,1,1,"(0.6899481415748596, 0.20216746628284454)","(0.6832930445671082, 0.20447149872779846)",1,1,2.64556884765625,2.617340087890625,Fixation,POINT (0.6866205930709839 0.2033194825053215),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createNewServerProcess,3457090,1210094161278,18608558501,1,1,"(0.6903283596038818, 0.20003055036067963)","(0.688590407371521, 0.21126776933670044)",1,1,2.626708984375,2.6174774169921875,Fixation,POINT (0.6894593834877014 0.20564915984869),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createNewServerProcess,3457090,1210094169612,18608566835,1,1,"(0.691867470741272, 0.20682759582996368)","(0.6831054091453552, 0.21248486638069153)",1,1,2.632308959960937,2.62750244140625,Fixation,POINT (0.6874864399433136 0.2096562311053276),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210094177945,18608575168,1,1,"(0.6883150339126587, 0.1959248036146164)","(0.6867119669914246, 0.2096398025751114)",1,1,2.6125030517578125,2.614974975585937,Fixation,POINT (0.6875135004520416 0.2027823030948639),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createNewServerProcess,3457090,1210094186278,18608583501,1,1,"(0.6921082735061646, 0.20650114119052887)","(0.6840083599090576, 0.20164260268211365)",1,1,2.6360015869140625,2.611923217773437,Fixation,POINT (0.6880583167076111 0.2040718719363213),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createNewServerProcess,3457090,1210094194612,18608591835,1,1,"(0.6923683881759644, 0.2027917504310608)","(0.6859462857246399, 0.2159431427717209)",1,1,2.6398468017578125,2.614654541015625,Fixation,POINT (0.6891573369503021 0.2093674466013908),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createNewServerProcess,3457090,1210094202945,18608600168,1,1,"(0.6883322596549988, 0.20444534718990326)","(0.6852152347564697, 0.205851212143898)",1,1,2.6273651123046875,2.587371826171875,Fixation,POINT (0.6867737472057343 0.2051482796669006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createNewServerProcess,3457090,1210094219612,18608616835,1,1,"(0.6565418839454651, 0.20578183233737946)","(0.6536104679107666, 0.19397300481796265)",1,1,2.6136627197265625,2.575408935546875,Fixation,POINT (0.6550761759281158 0.199877418577671),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210094227945,18608625168,1,1,"(0.6604404449462891, 0.21742567420005798)","(0.6597797870635986, 0.203607439994812)",1,1,2.610946655273437,2.597763061523437,Fixation,POINT (0.6601101160049438 0.210516557097435),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210094236278,18608633501,1,1,"(0.663752555847168, 0.20528258383274078)","(0.6581695675849915, 0.20724521577358246)",1,1,2.591400146484375,2.5906524658203125,Fixation,POINT (0.6609610617160797 0.2062638998031616),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210094244612,18608641835,1,1,"(0.6618115305900574, 0.20667561888694763)","(0.6576579809188843, 0.2019178718328476)",1,1,2.5962066650390625,2.581695556640625,Fixation,POINT (0.6597347557544708 0.2042967453598976),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210094252950,18608650173,1,1,"(0.656952977180481, 0.21231716871261597)","(0.655280590057373, 0.2006782740354538)",1,1,2.580673217773437,2.580184936523437,Fixation,POINT (0.656116783618927 0.2064977213740349),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210094261283,18608658506,1,1,"(0.6574373841285706, 0.2035953849554062)","(0.6576418280601501, 0.20504295825958252)",1,1,2.58197021484375,2.5719757080078125,Fixation,POINT (0.6575396060943604 0.2043191716074944),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210094269617,18608666840,1,1,"(0.6581651568412781, 0.2093464434146881)","(0.6570845246315002, 0.21121430397033691)",1,1,2.5872802734375,2.590667724609375,Fixation,POINT (0.6576248407363892 0.2102803736925125),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210094277950,18608675173,1,1,"(0.6597680449485779, 0.20890586078166962)","(0.6566882133483887, 0.20995467901229858)",1,1,2.5977935791015625,2.594100952148437,Fixation,POINT (0.6582281291484833 0.2094302698969841),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210094286283,18608683506,1,1,"(0.6578786373138428, 0.20579567551612854)","(0.6553855538368225, 0.20788560807704926)",1,1,2.5919952392578125,2.585418701171875,Fixation,POINT (0.6566320955753326 0.2068406417965889),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210094294617,18608691840,1,1,"(0.6607973575592041, 0.20855160057544708)","(0.656051516532898, 0.2075500190258026)",1,1,2.596542358398437,2.5838623046875,Fixation,POINT (0.658424437046051 0.2080508098006248),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210094302950,18608700173,1,1,"(0.658298671245575, 0.20764485001564026)","(0.6551154851913452, 0.20590196549892426)",1,1,2.577972412109375,2.57452392578125,Fixation,POINT (0.6567070782184601 0.2067734077572823),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210094311283,18608708506,1,1,"(0.6591643691062927, 0.2112112194299698)","(0.6602562069892883, 0.20333680510520935)",1,1,2.59210205078125,2.5616455078125,Fixation,POINT (0.6597102880477905 0.2072740122675896),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210094319616,18608716839,1,1,"(0.6576341390609741, 0.2117244154214859)","(0.6587514281272888, 0.2007020264863968)",1,1,2.5906219482421875,2.551483154296875,Fixation,POINT (0.6581927835941315 0.2062132209539414),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210094327950,18608725173,1,1,"(0.65788733959198, 0.2092646062374115)","(0.6568182706832886, 0.20885106921195984)",1,1,2.5700225830078125,2.558578491210937,Fixation,POINT (0.6573528051376343 0.2090578377246857),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210094336284,18608733507,1,1,"(0.6597283482551575, 0.20144321024417877)","(0.6565059423446655, 0.2137613594532013)",1,1,2.5845489501953125,2.529037475585937,Fixation,POINT (0.6581171452999115 0.20760228484869),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210094344616,18608741839,1,1,"(0.6595702171325684, 0.21301177144050598)","(0.6543412804603577, 0.22635698318481445)",1,1,2.597503662109375,2.4974365234375,Fixation,POINT (0.656955748796463 0.2196843773126602),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210094352950,18608750173,1,1,"(0.6593108177185059, 0.21382339298725128)","(0.6472138166427612, 0.17635086178779602)",1,1,2.5513458251953125,2.63604736328125,Fixation,POINT (0.6532623171806335 0.1950871273875236),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createNewServerProcess,3457090,1210094452955,18608850178,1,1,"(0.7405437231063843, 0.2356257140636444)","(0.7334302067756653, 0.282366544008255)",1,1,2.521331787109375,2.437408447265625,,POINT (0.7369869649410248 0.2589961290359497),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210094469622,18608866844,1,1,"(0.7396853566169739, 0.23422327637672424)","(0.7500450611114502, 0.17205162346363068)",1,1,2.5373077392578125,2.56597900390625,Fixation,POINT (0.744865208864212 0.2031374499201775),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createNewServerProcess,3457090,1210094477949,18608875171,1,1,"(0.741411566734314, 0.224262997508049)","(0.7458956837654114, 0.21557188034057617)",1,1,2.539901733398437,2.489105224609375,Fixation,POINT (0.7436536252498627 0.2199174389243126),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createNewServerProcess,3457090,1210094486283,18608883505,1,1,"(0.73934406042099, 0.22170989215373993)","(0.7467799186706543, 0.24697700142860413)",1,1,2.535308837890625,2.43896484375,Fixation,POINT (0.7430619895458221 0.234343446791172),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210094494618,18608891840,1,1,"(0.7396311163902283, 0.225869819521904)","(0.7414431571960449, 0.23557063937187195)",1,1,2.5435791015625,2.42767333984375,Fixation,POINT (0.7405371367931366 0.230720229446888),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210094502952,18608900174,1,1,"(0.7414498329162598, 0.22238990664482117)","(0.7472898960113525, 0.242283433675766)",1,1,2.55706787109375,2.432586669921875,Fixation,POINT (0.7443698644638062 0.2323366701602936),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210094511285,18608908507,1,1,"(0.7420445680618286, 0.22463878989219666)","(0.7470591068267822, 0.24032694101333618)",1,1,2.538803100585937,2.4314727783203125,Fixation,POINT (0.7445518374443054 0.2324828654527664),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,createNewServerProcess,3457090,1210094519622,18608916844,1,1,"(0.7374148964881897, 0.2230246216058731)","(0.7427083253860474, 0.20682094991207123)",1,1,2.5006561279296875,2.4835662841796875,Fixation,POINT (0.7400616109371185 0.2149227857589722),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,createNewServerProcess,3457090,1210094711291,18609108513,1,1,"(0.09095611423254013, 0.1555076539516449)","(0.10557833313941956, 0.14523273706436157)",1,1,2.392181396484375,2.518310546875,,POINT (0.0982672236859798 0.1503701955080032),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,createNewServerProcess,3457090,1210094719625,18609116847,1,1,"(0.08921482414007187, 0.15964943170547485)","(0.10585641115903854, 0.1516825407743454)",1,1,2.406005859375,2.506088256835937,Fixation,POINT (0.0975356176495552 0.1556659862399101),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,createNewServerProcess,3457090,1210094727959,18609125181,1,1,"(0.09189332276582718, 0.16406098008155823)","(0.1057368591427803, 0.16475847363471985)",1,1,2.4087066650390625,2.4678955078125,Fixation,POINT (0.0988150909543037 0.164409726858139),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
