,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,private.0,List.0,getStatusFlagFields.0,List.1,list.0,=.0,new.0,ArrayList.0,String.0,statusFlagPath.0,=.1,"""/collectionConfigRecord/statusFlags/statusFlag/status"".0",for.0,Iterator.0,i.0,=.2,im.0,getInputFields.0,iterator.0,i.1,hasNext.0,InputField.0,field.0,=.3,InputField.1,i.2,next.0,// prtln ( field toString() );.200,if.0,field.1,getNormalizedXPath.0,startsWith.0,statusFlagPath.1,list.1,add.0,field.2,return.0,list.2,prewritten,accurate,missing,unnecessary,readable,code
0,136,getStatusFlagFields,22622479,1210042350979,18556748366,1,1,"(0.7155547738075256, 0.25041136145591736)","(0.7022578716278076, 0.31154048442840576)",1,1,2.6019439697265625,2.5395660400390625,Fixation,POINT (0.7089063227176666 0.2809759229421616),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042359312,18556756699,1,1,"(0.717526376247406, 0.24770888686180115)","(0.7048219442367554, 0.32452845573425293)",1,1,2.6031951904296875,2.5576171875,Fixation,POINT (0.7111741602420807 0.286118671298027),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042367645,18556765032,1,1,"(0.7148215770721436, 0.26473739743232727)","(0.7056418061256409, 0.31563109159469604)",1,1,2.62322998046875,2.5477294921875,Fixation,POINT (0.7102316915988922 0.2901842445135117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042375979,18556773366,1,1,"(0.7165490984916687, 0.26932239532470703)","(0.704696774482727, 0.3223261535167694)",1,1,2.6444244384765625,2.565048217773437,Fixation,POINT (0.7106229364871979 0.2958242744207382),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042384312,18556781699,1,1,"(0.7174920439720154, 0.2726830840110779)","(0.7032575011253357, 0.3312609791755676)",1,1,2.648712158203125,2.6040802001953125,Fixation,POINT (0.7103747725486755 0.3019720315933228),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getStatusFlagFields,22622479,1210042392645,18556790032,1,1,"(0.7159436345100403, 0.2691507637500763)","(0.7015084624290466, 0.3220628499984741)",1,1,2.6499481201171875,2.588531494140625,Fixation,POINT (0.7087260484695435 0.2956068068742752),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042400978,18556798365,1,1,"(0.7107210159301758, 0.2615385353565216)","(0.703003466129303, 0.3208717107772827)",1,1,2.611907958984375,2.5935516357421875,Fixation,POINT (0.7068622410297394 0.2912051230669022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042409312,18556806699,1,1,"(0.7097395062446594, 0.279265433549881)","(0.7042473554611206, 0.31888124346733093)",1,1,2.6418609619140625,2.581298828125,Fixation,POINT (0.70699343085289 0.299073338508606),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042417645,18556815032,1,1,"(0.7097000479698181, 0.27699026465415955)","(0.702538013458252, 0.3198477327823639)",1,1,2.639389038085937,2.5924530029296875,Fixation,POINT (0.706119030714035 0.2984189987182617),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042425978,18556823365,1,1,"(0.7115441560745239, 0.2717588543891907)","(0.6999550461769104, 0.3057800233364105)",1,1,2.6289520263671875,2.561553955078125,Fixation,POINT (0.7057496011257172 0.2887694388628006),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042434312,18556831699,1,1,"(0.7110176086425781, 0.2706003487110138)","(0.7025755047798157, 0.30617544054985046)",1,1,2.6212615966796875,2.585479736328125,Fixation,POINT (0.7067965567111969 0.2883878946304321),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042442646,18556840032,1,1,"(0.7133148908615112, 0.26432985067367554)","(0.700672447681427, 0.31220927834510803)",1,1,2.6300506591796875,2.576202392578125,Fixation,POINT (0.7069936692714691 0.2882695645093918),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042450979,18556848365,1,1,"(0.714793860912323, 0.2580169141292572)","(0.7036629915237427, 0.3085152804851532)",1,1,2.627899169921875,2.575286865234375,Fixation,POINT (0.7092284262180328 0.2832660973072052),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042459313,18556856699,1,1,"(0.7156942486763, 0.2646256685256958)","(0.6984941363334656, 0.3278672695159912)",1,1,2.6287384033203125,2.603759765625,Fixation,POINT (0.7070941925048828 0.2962464690208435),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042467646,18556865032,1,1,"(0.7143539190292358, 0.2648673951625824)","(0.7017956376075745, 0.32415249943733215)",1,1,2.631134033203125,2.5846099853515625,Fixation,POINT (0.7080747783184052 0.2945099472999573),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042475981,18556873367,1,1,"(0.7118123173713684, 0.266266405582428)","(0.7004973292350769, 0.3180752396583557)",1,1,2.6392822265625,2.5935821533203125,Fixation,POINT (0.7061548233032227 0.2921708226203918),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042484314,18556881700,1,1,"(0.711100697517395, 0.264524906873703)","(0.703005850315094, 0.3148023784160614)",1,1,2.6376190185546875,2.5839996337890625,Fixation,POINT (0.7070532739162445 0.2896636426448822),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042492647,18556890033,1,1,"(0.7120499014854431, 0.265311598777771)","(0.6999335289001465, 0.3151122033596039)",1,1,2.6315155029296875,2.594955444335937,Fixation,POINT (0.7059917151927948 0.2902119010686874),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042500981,18556898367,1,1,"(0.71025550365448, 0.27170196175575256)","(0.7036661505699158, 0.31449010968208313)",1,1,2.63543701171875,2.589630126953125,Fixation,POINT (0.7069608271121979 0.2930960357189178),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042509314,18556906700,1,1,"(0.7096107006072998, 0.2820571959018707)","(0.7006247639656067, 0.31761378049850464)",1,1,2.6490478515625,2.58917236328125,Fixation,POINT (0.7051177322864532 0.2998354882001877),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042534314,18556931700,1,1,"(0.676216185092926, 0.201004758477211)","(0.674047589302063, 0.2508067190647125)",1,1,2.633773803710937,2.613922119140625,Fixation,POINT (0.6751318871974945 0.2259057387709618),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getStatusFlagFields,22622479,1210042542647,18556940033,1,1,"(0.6764294505119324, 0.1962493509054184)","(0.6705679297447205, 0.23690906167030334)",1,1,2.646957397460937,2.6141510009765625,Fixation,POINT (0.6734986901283264 0.2165792062878609),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getStatusFlagFields,22622479,1210042550980,18556948366,1,1,"(0.6773579120635986, 0.19702373445034027)","(0.6724011301994324, 0.24188938736915588)",1,1,2.627105712890625,2.6212158203125,Fixation,POINT (0.6748795211315155 0.2194565609097481),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getStatusFlagFields,22622479,1210042559314,18556956700,1,1,"(0.6798349618911743, 0.176939457654953)","(0.6695443987846375, 0.2298826277256012)",1,1,2.6053619384765625,2.5901031494140625,Fixation,POINT (0.6746896803379059 0.2034110426902771),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042567646,18556965032,1,1,"(0.6817982196807861, 0.20033812522888184)","(0.6731038093566895, 0.22640573978424072)",1,1,2.6497955322265625,2.6048126220703125,Fixation,POINT (0.6774510145187378 0.2133719325065613),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getStatusFlagFields,22622479,1210042575980,18556973366,1,1,"(0.6826459765434265, 0.19710251688957214)","(0.6744434833526611, 0.22080349922180176)",1,1,2.655487060546875,2.5803375244140625,Fixation,POINT (0.6785447299480438 0.208953008055687),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getStatusFlagFields,22622479,1210042584314,18556981700,1,1,"(0.6831355690956116, 0.1976199895143509)","(0.6725290417671204, 0.23125486075878143)",1,1,2.653961181640625,2.6014862060546875,Fixation,POINT (0.677832305431366 0.2144374251365662),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getStatusFlagFields,22622479,1210042592646,18556990032,1,1,"(0.6802773475646973, 0.20645955204963684)","(0.6740303039550781, 0.229265496134758)",1,1,2.6439971923828125,2.592803955078125,Fixation,POINT (0.6771538257598877 0.2178625240921974),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getStatusFlagFields,22622479,1210042600981,18556998367,1,1,"(0.679853081703186, 0.19917654991149902)","(0.6734645366668701, 0.22482463717460632)",1,1,2.62835693359375,2.5977935791015625,Fixation,POINT (0.6766588091850281 0.2120005935430527),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getStatusFlagFields,22622479,1210042609320,18557006706,1,1,"(0.6833698749542236, 0.1946023553609848)","(0.6739298105239868, 0.22274617850780487)",1,1,2.6361541748046875,2.5818634033203125,Fixation,POINT (0.6786498427391052 0.2086742669343948),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getStatusFlagFields,22622479,1210042617654,18557015040,1,1,"(0.6838999390602112, 0.1974221169948578)","(0.6727302074432373, 0.23271915316581726)",1,1,2.623992919921875,2.5984344482421875,Fixation,POINT (0.6783150732517242 0.2150706350803375),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getStatusFlagFields,22622479,1210042625987,18557023373,1,1,"(0.6843315362930298, 0.20217403769493103)","(0.6717177629470825, 0.23130300641059875)",1,1,2.640533447265625,2.5826873779296875,Fixation,POINT (0.6780246496200562 0.2167385220527649),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getStatusFlagFields,22622479,1210042634320,18557031706,1,1,"(0.6838529109954834, 0.1932172328233719)","(0.675676167011261, 0.23201043903827667)",1,1,2.627182006835937,2.592681884765625,Fixation,POINT (0.6797645390033722 0.2126138359308243),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getStatusFlagFields,22622479,1210042642654,18557040040,1,1,"(0.6827960014343262, 0.1875448375940323)","(0.677621603012085, 0.22418564558029175)",1,1,2.6237030029296875,2.584442138671875,Fixation,POINT (0.6802088022232056 0.205865241587162),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042650988,18557048374,1,1,"(0.6870443224906921, 0.18879976868629456)","(0.674592137336731, 0.2270480990409851)",1,1,2.597015380859375,2.59539794921875,Fixation,POINT (0.6808182299137115 0.2079239338636398),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getStatusFlagFields,22622479,1210042659321,18557056707,1,1,"(0.6842188835144043, 0.1896257996559143)","(0.6744600534439087, 0.21618568897247314)",1,1,2.6030426025390625,2.5670928955078125,Fixation,POINT (0.6793394684791565 0.2029057443141937),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042667654,18557065040,1,1,"(0.680391788482666, 0.2046440839767456)","(0.6753031611442566, 0.21601268649101257)",1,1,2.6229248046875,2.548980712890625,Fixation,POINT (0.6778474748134613 0.2103283852338791),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getStatusFlagFields,22622479,1210042675989,18557073374,1,1,"(0.6826819777488708, 0.18759874999523163)","(0.6731971502304077, 0.22279950976371765)",1,1,2.580307006835937,2.5570831298828125,Fixation,POINT (0.6779395639896393 0.2051991298794746),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042684322,18557081707,1,1,"(0.6819777488708496, 0.20472025871276855)","(0.6722769141197205, 0.23053668439388275)",1,1,2.617034912109375,2.5753936767578125,Fixation,POINT (0.677127331495285 0.2176284715533256),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getStatusFlagFields,22622479,1210042692655,18557090040,1,1,"(0.6816778182983398, 0.20035776495933533)","(0.6738015413284302, 0.22823013365268707)",1,1,2.6019744873046875,2.5783233642578125,Fixation,POINT (0.677739679813385 0.2142939493060112),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getStatusFlagFields,22622479,1210042700988,18557098373,1,1,"(0.6801418662071228, 0.19233804941177368)","(0.6741705536842346, 0.21816110610961914)",1,1,2.5859527587890625,2.571640014648437,Fixation,POINT (0.6771562099456787 0.2052495777606964),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042709322,18557106707,1,1,"(0.6840564608573914, 0.1944505125284195)","(0.6749705076217651, 0.21840183436870575)",1,1,2.601791381835937,2.544464111328125,Fixation,POINT (0.6795134842395782 0.2064261734485626),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042717654,18557115039,1,1,"(0.6818222999572754, 0.1945781707763672)","(0.6706933975219727, 0.22429876029491425)",1,1,2.5905914306640625,2.5686492919921875,Fixation,POINT (0.676257848739624 0.2094384655356407),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getStatusFlagFields,22622479,1210042725988,18557123373,1,1,"(0.6816945672035217, 0.18285824358463287)","(0.6747997999191284, 0.2223639339208603)",1,1,2.570831298828125,2.564788818359375,Fixation,POINT (0.6782471835613251 0.2026110887527466),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042750991,18557148376,1,1,"(0.7362435460090637, 0.19751262664794922)","(0.7306897640228271, 0.2362353801727295)",1,1,2.563690185546875,2.5416717529296875,Fixation,POINT (0.7334666550159454 0.2168740034103394),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042759326,18557156711,1,1,"(0.7396429777145386, 0.19811438024044037)","(0.7317166924476624, 0.22658677399158478)",1,1,2.581390380859375,2.5194091796875,Fixation,POINT (0.7356798350811005 0.2123505771160126),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042767659,18557165044,1,1,"(0.7342798113822937, 0.19465602934360504)","(0.7323805689811707, 0.23351427912712097)",1,1,2.5711212158203125,2.5498046875,Fixation,POINT (0.7333301901817322 0.214085154235363),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042775992,18557173377,1,1,"(0.7404320240020752, 0.19563324749469757)","(0.7343240976333618, 0.225070059299469)",1,1,2.5653228759765625,2.527374267578125,Fixation,POINT (0.7373780608177185 0.2103516533970833),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042784324,18557181709,1,1,"(0.7388154864311218, 0.20167681574821472)","(0.7329314351081848, 0.2307480126619339)",1,1,2.54998779296875,2.5333404541015625,Fixation,POINT (0.7358734607696533 0.2162124142050743),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042792659,18557190044,1,1,"(0.739828884601593, 0.19435733556747437)","(0.7329524755477905, 0.22774174809455872)",1,1,2.566009521484375,2.53216552734375,Fixation,POINT (0.7363906800746918 0.2110495418310165),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042800991,18557198376,1,1,"(0.7409123778343201, 0.19586043059825897)","(0.731959879398346, 0.2209305465221405)",1,1,2.564071655273437,2.525863647460937,Fixation,POINT (0.736436128616333 0.2083954885601997),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042809324,18557206709,1,1,"(0.7433451414108276, 0.19348455965518951)","(0.7305324673652649, 0.22701524198055267)",1,1,2.549591064453125,2.5362701416015625,Fixation,POINT (0.7369388043880463 0.2102499008178711),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042817667,18557215052,1,1,"(0.7385048270225525, 0.19858750700950623)","(0.733759343624115, 0.2252809852361679)",1,1,2.5558013916015625,2.5186920166015625,Fixation,POINT (0.7361320853233337 0.2119342461228371),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042825999,18557223384,1,1,"(0.7420176863670349, 0.19723176956176758)","(0.7320449948310852, 0.23198631405830383)",1,1,2.5630340576171875,2.5361785888671875,Fixation,POINT (0.7370313405990601 0.2146090418100357),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042834333,18557231718,1,1,"(0.735812783241272, 0.20208539068698883)","(0.7326818108558655, 0.22433936595916748)",1,1,2.5731201171875,2.52227783203125,Fixation,POINT (0.7342472970485687 0.2132123783230782),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042842667,18557240052,1,1,"(0.7356260418891907, 0.19659368693828583)","(0.734988272190094, 0.22977885603904724)",1,1,2.5708770751953125,2.535140991210937,Fixation,POINT (0.7353071570396423 0.2131862714886665),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042851000,18557248385,1,1,"(0.7393200993537903, 0.18907590210437775)","(0.7361922264099121, 0.2253793179988861)",1,1,2.5496826171875,2.525985717773437,Fixation,POINT (0.7377561628818512 0.2072276100516319),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042859333,18557256718,1,1,"(0.7424207329750061, 0.19554197788238525)","(0.7341720461845398, 0.2290424108505249)",1,1,2.5563201904296875,2.5365447998046875,Fixation,POINT (0.738296389579773 0.2122921943664551),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042867666,18557265051,1,1,"(0.7409936189651489, 0.18961668014526367)","(0.7330349087715149, 0.22824327647686005)",1,1,2.535263061523437,2.527923583984375,Fixation,POINT (0.7370142638683319 0.2089299783110619),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042876004,18557273389,1,1,"(0.738742470741272, 0.19095516204833984)","(0.7354108691215515, 0.22405941784381866)",1,1,2.5494384765625,2.509307861328125,Fixation,POINT (0.7370766699314117 0.2075072899460792),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042884338,18557281723,1,1,"(0.7409160137176514, 0.1880577802658081)","(0.7314629554748535, 0.23073582351207733)",1,1,2.52618408203125,2.5258331298828125,Fixation,POINT (0.7361894845962524 0.2093968018889427),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042892671,18557290056,1,1,"(0.7387160062789917, 0.19670449197292328)","(0.7343451976776123, 0.2270135134458542)",1,1,2.53961181640625,2.5145721435546875,Fixation,POINT (0.736530601978302 0.2118590027093887),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042901005,18557298390,1,1,"(0.7401947379112244, 0.19427955150604248)","(0.7341334223747253, 0.23759771883487701)",1,1,2.548553466796875,2.525741577148437,Fixation,POINT (0.7371640801429749 0.2159386351704598),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042909339,18557306723,1,1,"(0.7391959428787231, 0.19803820550441742)","(0.735770583152771, 0.23090405762195587)",1,1,2.5625457763671875,2.512313842773437,Fixation,POINT (0.7374832630157471 0.2144711315631866),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042917673,18557315057,1,1,"(0.742774486541748, 0.19653858244419098)","(0.732181966304779, 0.24078358709812164)",1,1,2.5495147705078125,2.49072265625,Fixation,POINT (0.7374782264232635 0.2186610847711563),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210042926006,18557323390,1,1,"(0.7399328351020813, 0.20417386293411255)","(0.7310638427734375, 0.2538890838623047)",1,1,2.5664520263671875,2.4559783935546875,Fixation,POINT (0.7354983389377594 0.2290314733982086),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getStatusFlagFields,22622479,1210042934339,18557331723,1,1,"(0.7401966452598572, 0.20556160807609558)","(0.7225889563560486, 0.21364760398864746)",1,1,2.5290069580078125,2.49053955078125,Fixation,POINT (0.7313928008079529 0.2096046060323715),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
0,136,getStatusFlagFields,22622479,1210043059336,18557456720,1,1,"(0.09333660453557968, 0.24394460022449493)","(0.12614770233631134, 0.5320472121238708)",1,1,2.2947998046875,2.178817749023437,,POINT (0.1097421534359455 0.3879959061741829),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getStatusFlagFields,22622479,1210043084342,18557481726,1,1,"(0.11201343685388565, 0.1868867427110672)","(0.1098596379160881, 0.1717832237482071)",1,1,2.445541381835937,2.5873565673828125,Fixation,POINT (0.1109365373849869 0.1793349832296372),,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
