,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,testAddCountryWithSequenceGenerator.0,throws.0,Exception.0,CountryWithSequence.0,country1.0,=.0,new.0,CountryWithSequence.1,country1.1,setCountryId.0,"""KR"".0",country1.2,setCountryName.0,"""Korea"".0",Integer.0,countryCode.0,=.1,Integer.1,session.0,save.0,country1.3,assertEquals.0,"""fail to generate a new countryCode."".100",0.0,countryCode.1,intValue.0,assertNotNull.0,"""fail to add a new country with sequence generator. "".101",countryCode.2,prewritten,accurate,missing,unnecessary,readable,code
0,136,testAddCountryWithSequenceGenerator,1046788,1208420038966,16934441855,1,1,"(0.6917499899864197, 0.3876398503780365)","(0.687362015247345, 0.428376168012619)",1,1,2.6469879150390625,2.7135772705078125,Fixation,POINT (0.6895560026168823 0.4080080091953278),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testAddCountryWithSequenceGenerator,1046788,1208420047300,16934450189,1,1,"(0.6970342397689819, 0.3851548731327057)","(0.6906090378761292, 0.43179449439048767)",1,1,2.6593170166015625,2.7127838134765625,Fixation,POINT (0.6938216388225555 0.4084746837615967),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testAddCountryWithSequenceGenerator,1046788,1208420055633,16934458522,1,1,"(0.6961043477058411, 0.3815407156944275)","(0.6921746730804443, 0.4309045970439911)",1,1,2.6611328125,2.709228515625,Fixation,POINT (0.6941395103931427 0.4062226563692093),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testAddCountryWithSequenceGenerator,1046788,1208420063966,16934466855,1,1,"(0.6893244981765747, 0.3875815272331238)","(0.6852257251739502, 0.43143007159233093)",1,1,2.643463134765625,2.689315795898437,Fixation,POINT (0.6872751116752625 0.4095057994127274),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testAddCountryWithSequenceGenerator,1046788,1208420072299,16934475188,1,1,"(0.6919827461242676, 0.37789857387542725)","(0.6901715993881226, 0.4271569848060608)",1,1,2.6488189697265625,2.69415283203125,Fixation,POINT (0.6910771727561951 0.402527779340744),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testAddCountryWithSequenceGenerator,1046788,1208420080633,16934483522,1,1,"(0.700202465057373, 0.3717339038848877)","(0.694970428943634, 0.4342573583126068)",1,1,2.6532440185546875,2.7068634033203125,Fixation,POINT (0.6975864470005035 0.4029956310987472),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testAddCountryWithSequenceGenerator,1046788,1208420088966,16934491855,1,1,"(0.6942741870880127, 0.37597957253456116)","(0.6907221674919128, 0.4307030439376831)",1,1,2.652374267578125,2.7098846435546875,Fixation,POINT (0.6924981772899628 0.4033413082361221),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testAddCountryWithSequenceGenerator,1046788,1208420097300,16934500189,1,1,"(0.6907016038894653, 0.384560227394104)","(0.6889039874076843, 0.4298304319381714)",1,1,2.654037475585937,2.698150634765625,Fixation,POINT (0.6898027956485748 0.4071953296661377),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testAddCountryWithSequenceGenerator,1046788,1208420105633,16934508522,1,1,"(0.6904395818710327, 0.3842180669307709)","(0.6930858492851257, 0.4279367923736572)",1,1,2.6363677978515625,2.698226928710937,Fixation,POINT (0.6917627155780792 0.406077429652214),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testAddCountryWithSequenceGenerator,1046788,1208420113966,16934516855,1,1,"(0.6979628205299377, 0.3847580850124359)","(0.6958957314491272, 0.4330301880836487)",1,1,2.63946533203125,2.715484619140625,Fixation,POINT (0.6969292759895325 0.4088941365480423),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testAddCountryWithSequenceGenerator,1046788,1208420122299,16934525188,1,1,"(0.6938499808311462, 0.388471394777298)","(0.6890596747398376, 0.43298208713531494)",1,1,2.652679443359375,2.69830322265625,Fixation,POINT (0.6914548277854919 0.4107267409563065),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testAddCountryWithSequenceGenerator,1046788,1208420130633,16934533522,1,1,"(0.694101870059967, 0.38292160630226135)","(0.6916826367378235, 0.42288798093795776)",1,1,2.635971069335937,2.6768341064453125,Fixation,POINT (0.6928922533988953 0.4029047936201096),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testAddCountryWithSequenceGenerator,1046788,1208420205639,16934608528,1,1,"(0.2020287960767746, 0.13667935132980347)","(0.20546886324882507, 0.177845299243927)",1,1,2.57843017578125,2.7703094482421875,Fixation,POINT (0.2037488296627998 0.1572623252868652),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420213972,16934616861,1,1,"(0.18954628705978394, 0.13470925390720367)","(0.19292443990707397, 0.16813939809799194)",1,1,2.5938873291015625,2.766754150390625,Fixation,POINT (0.191235363483429 0.1514243260025978),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420222305,16934625194,1,1,"(0.19122543931007385, 0.13614265620708466)","(0.1967121958732605, 0.17407315969467163)",1,1,2.56634521484375,2.7503204345703125,Fixation,POINT (0.1939688175916672 0.1551079079508781),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420230639,16934633528,1,1,"(0.19220897555351257, 0.13689371943473816)","(0.19742491841316223, 0.17179575562477112)",1,1,2.531158447265625,2.741668701171875,Fixation,POINT (0.1948169469833374 0.1543447375297546),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420238972,16934641861,1,1,"(0.19430644810199738, 0.13779191672801971)","(0.19260963797569275, 0.16823025047779083)",1,1,2.5459136962890625,2.7315826416015625,Fixation,POINT (0.1934580430388451 0.1530110836029053),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420247305,16934650194,1,1,"(0.19318830966949463, 0.1420745551586151)","(0.1943502426147461, 0.17108365893363953)",1,1,2.5442047119140625,2.728179931640625,Fixation,POINT (0.1937692761421204 0.1565791070461273),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420255639,16934658528,1,1,"(0.19639180600643158, 0.138613760471344)","(0.2004186511039734, 0.18088498711585999)",1,1,2.52593994140625,2.7116851806640625,Fixation,POINT (0.1984052285552025 0.159749373793602),,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420263972,16934666861,1,1,"(0.18802784383296967, 0.14048418402671814)","(0.19595858454704285, 0.1800299882888794)",1,1,2.513763427734375,2.7159576416015625,Fixation,POINT (0.1919932141900063 0.1602570861577988),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420272308,16934675197,1,1,"(0.19070056080818176, 0.13567854464054108)","(0.1918448507785797, 0.16677045822143555)",1,1,2.50665283203125,2.6991729736328125,Fixation,POINT (0.1912727057933807 0.1512245014309883),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420280642,16934683531,1,1,"(0.18852104246616364, 0.13384705781936646)","(0.19252273440361023, 0.17067460715770721)",1,1,2.5159454345703125,2.6884765625,Fixation,POINT (0.1905218884348869 0.1522608324885368),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420288975,16934691864,1,1,"(0.18997471034526825, 0.1425161510705948)","(0.19625891745090485, 0.1764746457338333)",1,1,2.484588623046875,2.675048828125,Fixation,POINT (0.1931168138980866 0.159495398402214),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420297308,16934700197,1,1,"(0.19094280898571014, 0.13755956292152405)","(0.1992575228214264, 0.1751006692647934)",1,1,2.48626708984375,2.6818084716796875,Fixation,POINT (0.1951001659035683 0.1563301160931587),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420305642,16934708531,1,1,"(0.19620651006698608, 0.13851632177829742)","(0.20014329254627228, 0.170098215341568)",1,1,2.4996337890625,2.6715240478515625,Fixation,POINT (0.1981749013066292 0.1543072685599327),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420313975,16934716864,1,1,"(0.19558553397655487, 0.1418686956167221)","(0.1953439563512802, 0.1756051629781723)",1,1,2.4724884033203125,2.661605834960937,Fixation,POINT (0.1954647451639175 0.1587369292974472),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420322310,16934725199,1,1,"(0.19576621055603027, 0.14408931136131287)","(0.1938360333442688, 0.18078535795211792)",1,1,2.4564361572265625,2.661849975585937,Fixation,POINT (0.1948011219501495 0.1624373346567154),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420330644,16934733533,1,1,"(0.18887795507907867, 0.1364477276802063)","(0.19002665579319, 0.1769501119852066)",1,1,2.423248291015625,2.64569091796875,Fixation,POINT (0.1894523054361343 0.1566989198327064),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420338977,16934741866,1,1,"(0.1814562827348709, 0.1311834156513214)","(0.1788240522146225, 0.15840807557106018)",1,1,2.48480224609375,2.64617919921875,Fixation,POINT (0.1801401674747467 0.1447957456111908),,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420372310,16934775199,1,1,"(0.05803542956709862, 0.0709923580288887)","(0.06316991150379181, 0.13037531077861786)",1,1,2.4186553955078125,2.57904052734375,Fixation,POINT (0.0606026705354452 0.1006838344037533),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420380644,16934783533,1,1,"(0.06257378309965134, 0.08259672671556473)","(0.06852156668901443, 0.11868228763341904)",1,1,2.4290924072265625,2.577484130859375,Fixation,POINT (0.0655476748943329 0.1006395071744919),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420388977,16934791866,1,1,"(0.053239867091178894, 0.08982610702514648)","(0.05945183336734772, 0.11624106764793396)",1,1,2.4148712158203125,2.571395874023437,Fixation,POINT (0.0563458502292633 0.1030335873365402),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420397313,16934800202,1,1,"(0.05344429612159729, 0.09289280325174332)","(0.06817799806594849, 0.12388348579406738)",1,1,2.39306640625,2.5506591796875,Fixation,POINT (0.0608111470937729 0.1083881445229054),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420405647,16934808536,1,1,"(0.0579976961016655, 0.08369747549295425)","(0.062452543526887894, 0.12163639813661575)",1,1,2.425994873046875,2.547210693359375,Fixation,POINT (0.0602251198142767 0.102666936814785),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420413980,16934816869,1,1,"(0.06066487357020378, 0.08131347596645355)","(0.061837274581193924, 0.12266441434621811)",1,1,2.397979736328125,2.53375244140625,Fixation,POINT (0.0612510740756988 0.1019889451563358),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420422313,16934825202,1,1,"(0.05235658213496208, 0.08646544814109802)","(0.06379065662622452, 0.12463956326246262)",1,1,2.3933258056640625,2.52392578125,Fixation,POINT (0.0580736193805933 0.1055525057017803),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420430647,16934833536,1,1,"(0.05651387199759483, 0.09401516616344452)","(0.05711144208908081, 0.1258053183555603)",1,1,2.3725738525390625,2.52783203125,Fixation,POINT (0.0568126570433378 0.1099102422595024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420438980,16934841869,1,1,"(0.05657195299863815, 0.09190203994512558)","(0.062120597809553146, 0.1287413388490677)",1,1,2.377777099609375,2.508163452148437,Fixation,POINT (0.0593462754040956 0.1103216893970966),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420447313,16934850202,1,1,"(0.05750265344977379, 0.09773458540439606)","(0.0635020062327385, 0.1294022649526596)",1,1,2.36895751953125,2.513885498046875,Fixation,POINT (0.0605023298412561 0.1135684251785278),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420455647,16934858536,1,1,"(0.05377131327986717, 0.09506503492593765)","(0.0591789148747921, 0.1256762593984604)",1,1,2.3565673828125,2.4974822998046875,Fixation,POINT (0.0564751140773296 0.110370647162199),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420463980,16934866869,1,1,"(0.05573314428329468, 0.0837056115269661)","(0.06465411186218262, 0.13129457831382751)",1,1,2.361572265625,2.495941162109375,Fixation,POINT (0.0601936280727386 0.1075000949203968),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420472313,16934875202,1,1,"(0.059781331568956375, 0.091239795088768)","(0.05974429100751877, 0.12937729060649872)",1,1,2.3437957763671875,2.5131988525390625,Fixation,POINT (0.0597628112882376 0.1103085428476334),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420480647,16934883536,1,1,"(0.05504465848207474, 0.08754836767911911)","(0.06668256223201752, 0.12439553439617157)",1,1,2.34954833984375,2.473663330078125,Fixation,POINT (0.0608636103570461 0.1059719510376453),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420488980,16934891869,1,1,"(0.05316074192523956, 0.08271034806966782)","(0.058895766735076904, 0.12190300226211548)",1,1,2.354949951171875,2.48529052734375,Fixation,POINT (0.0560282543301582 0.1023066751658916),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420497313,16934900202,1,1,"(0.05553846061229706, 0.08364507555961609)","(0.06778410822153091, 0.11979501694440842)",1,1,2.3639678955078125,2.478988647460937,Fixation,POINT (0.061661284416914 0.1017200462520122),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420505647,16934908536,1,1,"(0.053529124706983566, 0.07933665066957474)","(0.061588745564222336, 0.11414490640163422)",1,1,2.35162353515625,2.4762725830078125,Fixation,POINT (0.057558935135603 0.0967407785356045),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420513980,16934916869,1,1,"(0.05240310728549957, 0.08180473744869232)","(0.06284759193658829, 0.12268960475921631)",1,1,2.3554229736328125,2.48126220703125,Fixation,POINT (0.0576253496110439 0.1022471711039543),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420522313,16934925202,1,1,"(0.05480717122554779, 0.07983390241861343)","(0.06653350591659546, 0.11979826539754868)",1,1,2.3188629150390625,2.4661407470703125,Fixation,POINT (0.0606703385710716 0.099816083908081),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420530653,16934933542,1,1,"(0.05046499893069267, 0.07925524562597275)","(0.056793760508298874, 0.12056781351566315)",1,1,2.3324432373046875,2.47296142578125,Fixation,POINT (0.0536293797194958 0.099911529570818),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420538986,16934941875,1,1,"(0.05715591832995415, 0.0777781531214714)","(0.06719048321247101, 0.11931771785020828)",1,1,2.3393096923828125,2.4746551513671875,Fixation,POINT (0.0621732007712126 0.0985479354858398),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420547319,16934950208,1,1,"(0.06259889155626297, 0.07265573740005493)","(0.06754457205533981, 0.12040656059980392)",1,1,2.348663330078125,2.4483642578125,Fixation,POINT (0.0650717318058014 0.0965311489999294),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420555653,16934958542,1,1,"(0.04875916242599487, 0.08549511432647705)","(0.058692436665296555, 0.1235012486577034)",1,1,2.33319091796875,2.4492340087890625,Fixation,POINT (0.0537257995456457 0.1044981814920902),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420563986,16934966875,1,1,"(0.05638914555311203, 0.0837874561548233)","(0.06156850978732109, 0.12230157107114792)",1,1,2.333160400390625,2.456512451171875,Fixation,POINT (0.0589788276702166 0.1030445136129856),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420572319,16934975208,1,1,"(0.0626099556684494, 0.07694069296121597)","(0.06593002378940582, 0.11779139935970306)",1,1,2.327545166015625,2.4220428466796875,Fixation,POINT (0.0642699897289276 0.0973660461604595),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420580653,16934983542,1,1,"(0.05554338917136192, 0.07731956988573074)","(0.0580214187502861, 0.12257959693670273)",1,1,2.3383331298828125,2.455413818359375,Fixation,POINT (0.056782403960824 0.0999495834112167),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420588986,16934991875,1,1,"(0.048571426421403885, 0.08890374004840851)","(0.060234807431697845, 0.1198209598660469)",1,1,2.305206298828125,2.435821533203125,Fixation,POINT (0.0544031169265509 0.1043623499572277),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420597319,16935000208,1,1,"(0.05099238082766533, 0.08105698972940445)","(0.06463295966386795, 0.12337812036275864)",1,1,2.3224334716796875,2.4376220703125,Fixation,POINT (0.0578126702457666 0.1022175550460815),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420605652,16935008541,1,1,"(0.05832958593964577, 0.08562498539686203)","(0.07038040459156036, 0.12257788330316544)",1,1,2.3065643310546875,2.4204559326171875,Fixation,POINT (0.0643549952656031 0.1041014343500137),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420647321,16935050210,1,1,"(0.23144541680812836, 0.11012682318687439)","(0.23653453588485718, 0.13539791107177734)",1,1,2.3499908447265625,2.4514312744140625,Fixation,POINT (0.2339899763464928 0.1227623671293259),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420655652,16935058541,1,1,"(0.2376769483089447, 0.1183500736951828)","(0.24618025124073029, 0.14117573201656342)",1,1,2.3322906494140625,2.4514923095703125,Fixation,POINT (0.2419285997748375 0.1297629028558731),,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420663994,16935066883,1,1,"(0.23733267188072205, 0.11555878818035126)","(0.24774494767189026, 0.1454809159040451)",1,1,2.3302764892578125,2.4569549560546875,Fixation,POINT (0.2425388097763062 0.1305198520421982),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420672325,16935075214,1,1,"(0.2378740906715393, 0.1148621141910553)","(0.24753721058368683, 0.14263242483139038)",1,1,2.3436737060546875,2.4377593994140625,Fixation,POINT (0.2427056506276131 0.1287472695112228),,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420680658,16935083547,1,1,"(0.23322325944900513, 0.10445016622543335)","(0.24460838735103607, 0.1512380689382553)",1,1,2.321624755859375,2.454452514648437,Fixation,POINT (0.2389158234000206 0.1278441175818443),,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420688992,16935091881,1,1,"(0.23614394664764404, 0.11794178932905197)","(0.2402689903974533, 0.14967340230941772)",1,1,2.3282012939453125,2.4430694580078125,Fixation,POINT (0.2382064685225487 0.1338075958192348),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420697325,16935100214,1,1,"(0.23644903302192688, 0.11276073753833771)","(0.2393285632133484, 0.15254837274551392)",1,1,2.3499755859375,2.4266815185546875,Fixation,POINT (0.2378887981176376 0.1326545551419258),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420705659,16935108548,1,1,"(0.24161335825920105, 0.1211501955986023)","(0.24404405057430267, 0.15598170459270477)",1,1,2.3289794921875,2.431854248046875,Fixation,POINT (0.2428287044167519 0.1385659500956535),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420713992,16935116881,1,1,"(0.23569883406162262, 0.11782915890216827)","(0.24461273849010468, 0.14788123965263367)",1,1,2.3400115966796875,2.425399780273437,Fixation,POINT (0.2401557862758636 0.132855199277401),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420722325,16935125214,1,1,"(0.2372470200061798, 0.1225862130522728)","(0.24326516687870026, 0.14801841974258423)",1,1,2.3280487060546875,2.4312286376953125,Fixation,POINT (0.24025609344244 0.1353023163974285),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,testAddCountryWithSequenceGenerator,1046788,1208420730658,16935133547,1,1,"(0.24168942868709564, 0.11493158340454102)","(0.24422092735767365, 0.1569771021604538)",1,1,2.3259429931640625,2.4271240234375,Fixation,POINT (0.2429551780223846 0.1359543427824974),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
