,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,setCombo_Value.0,String.0,val.0,If.0,val.1,==.0,nan.0,||.0,""""".0",equals.0,val.2,&&.0,Combo_Value.0,==.1,nan.1,||.1,""""".1",equals.1,Combo_Value.1,return;.0,if.0,val.3,==.2,nan.2,||.2,val.4,equals.2,Combo_Value.2,||.3,updateStatus.0,==.3,NULL_INT_VALUE.0,Combo_Value.3,=.0,val.5,updateStatus.1,=.1,UPDATED.0,prewritten,accurate,missing,unnecessary,readable,code
0,136,setCombo_Value,19344536,1210571487952,19085883427,1,1,"(0.7054164409637451, 0.2172667235136032)","(0.7039384245872498, 0.23699548840522766)",1,1,2.6554107666015625,2.588485717773437,Fixation,POINT (0.7046774327754974 0.2271311059594154),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571496286,19085891761,1,1,"(0.7027310729026794, 0.22382895648479462)","(0.705560564994812, 0.22936032712459564)",1,1,2.64959716796875,2.5923614501953125,Fixation,POINT (0.7041458189487457 0.2265946418046951),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571504623,19085900098,1,1,"(0.7017652988433838, 0.21972376108169556)","(0.7061479687690735, 0.23252035677433014)",1,1,2.6636962890625,2.5868377685546875,Fixation,POINT (0.7039566338062286 0.2261220589280128),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571512957,19085908432,1,1,"(0.6986560821533203, 0.2173248678445816)","(0.7063248753547668, 0.23948222398757935)",1,1,2.6502227783203125,2.582763671875,Fixation,POINT (0.7024904787540436 0.2284035459160805),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571521290,19085916765,1,1,"(0.7024663090705872, 0.22035902738571167)","(0.7035859823226929, 0.2385295331478119)",1,1,2.648406982421875,2.587753295898437,Fixation,POINT (0.70302614569664 0.2294442802667618),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571529623,19085925098,1,1,"(0.7065455317497253, 0.21873798966407776)","(0.704351544380188, 0.23768867552280426)",1,1,2.648056030273437,2.599456787109375,Fixation,POINT (0.7054485380649567 0.228213332593441),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571537957,19085933432,1,1,"(0.7032595276832581, 0.2262367308139801)","(0.7094928026199341, 0.23453977704048157)",1,1,2.6400604248046875,2.592041015625,Fixation,POINT (0.7063761651515961 0.2303882539272308),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571546290,19085941765,1,1,"(0.7002286911010742, 0.2221386879682541)","(0.7074059247970581, 0.23811571300029755)",1,1,2.648834228515625,2.589462280273437,Fixation,POINT (0.7038173079490662 0.2301272004842758),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571554624,19085950099,1,1,"(0.7013504505157471, 0.20797249674797058)","(0.7049617171287537, 0.23128505051136017)",1,1,2.6122283935546875,2.59210205078125,Fixation,POINT (0.7031560838222504 0.2196287736296654),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571562957,19085958432,1,1,"(0.70439612865448, 0.22148559987545013)","(0.7058089971542358, 0.22702229022979736)",1,1,2.643051147460937,2.603057861328125,Fixation,POINT (0.7051025629043579 0.2242539450526238),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571571291,19085966766,1,1,"(0.7031450271606445, 0.22752892971038818)","(0.7060279846191406, 0.2352694720029831)",1,1,2.6514434814453125,2.588348388671875,Fixation,POINT (0.7045865058898926 0.2313992008566856),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571579624,19085975099,1,1,"(0.7009651064872742, 0.22631105780601501)","(0.70762038230896, 0.22846539318561554)",1,1,2.649398803710937,2.5841217041015625,Fixation,POINT (0.7042927443981171 0.2273882254958153),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571587957,19085983432,1,1,"(0.7044473886489868, 0.2188764214515686)","(0.7068739533424377, 0.2225830852985382)",1,1,2.65216064453125,2.5814361572265625,Fixation,POINT (0.7056606709957123 0.2207297533750534),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571596290,19085991765,1,1,"(0.7032016515731812, 0.21993818879127502)","(0.705216109752655, 0.23526127636432648)",1,1,2.633697509765625,2.576263427734375,Fixation,POINT (0.7042088806629181 0.2275997325778008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571604624,19086000099,1,1,"(0.7038840651512146, 0.21916356682777405)","(0.7095242142677307, 0.22697322070598602)",1,1,2.6497802734375,2.59405517578125,Fixation,POINT (0.7067041397094727 0.22306839376688),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571612957,19086008432,1,1,"(0.705264687538147, 0.22092388570308685)","(0.7061553597450256, 0.2184639573097229)",1,1,2.667144775390625,2.5943145751953125,Fixation,POINT (0.7057100236415863 0.2196939215064049),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571621291,19086016765,1,1,"(0.7062059640884399, 0.2140887826681137)","(0.7050963044166565, 0.22970376908779144)",1,1,2.64447021484375,2.5856170654296875,Fixation,POINT (0.7056511342525482 0.2218962758779526),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571629625,19086025099,1,1,"(0.7057279348373413, 0.2254222333431244)","(0.7070213556289673, 0.23434287309646606)",1,1,2.6496124267578125,2.580078125,Fixation,POINT (0.7063746452331543 0.2298825532197952),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571654630,19086050104,1,1,"(0.6632028818130493, 0.22233667969703674)","(0.6656869053840637, 0.22522321343421936)",1,1,2.632568359375,2.59979248046875,Fixation,POINT (0.6644448935985565 0.223779946565628),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571662963,19086058437,1,1,"(0.6599677205085754, 0.21904008090496063)","(0.6657400131225586, 0.23195084929466248)",1,1,2.6237945556640625,2.597412109375,Fixation,POINT (0.662853866815567 0.2254954650998116),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571671296,19086066770,1,1,"(0.6592779159545898, 0.22458598017692566)","(0.6618664264678955, 0.23685544729232788)",1,1,2.626556396484375,2.58258056640625,Fixation,POINT (0.6605721712112427 0.2307207137346268),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571679629,19086075103,1,1,"(0.6595112085342407, 0.22048364579677582)","(0.661821722984314, 0.22977441549301147)",1,1,2.6145782470703125,2.5859832763671875,Fixation,POINT (0.6606664657592773 0.2251290306448936),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571687963,19086083437,1,1,"(0.6617433428764343, 0.22219032049179077)","(0.6611773371696472, 0.23301973938941956)",1,1,2.62786865234375,2.581787109375,Fixation,POINT (0.6614603400230408 0.2276050299406052),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571696296,19086091770,1,1,"(0.6609656810760498, 0.22166378796100616)","(0.6620861887931824, 0.22811755537986755)",1,1,2.6278228759765625,2.5781402587890625,Fixation,POINT (0.6615259349346161 0.2248906716704369),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571704629,19086100103,1,1,"(0.6595630049705505, 0.21294085681438446)","(0.6626363396644592, 0.22702574729919434)",1,1,2.612457275390625,2.5800323486328125,Fixation,POINT (0.6610996723175049 0.2199833020567894),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571712963,19086108437,1,1,"(0.6590275168418884, 0.22460894286632538)","(0.660781979560852, 0.22515279054641724)",1,1,2.6166229248046875,2.578109741210937,Fixation,POINT (0.6599047482013702 0.2248808667063713),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571721296,19086116770,1,1,"(0.6597100496292114, 0.2085147351026535)","(0.6606320738792419, 0.22466832399368286)",1,1,2.5906219482421875,2.582427978515625,Fixation,POINT (0.6601710617542267 0.2165915295481682),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571729629,19086125103,1,1,"(0.6597078442573547, 0.21572758257389069)","(0.6603726744651794, 0.23276497423648834)",1,1,2.59771728515625,2.5742645263671875,Fixation,POINT (0.6600402593612671 0.2242462784051895),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571737963,19086133437,1,1,"(0.6576937437057495, 0.2178298979997635)","(0.662226140499115, 0.23056435585021973)",1,1,2.589202880859375,2.5655975341796875,Fixation,POINT (0.6599599421024323 0.2241971269249916),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571746296,19086141770,1,1,"(0.6579147577285767, 0.2217293530702591)","(0.6644308567047119, 0.22684170305728912)",1,1,2.6204833984375,2.5560760498046875,Fixation,POINT (0.6611728072166443 0.2242855280637741),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571754629,19086150103,1,1,"(0.660405158996582, 0.22569231688976288)","(0.6602679491043091, 0.22395987808704376)",1,1,2.604354858398437,2.57171630859375,Fixation,POINT (0.6603365540504456 0.2248260974884033),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571762963,19086158437,1,1,"(0.6614968180656433, 0.2157309502363205)","(0.6645054221153259, 0.2331734001636505)",1,1,2.609222412109375,2.5695953369140625,Fixation,POINT (0.6630011200904846 0.2244521751999855),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571771301,19086166775,1,1,"(0.6581782698631287, 0.22095991671085358)","(0.6657852530479431, 0.2257697880268097)",1,1,2.593246459960937,2.561019897460937,Fixation,POINT (0.6619817614555359 0.2233648523688316),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571779634,19086175108,1,1,"(0.6607930660247803, 0.22244881093502045)","(0.6663029193878174, 0.2203151285648346)",1,1,2.609039306640625,2.565643310546875,Fixation,POINT (0.6635479927062988 0.2213819697499275),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571787968,19086183442,1,1,"(0.6614129543304443, 0.2185058444738388)","(0.6671727299690247, 0.2242869734764099)",1,1,2.583099365234375,2.5574951171875,Fixation,POINT (0.6642928421497345 0.2213964089751244),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571796301,19086191775,1,1,"(0.6591556072235107, 0.22459524869918823)","(0.6659544110298157, 0.2203301042318344)",1,1,2.619110107421875,2.561004638671875,Fixation,POINT (0.6625550091266632 0.2224626764655113),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571804635,19086200109,1,1,"(0.6602941751480103, 0.220425546169281)","(0.6687522530555725, 0.22024591267108917)",1,1,2.607284545898437,2.5543975830078125,Fixation,POINT (0.6645232141017914 0.2203357294201851),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571812968,19086208442,1,1,"(0.6575407385826111, 0.22443340718746185)","(0.6664602756500244, 0.22789019346237183)",1,1,2.605819702148437,2.5457305908203125,Fixation,POINT (0.6620005071163177 0.2261618003249168),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571821301,19086216775,1,1,"(0.6623215675354004, 0.21763385832309723)","(0.6700382828712463, 0.22623084485530853)",1,1,2.607391357421875,2.54595947265625,Fixation,POINT (0.6661799252033234 0.2219323515892029),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571829634,19086225108,1,1,"(0.662827730178833, 0.22035709023475647)","(0.6674566268920898, 0.22371821105480194)",1,1,2.58306884765625,2.54864501953125,Fixation,POINT (0.6651421785354614 0.2220376506447792),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571837968,19086233442,1,1,"(0.6616067886352539, 0.22022965550422668)","(0.6702290177345276, 0.2273266315460205)",1,1,2.5969390869140625,2.534088134765625,Fixation,POINT (0.6659179031848907 0.2237781435251236),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571846301,19086241775,1,1,"(0.6607143878936768, 0.21591685712337494)","(0.6682320237159729, 0.22546415030956268)",1,1,2.5835723876953125,2.542343139648437,Fixation,POINT (0.6644732058048248 0.2206905037164688),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571854635,19086250109,1,1,"(0.6618696451187134, 0.21856869757175446)","(0.669131338596344, 0.22966961562633514)",1,1,2.584320068359375,2.5482177734375,Fixation,POINT (0.6655004918575287 0.2241191565990448),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571862968,19086258442,1,1,"(0.6616124510765076, 0.21452391147613525)","(0.6691694855690002, 0.22250604629516602)",1,1,2.5880279541015625,2.5461578369140625,Fixation,POINT (0.6653909683227539 0.2185149788856506),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,setCombo_Value,19344536,1210571937974,19086333447,1,1,"(0.16860158741474152, 0.16298171877861023)","(0.1762678325176239, 0.17784000933170319)",1,1,2.540557861328125,2.585067749023437,Fixation,POINT (0.1724347099661827 0.1704108640551567),,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,setCombo_Value,19344536,1210571946307,19086341780,1,1,"(0.17396506667137146, 0.1570776253938675)","(0.17910760641098022, 0.16860683262348175)",1,1,2.5364532470703125,2.593124389648437,Fixation,POINT (0.1765363365411758 0.1628422290086746),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,setCombo_Value,19344536,1210571954641,19086350114,1,1,"(0.16608016192913055, 0.1618036925792694)","(0.1743866354227066, 0.17300698161125183)",1,1,2.5337677001953125,2.585174560546875,Fixation,POINT (0.1702333986759186 0.1674053370952606),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,setCombo_Value,19344536,1210571962974,19086358447,1,1,"(0.17443692684173584, 0.15580444037914276)","(0.17494069039821625, 0.16705231368541718)",1,1,2.544403076171875,2.5706024169921875,Fixation,POINT (0.174688808619976 0.16142837703228),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,setCombo_Value,19344536,1210571971307,19086366780,1,1,"(0.17588672041893005, 0.15680651366710663)","(0.17403003573417664, 0.16951695084571838)",1,1,2.5164794921875,2.581771850585937,Fixation,POINT (0.1749583780765533 0.1631617322564125),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,setCombo_Value,19344536,1210571979640,19086375113,1,1,"(0.17138680815696716, 0.15806856751441956)","(0.17524053156375885, 0.16990509629249573)",1,1,2.5140838623046875,2.561370849609375,Fixation,POINT (0.173313669860363 0.1639868319034576),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,setCombo_Value,19344536,1210571987974,19086383447,1,1,"(0.17283698916435242, 0.16525128483772278)","(0.17121346294879913, 0.17019861936569214)",1,1,2.4950714111328125,2.576278686523437,Fixation,POINT (0.1720252260565758 0.1677249521017075),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,setCombo_Value,19344536,1210571996307,19086391780,1,1,"(0.1760527789592743, 0.163778617978096)","(0.17469778656959534, 0.1793663203716278)",1,1,2.5081024169921875,2.5620880126953125,Fixation,POINT (0.1753752827644348 0.1715724691748619),,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,setCombo_Value,19344536,1210572004640,19086400113,1,1,"(0.17714561522006989, 0.16534234583377838)","(0.17299482226371765, 0.172938272356987)",1,1,2.5221099853515625,2.5581207275390625,Fixation,POINT (0.1750702187418938 0.1691403090953827),,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,setCombo_Value,19344536,1210572012973,19086408446,1,1,"(0.17152026295661926, 0.16893306374549866)","(0.16980507969856262, 0.17241857945919037)",1,1,2.5033111572265625,2.550277709960937,Fixation,POINT (0.1706626713275909 0.1706758216023445),,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,setCombo_Value,19344536,1210572021307,19086416780,1,1,"(0.17107117176055908, 0.16692191362380981)","(0.17313215136528015, 0.17320369184017181)",1,1,2.496932983398437,2.547882080078125,Fixation,POINT (0.1721016615629196 0.1700628027319908),,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,setCombo_Value,19344536,1210572029644,19086425117,1,1,"(0.17445041239261627, 0.16236664354801178)","(0.17458266019821167, 0.17143452167510986)",1,1,2.500961303710937,2.5386962890625,Fixation,POINT (0.174516536295414 0.1669005826115608),,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,setCombo_Value,19344536,1210572037978,19086433451,1,1,"(0.17185275256633759, 0.16302278637886047)","(0.17344500124454498, 0.1722414642572403)",1,1,2.491424560546875,2.549041748046875,Fixation,POINT (0.1726488769054413 0.1676321253180504),,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,setCombo_Value,19344536,1210572046311,19086441784,1,1,"(0.17631083726882935, 0.16181327402591705)","(0.17342571914196014, 0.16984857618808746)",1,1,2.504913330078125,2.54937744140625,Fixation,POINT (0.1748682782053947 0.1658309251070023),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,setCombo_Value,19344536,1210572054645,19086450118,1,1,"(0.17362858355045319, 0.162275031208992)","(0.17513662576675415, 0.16700942814350128)",1,1,2.491851806640625,2.529815673828125,Fixation,POINT (0.1743826046586037 0.1646422296762466),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,setCombo_Value,19344536,1210572062977,19086458450,1,1,"(0.17220202088356018, 0.15953519940376282)","(0.1712666153907776, 0.17185746133327484)",1,1,2.478302001953125,2.549285888671875,Fixation,POINT (0.1717343181371689 0.1656963303685188),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,setCombo_Value,19344536,1210572071311,19086466784,1,1,"(0.1750604212284088, 0.1653752326965332)","(0.1753631979227066, 0.1723138689994812)",1,1,2.5158843994140625,2.53802490234375,Fixation,POINT (0.1752118095755577 0.1688445508480072),,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,setCombo_Value,19344536,1210572079644,19086475117,1,1,"(0.17193591594696045, 0.16659927368164062)","(0.1728392392396927, 0.16645698249340057)",1,1,2.478622436523437,2.534942626953125,Fixation,POINT (0.1723875775933266 0.1665281280875206),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,setCombo_Value,19344536,1210572087977,19086483450,1,1,"(0.17622371017932892, 0.1629066914319992)","(0.17228756844997406, 0.1674412041902542)",1,1,2.47515869140625,2.531158447265625,Fixation,POINT (0.1742556393146515 0.1651739478111267),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,setCombo_Value,19344536,1210572096311,19086491784,1,1,"(0.16971386969089508, 0.1620548963546753)","(0.174783393740654, 0.17044764757156372)",1,1,2.4732208251953125,2.5238800048828125,Fixation,POINT (0.1722486317157745 0.1662512719631195),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,setCombo_Value,19344536,1210572104645,19086500118,1,1,"(0.17108535766601562, 0.1657584011554718)","(0.17365993559360504, 0.16783513128757477)",1,1,2.481918334960937,2.5300445556640625,Fixation,POINT (0.1723726466298103 0.1667967662215233),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
