,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,protected.0,void.0,tellAgain.0,final.0,QName.0,message.0,throws.0,RemoteException.0,final.1,AbstractCoordParticipantProxy.0,proxy.0,=.0,this.0,getParticipantProxy.0,if.0,State.0,MESSAGE_CANCEL.0,equals.0,message.1,proxy.1,cancelOperation.0,nan.0,else if.0,State.1,MESSAGE_COMPENSATE.0,equals.1,message.2,proxy.2,compensateOperation.0,nan.1,else if.1,State.2,MESSAGE_CLOSE.0,equals.2,message.3,proxy.3,closeOperation.0,nan.2,else if.2,State.3,MESSAGE_EXITED.0,equals.3,message.4,proxy.4,exitedOperation.0,nan.3,else if.3,State.4,MESSAGE_FAULTED.0,equals.4,message.5,proxy.5,faultedOperation.0,nan.4,else if.4,State.5,MESSAGE_GETSTATUS.0,equals.5,message.6,proxy.6,getStatusOperation.0,nan.5,else.0,throw.0,new.0,IllegalArgumentException.0,"""Sorry cannot tell a participant "".100",+.0,message.7,prewritten,accurate,missing,unnecessary,readable,code
0,136,tellAgain,18912425,1208013282849,16527686267,1,1,"(0.37534964084625244, 0.21781480312347412)","(0.3798675239086151, 0.2504083812236786)",1,1,2.5673980712890625,2.578842163085937,Fixation,POINT (0.3776085823774338 0.2341115921735764),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208013291182,16527694600,1,1,"(0.3764471411705017, 0.2143910825252533)","(0.38177505135536194, 0.252223402261734)",1,1,2.589569091796875,2.575653076171875,Fixation,POINT (0.3791110962629318 0.2333072423934936),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208013299515,16527702933,1,1,"(0.3820297122001648, 0.2112930417060852)","(0.38225188851356506, 0.2329212725162506)",1,1,2.5835418701171875,2.5921630859375,Fixation,POINT (0.3821408003568649 0.2221071571111679),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208013307849,16527711267,1,1,"(0.3857244551181793, 0.20561586320400238)","(0.38745734095573425, 0.23701952397823334)",1,1,2.598846435546875,2.572845458984375,Fixation,POINT (0.3865908980369568 0.2213176935911179),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208013316182,16527719600,1,1,"(0.3832787275314331, 0.2031429260969162)","(0.38599321246147156, 0.23482561111450195)",1,1,2.6022186279296875,2.580307006835937,Fixation,POINT (0.3846359699964523 0.2189842686057091),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208013324513,16527727931,1,1,"(0.3858310878276825, 0.20659154653549194)","(0.3851475119590759, 0.24119523167610168)",1,1,2.61212158203125,2.60693359375,Fixation,POINT (0.3854892998933792 0.2238933891057968),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208013332849,16527736267,1,1,"(0.38185587525367737, 0.21235965192317963)","(0.385885626077652, 0.22384251654148102)",1,1,2.576171875,2.593841552734375,Fixation,POINT (0.3838707506656647 0.2181010842323303),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208013341182,16527744600,1,1,"(0.3856278359889984, 0.22402463853359222)","(0.38560277223587036, 0.234946608543396)",1,1,2.6115875244140625,2.5976104736328125,Fixation,POINT (0.3856153041124344 0.2294856235384941),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208013349515,16527752933,1,1,"(0.3879619240760803, 0.2147047221660614)","(0.38525933027267456, 0.2249159961938858)",1,1,2.6165313720703125,2.5986328125,Fixation,POINT (0.3866106271743774 0.2198103591799736),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208013357849,16527761267,1,1,"(0.39010271430015564, 0.1964157223701477)","(0.38329005241394043, 0.22476568818092346)",1,1,2.613800048828125,2.5932159423828125,Fixation,POINT (0.386696383357048 0.2105907052755356),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208013366182,16527769600,1,1,"(0.39599114656448364, 0.20739588141441345)","(0.3833145499229431, 0.2285371869802475)",1,1,2.614120483398437,2.60015869140625,Fixation,POINT (0.3896528482437134 0.2179665341973305),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208013374515,16527777933,1,1,"(0.39746057987213135, 0.2156541496515274)","(0.3827935755252838, 0.22620652616024017)",1,1,2.6236114501953125,2.6008758544921875,Fixation,POINT (0.3901270776987076 0.2209303379058838),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208013382849,16527786267,1,1,"(0.39200273156166077, 0.2241940200328827)","(0.3810988664627075, 0.23278586566448212)",1,1,2.63470458984375,2.5951080322265625,Fixation,POINT (0.3865507990121841 0.2284899428486824),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208013391180,16527794598,1,1,"(0.37991568446159363, 0.2243533879518509)","(0.3809339106082916, 0.2323865443468094)",1,1,2.627685546875,2.6005859375,Fixation,POINT (0.3804247975349426 0.2283699661493301),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208013399513,16527802931,1,1,"(0.3934233784675598, 0.2212246060371399)","(0.38094648718833923, 0.2330506145954132)",1,1,2.618881225585937,2.6173553466796875,Fixation,POINT (0.3871849328279495 0.2271376103162766),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208013407850,16527811268,1,1,"(0.3975563049316406, 0.22568824887275696)","(0.38098230957984924, 0.2433006912469864)",1,1,2.631072998046875,2.603424072265625,Fixation,POINT (0.3892693072557449 0.2344944700598717),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208013416183,16527819601,1,1,"(0.3896917700767517, 0.21798285841941833)","(0.37626275420188904, 0.23786598443984985)",1,1,2.623397827148437,2.5848846435546875,Fixation,POINT (0.3829772621393204 0.2279244214296341),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208013424516,16527827934,1,1,"(0.3793288469314575, 0.2086063176393509)","(0.3775028586387634, 0.24111691117286682)",1,1,2.62646484375,2.600677490234375,Fixation,POINT (0.3784158527851105 0.2248616144061089),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208013432850,16527836268,1,1,"(0.39932405948638916, 0.2091587334871292)","(0.3719351887702942, 0.23431263864040375)",1,1,2.6333465576171875,2.61370849609375,Fixation,POINT (0.3856296241283417 0.2217356860637665),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208013441183,16527844601,1,1,"(0.3937133550643921, 0.22075439989566803)","(0.37215083837509155, 0.23162440955638885)",1,1,2.6057891845703125,2.6063995361328125,Fixation,POINT (0.3829320967197418 0.2261894047260284),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208013449516,16527852934,1,1,"(0.38703665137290955, 0.20763878524303436)","(0.377092182636261, 0.22576545178890228)",1,1,2.6220703125,2.6006317138671875,Fixation,POINT (0.3820644170045853 0.2167021185159683),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208013457850,16527861268,1,1,"(0.3986000418663025, 0.2221648395061493)","(0.3904544711112976, 0.24150611460208893)",1,1,2.616973876953125,2.6067657470703125,Fixation,POINT (0.3945272564888 0.2318354770541191),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208013507850,16527911268,1,1,"(0.5616636276245117, 0.23857511579990387)","(0.5641430020332336, 0.3024843633174896)",1,1,2.6676177978515625,2.6029510498046875,Fixation,POINT (0.5629033148288727 0.2705297395586968),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,tellAgain,18912425,1208013516183,16527919601,1,1,"(0.5660533905029297, 0.2257756143808365)","(0.562525749206543, 0.29134586453437805)",1,1,2.648681640625,2.6108856201171875,Fixation,POINT (0.5642895698547363 0.2585607394576073),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,tellAgain,18912425,1208013524516,16527927934,1,1,"(0.5629457235336304, 0.23042705655097961)","(0.5615559220314026, 0.2962619960308075)",1,1,2.642303466796875,2.605499267578125,Fixation,POINT (0.5622508227825165 0.2633445262908936),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,tellAgain,18912425,1208013532850,16527936268,1,1,"(0.5616075992584229, 0.2214578241109848)","(0.5669938921928406, 0.28107550740242004)",1,1,2.644927978515625,2.58111572265625,Fixation,POINT (0.5643007457256317 0.2512666657567024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,tellAgain,18912425,1208013541188,16527944606,1,1,"(0.5620294809341431, 0.21776318550109863)","(0.5661612153053284, 0.28886711597442627)",1,1,2.6610870361328125,2.593658447265625,Fixation,POINT (0.5640953481197357 0.2533151507377624),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,tellAgain,18912425,1208013549521,16527952939,1,1,"(0.5586264729499817, 0.207620307803154)","(0.5643479824066162, 0.2912338376045227)",1,1,2.660614013671875,2.600692749023437,Fixation,POINT (0.561487227678299 0.2494270727038384),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,tellAgain,18912425,1208013557855,16527961273,1,1,"(0.5596253275871277, 0.21892103552818298)","(0.5617417693138123, 0.2881109118461609)",1,1,2.620361328125,2.600006103515625,Fixation,POINT (0.56068354845047 0.2535159736871719),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,tellAgain,18912425,1208013566188,16527969606,1,1,"(0.5603988170623779, 0.2219720333814621)","(0.5667688846588135, 0.28309497237205505)",1,1,2.623779296875,2.5975799560546875,Fixation,POINT (0.5635838508605957 0.2525335028767586),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,tellAgain,18912425,1208013574521,16527977939,1,1,"(0.5593546628952026, 0.22389701008796692)","(0.5675004124641418, 0.28314271569252014)",1,1,2.6365509033203125,2.6319122314453125,Fixation,POINT (0.5634275376796722 0.2535198628902435),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,tellAgain,18912425,1208013582855,16527986273,1,1,"(0.5593418478965759, 0.22873365879058838)","(0.5699347257614136, 0.26685842871665955)",1,1,2.6574859619140625,2.61260986328125,Fixation,POINT (0.5646382868289948 0.247796043753624),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,tellAgain,18912425,1208013591188,16527994606,1,1,"(0.5638462901115417, 0.23065634071826935)","(0.5615984797477722, 0.255743145942688)",1,1,2.6365509033203125,2.625213623046875,Fixation,POINT (0.562722384929657 0.2431997433304787),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,tellAgain,18912425,1208014066205,16528469623,1,1,"(0.042082883417606354, 0.1133565828204155)","(0.08339495956897736, 0.11630523949861526)",1,1,2.54547119140625,2.4765777587890625,,POINT (0.0627389214932918 0.1148309111595154),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208014074538,16528477956,1,1,"(0.04146634787321091, 0.1152646392583847)","(0.08128205686807632, 0.10272613912820816)",1,1,2.557891845703125,2.487640380859375,Fixation,POINT (0.0613742023706436 0.1089953891932964),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208014082872,16528486291,1,1,"(0.04535922408103943, 0.11326658725738525)","(0.07196281105279922, 0.10049548745155334)",1,1,2.546737670898437,2.502105712890625,Fixation,POINT (0.0586610175669193 0.1068810373544693),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208014091207,16528494625,1,1,"(0.042875487357378006, 0.11350826919078827)","(0.07283471524715424, 0.10156441479921341)",1,1,2.556793212890625,2.516708374023437,Fixation,POINT (0.0578551013022661 0.1075363419950008),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208014099540,16528502958,1,1,"(0.050987452268600464, 0.11359565705060959)","(0.07029205560684204, 0.09069652855396271)",1,1,2.595184326171875,2.50604248046875,Fixation,POINT (0.0606397539377212 0.1021460928022862),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208014107872,16528511291,1,1,"(0.048283204436302185, 0.11596179008483887)","(0.07474814355373383, 0.09328566491603851)",1,1,2.58294677734375,2.5072174072265625,Fixation,POINT (0.061515673995018 0.1046237275004387),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208014116207,16528519625,1,1,"(0.04271461442112923, 0.11224770545959473)","(0.07528403401374817, 0.0936487466096878)",1,1,2.5650634765625,2.5006103515625,Fixation,POINT (0.0589993242174387 0.1029482260346413),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208014124540,16528527958,1,1,"(0.04551522433757782, 0.11908908188343048)","(0.07305257022380829, 0.10385222733020782)",1,1,2.5620269775390625,2.492767333984375,Fixation,POINT (0.0592838972806931 0.1114706546068192),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208014132873,16528536291,1,1,"(0.04718563333153725, 0.1149858757853508)","(0.07317294180393219, 0.10728829354047775)",1,1,2.557952880859375,2.504486083984375,Fixation,POINT (0.0601792875677347 0.1111370846629143),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208014141207,16528544625,1,1,"(0.046731092035770416, 0.11330129206180573)","(0.0678015723824501, 0.10382719337940216)",1,1,2.57073974609375,2.4809722900390625,Fixation,POINT (0.0572663322091103 0.1085642427206039),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208014149540,16528552958,1,1,"(0.04210608825087547, 0.11407948285341263)","(0.06316772103309631, 0.11596311628818512)",1,1,2.5727996826171875,2.5095672607421875,Fixation,POINT (0.0526369046419859 0.1150212995707989),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208014157873,16528561291,1,1,"(0.041715797036886215, 0.11477948725223541)","(0.07034076750278473, 0.11187819391489029)",1,1,2.560211181640625,2.498931884765625,Fixation,POINT (0.0560282822698355 0.1133288405835628),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208014166207,16528569625,1,1,"(0.040648262947797775, 0.11312130093574524)","(0.07038339972496033, 0.09492535889148712)",1,1,2.542953491210937,2.506378173828125,Fixation,POINT (0.055515831336379 0.1040233299136162),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208014174540,16528577958,1,1,"(0.036677416414022446, 0.10682108998298645)","(0.07272405177354813, 0.09011024236679077)",1,1,2.5500640869140625,2.503402709960937,Fixation,POINT (0.0547007340937853 0.0984656661748886),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208014182873,16528586291,1,1,"(0.03558044880628586, 0.10184916108846664)","(0.07246261090040207, 0.09865958243608475)",1,1,2.5662384033203125,2.5126953125,Fixation,POINT (0.054021529853344 0.1002543717622757),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208014191212,16528594630,1,1,"(0.035324398428201675, 0.11363345384597778)","(0.06921204179525375, 0.10856648534536362)",1,1,2.549285888671875,2.487899780273437,Fixation,POINT (0.0522682201117277 0.1110999695956707),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208014199545,16528602963,1,1,"(0.03260688856244087, 0.09743183851242065)","(0.07006131112575531, 0.11157240718603134)",1,1,2.5359649658203125,2.500228881835937,Fixation,POINT (0.0513340998440981 0.104502122849226),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208014207878,16528611296,1,1,"(0.033509112894535065, 0.10260829329490662)","(0.07343251258134842, 0.10842265188694)",1,1,2.53680419921875,2.490081787109375,Fixation,POINT (0.0534708127379417 0.1055154725909233),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208014216211,16528619629,1,1,"(0.031898025423288345, 0.09616940468549728)","(0.07016989588737488, 0.09911390393972397)",1,1,2.5542755126953125,2.4945831298828125,Fixation,POINT (0.0510339606553316 0.0976416543126106),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208014224545,16528627963,1,1,"(0.03518133983016014, 0.09653151780366898)","(0.07161659747362137, 0.11270454525947571)",1,1,2.55389404296875,2.472930908203125,Fixation,POINT (0.0533989686518908 0.1046180315315723),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208014232878,16528636296,1,1,"(0.02838834933936596, 0.09935104101896286)","(0.07328677177429199, 0.11551793664693832)",1,1,2.566558837890625,2.48651123046875,Fixation,POINT (0.050837560556829 0.1074344888329506),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,tellAgain,18912425,1208014241212,16528644630,1,1,"(0.04909791424870491, 0.12507003545761108)","(0.0786060243844986, 0.1263682246208191)",1,1,2.5756988525390625,2.48016357421875,Fixation,POINT (0.0638519693166018 0.1257191300392151),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
