,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,private.0,void.0,actionLoadNotes.0,enableUserActions.0,FALSE.0,"// set focus otherwise it gives focus to ""clear"" >> scary/not wanted.200",multiSubmitButton.0,requestFocusInWindow.0,resetSingleTextFields.0,multipleGUIList.0,clearSelection.0,multipleResources.0,=.0,loadNotesFile.0,updateMultiList.0,enableUserActions.1,TRUE.0,prewritten,accurate,missing,unnecessary,readable,code
0,136,actionLoadNotes,34425716,1209803825089,18318223406,1,1,"(0.6891735196113586, 0.2193630337715149)","(0.6898905634880066, 0.2230202704668045)",1,1,2.469955444335937,2.4756011962890625,Fixation,POINT (0.6895320415496826 0.2211916521191597),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209803833423,18318231740,1,1,"(0.6920880079269409, 0.2213134467601776)","(0.6900721192359924, 0.21578052639961243)",1,1,2.4795684814453125,2.472930908203125,Fixation,POINT (0.6910800635814667 0.218546986579895),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209803841756,18318240073,1,1,"(0.6886175870895386, 0.21182620525360107)","(0.6892727613449097, 0.2194896936416626)",1,1,2.471038818359375,2.4765167236328125,Fixation,POINT (0.6889451742172241 0.2156579494476318),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209803850089,18318248406,1,1,"(0.6877820491790771, 0.2190631777048111)","(0.6902413964271545, 0.22025108337402344)",1,1,2.458465576171875,2.471435546875,Fixation,POINT (0.6890117228031158 0.2196571305394173),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209803858422,18318256739,1,1,"(0.6899427175521851, 0.20694027841091156)","(0.6913020014762878, 0.21924327313899994)",1,1,2.4482421875,2.4488525390625,Fixation,POINT (0.6906223595142365 0.2130917757749558),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209803866755,18318265072,1,1,"(0.6713682413101196, 0.2102407068014145)","(0.6811742782592773, 0.2208499312400818)",1,1,2.4464111328125,2.460479736328125,Fixation,POINT (0.6762712597846985 0.2155453190207481),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209803883422,18318281739,1,1,"(0.6651973128318787, 0.21876023709774017)","(0.6707650423049927, 0.2241535782814026)",1,1,2.4812469482421875,2.4661102294921875,Fixation,POINT (0.6679811775684357 0.2214569076895714),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209803891755,18318290072,1,1,"(0.6650031805038452, 0.21961848437786102)","(0.6670915484428406, 0.2212754338979721)",1,1,2.4832763671875,2.461181640625,Fixation,POINT (0.6660473644733429 0.2204469591379166),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209803900089,18318298406,1,1,"(0.664878249168396, 0.22748816013336182)","(0.667617917060852, 0.22643497586250305)",1,1,2.496444702148437,2.456939697265625,Fixation,POINT (0.666248083114624 0.2269615679979324),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209803908422,18318306739,1,1,"(0.6647487878799438, 0.2228790819644928)","(0.6655293703079224, 0.22807788848876953)",1,1,2.4740753173828125,2.4597320556640625,Fixation,POINT (0.6651390790939331 0.2254784852266312),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209803916759,18318315076,1,1,"(0.6617838740348816, 0.2259012758731842)","(0.6653944849967957, 0.22586621344089508)",1,1,2.480438232421875,2.462158203125,Fixation,POINT (0.6635891795158386 0.2258837446570396),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209803925093,18318323409,1,1,"(0.6645144820213318, 0.22437645494937897)","(0.6677706241607666, 0.2181915044784546)",1,1,2.4811553955078125,2.461944580078125,Fixation,POINT (0.6661425530910492 0.2212839797139168),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209803933426,18318331742,1,1,"(0.6630915403366089, 0.22437965869903564)","(0.6668252348899841, 0.221159428358078)",1,1,2.4763641357421875,2.447982788085937,Fixation,POINT (0.6649583876132965 0.2227695435285568),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209803941759,18318340075,1,1,"(0.6638973951339722, 0.2223379760980606)","(0.6669548153877258, 0.22709070146083832)",1,1,2.45263671875,2.445175170898437,Fixation,POINT (0.665426105260849 0.2247143387794495),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209803950093,18318348409,1,1,"(0.6632511615753174, 0.21969346702098846)","(0.6675413846969604, 0.22111822664737701)",1,1,2.4828338623046875,2.4404296875,Fixation,POINT (0.6653962731361389 0.2204058468341827),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209803958426,18318356742,1,1,"(0.6652037501335144, 0.2223891168832779)","(0.6652531027793884, 0.22153936326503754)",1,1,2.478302001953125,2.460433959960937,Fixation,POINT (0.6652284264564514 0.2219642400741577),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209803966759,18318365075,1,1,"(0.6621072888374329, 0.21943248808383942)","(0.6665382385253906, 0.22527243196964264)",1,1,2.471343994140625,2.448593139648437,Fixation,POINT (0.6643227636814117 0.222352460026741),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209803975093,18318373409,1,1,"(0.6663661003112793, 0.22546923160552979)","(0.666670024394989, 0.22084327042102814)",1,1,2.4767608642578125,2.437606811523437,Fixation,POINT (0.6665180623531342 0.223156251013279),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209803983426,18318381742,1,1,"(0.6644610166549683, 0.21896955370903015)","(0.6663260459899902, 0.2246854156255722)",1,1,2.471923828125,2.444915771484375,Fixation,POINT (0.6653935313224792 0.2218274846673012),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209803991760,18318390076,1,1,"(0.6647858023643494, 0.22313354909420013)","(0.6665940284729004, 0.22195130586624146)",1,1,2.4807281494140625,2.451202392578125,Fixation,POINT (0.6656899154186249 0.2225424274802208),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209804000093,18318398409,1,1,"(0.6619210243225098, 0.22450987994670868)","(0.667772650718689, 0.22241070866584778)",1,1,2.4823760986328125,2.44769287109375,Fixation,POINT (0.6648468375205994 0.2234602943062782),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209804008426,18318406742,1,1,"(0.6645691394805908, 0.21732275187969208)","(0.6676527857780457, 0.21018363535404205)",1,1,2.473388671875,2.44439697265625,Fixation,POINT (0.6661109626293182 0.2137531936168671),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209804016760,18318415076,1,1,"(0.6645289659500122, 0.21716949343681335)","(0.6693164110183716, 0.2090919017791748)",1,1,2.4646453857421875,2.413421630859375,Fixation,POINT (0.6669226884841919 0.2131306976079941),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209804025093,18318423409,1,1,"(0.6638763546943665, 0.2184084802865982)","(0.6702801585197449, 0.21568849682807922)",1,1,2.449951171875,2.43719482421875,Fixation,POINT (0.6670782566070557 0.2170484885573387),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209804033426,18318431742,1,1,"(0.6637377738952637, 0.22331753373146057)","(0.668704628944397, 0.2212868481874466)",1,1,2.4677886962890625,2.434722900390625,Fixation,POINT (0.6662212014198303 0.2223021909594536),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209804041759,18318440075,1,1,"(0.6642125248908997, 0.23393909633159637)","(0.6727184653282166, 0.2264419049024582)",1,1,2.4778594970703125,2.4468536376953125,Fixation,POINT (0.6684654951095581 0.2301905006170273),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209804050098,18318448414,1,1,"(0.6651152968406677, 0.21794931590557098)","(0.6712718605995178, 0.22463716566562653)",1,1,2.471038818359375,2.4382476806640625,Fixation,POINT (0.6681935787200928 0.2212932407855988),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209804058431,18318456747,1,1,"(0.6656523942947388, 0.2261498123407364)","(0.671333909034729, 0.22033198177814484)",1,1,2.49444580078125,2.44671630859375,Fixation,POINT (0.6684931516647339 0.2232408970594406),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209804066764,18318465080,1,1,"(0.6663269996643066, 0.22408932447433472)","(0.6703125238418579, 0.22358514368534088)",1,1,2.46929931640625,2.439971923828125,Fixation,POINT (0.6683197617530823 0.2238372340798378),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209804075098,18318473414,1,1,"(0.6669369339942932, 0.2261532098054886)","(0.6685057282447815, 0.2223753035068512)",1,1,2.492034912109375,2.432830810546875,Fixation,POINT (0.6677213311195374 0.2242642566561699),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209804083431,18318481747,1,1,"(0.668327271938324, 0.22653412818908691)","(0.6706475615501404, 0.22688482701778412)",1,1,2.502792358398437,2.438629150390625,Fixation,POINT (0.6694874167442322 0.2267094776034355),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209804091765,18318490081,1,1,"(0.6635352373123169, 0.22323521971702576)","(0.6689950227737427, 0.2212757021188736)",1,1,2.47564697265625,2.4453582763671875,Fixation,POINT (0.6662651300430298 0.2222554609179497),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209804100098,18318498414,1,1,"(0.6660658717155457, 0.21853524446487427)","(0.6704838275909424, 0.2257014513015747)",1,1,2.46014404296875,2.454696655273437,Fixation,POINT (0.668274849653244 0.2221183478832245),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209804108431,18318506747,1,1,"(0.6638377904891968, 0.22540955245494843)","(0.6677175760269165, 0.22488221526145935)",1,1,2.4790802001953125,2.4505157470703125,Fixation,POINT (0.6657776832580566 0.2251458838582039),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209804133431,18318531747,1,1,"(0.7200955748558044, 0.2243177443742752)","(0.7270675301551819, 0.22676602005958557)",1,1,2.47821044921875,2.43548583984375,Fixation,POINT (0.7235815525054932 0.2255418822169304),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209804141764,18318540080,1,1,"(0.7204592823982239, 0.2163267433643341)","(0.7305496335029602, 0.2196698784828186)",1,1,2.473983764648437,2.4392242431640625,Fixation,POINT (0.725504457950592 0.2179983109235764),,,,,,,,,,,,,,,,,,1,,,,,
0,136,actionLoadNotes,34425716,1209804150098,18318548414,1,1,"(0.7242671251296997, 0.21621458232402802)","(0.7314038872718811, 0.2258332520723343)",1,1,2.478424072265625,2.4252471923828125,Fixation,POINT (0.7278355062007904 0.2210239171981812),,,,,,,,,,,,,,,,,,1,,,,,
0,136,actionLoadNotes,34425716,1209804158432,18318556747,1,1,"(0.7217447757720947, 0.2115427851676941)","(0.7313157916069031, 0.22223125398159027)",1,1,2.463119506835937,2.4306182861328125,Fixation,POINT (0.7265302836894989 0.2168870195746422),,,,,,,,,,,,,,,,,,1,,,,,
0,136,actionLoadNotes,34425716,1209804166766,18318565081,1,1,"(0.7234677076339722, 0.20582543313503265)","(0.7266866564750671, 0.2167433649301529)",1,1,2.467636108398437,2.431121826171875,Fixation,POINT (0.7250771820545197 0.2112843990325928),,,,,,,,,,,,,,,,,,1,,,,,
0,136,actionLoadNotes,34425716,1209804175099,18318573414,1,1,"(0.7224225401878357, 0.21018047630786896)","(0.7264068126678467, 0.22285130620002747)",1,1,2.456283569335937,2.451522827148437,Fixation,POINT (0.7244146764278412 0.2165158912539482),,,,,,,,,,,,,,,,,,1,,,,,
0,136,actionLoadNotes,34425716,1209804183436,18318581751,1,1,"(0.7205585837364197, 0.20733392238616943)","(0.7298433780670166, 0.22506818175315857)",1,1,2.471298217773437,2.4481964111328125,Fixation,POINT (0.7252009809017181 0.216201052069664),,,,,,,,,,,,,,,,,,1,,,,,
0,136,actionLoadNotes,34425716,1209804191770,18318590085,1,1,"(0.7254196405410767, 0.21542823314666748)","(0.7288864850997925, 0.2261582314968109)",1,1,2.48358154296875,2.43975830078125,Fixation,POINT (0.7271530628204346 0.2207932323217392),,,,,,,,,,,,,,,,,,1,,,,,
0,136,actionLoadNotes,34425716,1209804200103,18318598417,1,1,"(0.725881814956665, 0.21764905750751495)","(0.7310090661048889, 0.22673459351062775)",1,1,2.4907684326171875,2.432830810546875,Fixation,POINT (0.728445440530777 0.2221918255090714),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209804208437,18318606751,1,1,"(0.7274577617645264, 0.21614348888397217)","(0.7319093346595764, 0.22827976942062378)",1,1,2.4824981689453125,2.4289093017578125,Fixation,POINT (0.7296835482120514 0.222211629152298),,,,,,,,,,,,,,,,,,1,,,,,
0,136,actionLoadNotes,34425716,1209804216770,18318615084,1,1,"(0.7218057513237, 0.21618463099002838)","(0.7314878702163696, 0.22536221146583557)",1,1,2.47515869140625,2.4284820556640625,Fixation,POINT (0.7266468107700348 0.220773421227932),,,,,,,,,,,,,,,,,,1,,,,,
0,136,actionLoadNotes,34425716,1209804225103,18318623417,1,1,"(0.7238380908966064, 0.21552062034606934)","(0.7322781085968018, 0.22247755527496338)",1,1,2.4730377197265625,2.4375,Fixation,POINT (0.7280580997467041 0.2189990878105164),,,,,,,,,,,,,,,,,,1,,,,,
0,136,actionLoadNotes,34425716,1209804233437,18318631751,1,1,"(0.7234735488891602, 0.22635012865066528)","(0.731138288974762, 0.222590833902359)",1,1,2.49456787109375,2.43817138671875,Fixation,POINT (0.7273059189319611 0.2244704812765122),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209804241770,18318640084,1,1,"(0.7222611904144287, 0.22193871438503265)","(0.7311580777168274, 0.2261049598455429)",1,1,2.4921417236328125,2.4350738525390625,Fixation,POINT (0.726709634065628 0.2240218371152878),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209804250104,18318648418,1,1,"(0.7211105227470398, 0.22484226524829865)","(0.7279524207115173, 0.22870782017707825)",1,1,2.50543212890625,2.4191131591796875,Fixation,POINT (0.7245314717292786 0.2267750427126884),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209804258437,18318656751,1,1,"(0.7239424586296082, 0.22759608924388885)","(0.7274838089942932, 0.2268688976764679)",1,1,2.4967041015625,2.4272918701171875,Fixation,POINT (0.7257131338119507 0.2272324934601784),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209804266771,18318665085,1,1,"(0.7231119275093079, 0.22235223650932312)","(0.7274316549301147, 0.2276865690946579)",1,1,2.4853515625,2.431182861328125,Fixation,POINT (0.7252717912197113 0.2250194028019905),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209804275104,18318673418,1,1,"(0.7265019416809082, 0.2187250256538391)","(0.7287289500236511, 0.2235853374004364)",1,1,2.489486694335937,2.44000244140625,Fixation,POINT (0.7276154458522797 0.2211551815271378),,,,,,,,,,,,,,,,,,1,,,,,
0,136,actionLoadNotes,34425716,1209804283437,18318681751,1,1,"(0.7278392314910889, 0.2234836220741272)","(0.7297031283378601, 0.2212584763765335)",1,1,2.4975738525390625,2.440414428710937,Fixation,POINT (0.7287711799144745 0.2223710492253304),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209804291770,18318690084,1,1,"(0.7289513349533081, 0.22138112783432007)","(0.7300447225570679, 0.22422918677330017)",1,1,2.50677490234375,2.4257049560546875,Fixation,POINT (0.729498028755188 0.2228051573038101),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209804300103,18318698417,1,1,"(0.7238224744796753, 0.2209128886461258)","(0.7286372780799866, 0.22498668730258942)",1,1,2.488250732421875,2.438018798828125,Fixation,POINT (0.7262298762798309 0.2229497879743576),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209804308437,18318706751,1,1,"(0.7206886410713196, 0.22445203363895416)","(0.7294374108314514, 0.22126208245754242)",1,1,2.505233764648437,2.4349517822265625,Fixation,POINT (0.7250630259513855 0.2228570580482483),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209804316774,18318715088,1,1,"(0.722665011882782, 0.21360455453395844)","(0.7305053472518921, 0.2240939885377884)",1,1,2.484954833984375,2.429656982421875,Fixation,POINT (0.726585179567337 0.2188492715358734),,,,,,,,,,,,,,,,,,1,,,,,
0,136,actionLoadNotes,34425716,1209804325106,18318723420,1,1,"(0.7274184226989746, 0.22100290656089783)","(0.7350825667381287, 0.227394238114357)",1,1,2.4882354736328125,2.426483154296875,Fixation,POINT (0.7312504947185516 0.2241985723376274),,,,,,,,,,,,,,,,,,,,,,,
0,136,actionLoadNotes,34425716,1209804341774,18318740088,1,1,"(0.7773473858833313, 0.2175825834274292)","(0.7818112373352051, 0.2300337553024292)",1,1,2.4870758056640625,2.4331207275390625,Fixation,POINT (0.7795793116092682 0.2238081693649292),,,,,,,,,,,,,,,,,,1,,,,,
0,136,actionLoadNotes,34425716,1209804350106,18318748420,1,1,"(0.78606778383255, 0.2138894945383072)","(0.7904813289642334, 0.22527052462100983)",1,1,2.4928741455078125,2.4121551513671875,Fixation,POINT (0.7882745563983917 0.2195800095796585),,,,,,,,,,,,,,,,,,1,,,,,
0,136,actionLoadNotes,34425716,1209804358440,18318756754,1,1,"(0.783145546913147, 0.21589046716690063)","(0.7958868145942688, 0.22774383425712585)",1,1,2.487045288085937,2.4170684814453125,Fixation,POINT (0.7895161807537079 0.2218171507120132),,,,,,,,,,,,,,,,,,1,,,,,
0,136,actionLoadNotes,34425716,1209804366773,18318765087,1,1,"(0.7888538241386414, 0.21452689170837402)","(0.7925925254821777, 0.22712752223014832)",1,1,2.4994049072265625,2.4172821044921875,Fixation,POINT (0.7907231748104095 0.2208272069692612),,,,,,,,,,,,,,,,,,1,,,,,
0,136,actionLoadNotes,34425716,1209804375106,18318773420,1,1,"(0.7856724858283997, 0.21231608092784882)","(0.7936463952064514, 0.23018530011177063)",1,1,2.484344482421875,2.4377899169921875,Fixation,POINT (0.7896594405174255 0.2212506905198097),,,,,,,,,,,,,,,,,,1,,,,,
0,136,actionLoadNotes,34425716,1209804383440,18318781754,1,1,"(0.786695122718811, 0.21639716625213623)","(0.7928466796875, 0.22601985931396484)",1,1,2.5179443359375,2.425323486328125,Fixation,POINT (0.7897709012031555 0.2212085127830505),,,,,,,,,,,,,,,,,,1,,,,,
0,136,actionLoadNotes,34425716,1209804391773,18318790087,1,1,"(0.7873368859291077, 0.20991265773773193)","(0.7965463399887085, 0.22599466145038605)",1,1,2.4874725341796875,2.428924560546875,Fixation,POINT (0.7919416129589081 0.217953659594059),,,,,,,,,,,,,,,,,,1,,,,,
