,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,Command.0,getBackCommand12.0,if.0,backCommand12.0,==.0,nan.0,//GEN-END: |264-getter|0|264-preInit.200,// write pre-init user code here.201,backCommand12.1,=.0,new.0,Command.1,"""OK"".0",Command.2,BACK.0,0.0,//GEN-LINE: | 264-getter | 1 | 264-postInit.202,// write post-init user code here.203,//GEN-BEGIN: | 264-getter | 2 |.204,return.0,backCommand12.2,prewritten,accurate,missing,unnecessary,readable,code
0,136,getBackCommand12,40865383,1209537448109,18051847472,1,1,"(0.1814904361963272, 0.13081234693527222)","(0.18706947565078735, 0.1660587191581726)",1,1,2.8099365234375,2.83416748046875,Fixation,POINT (0.1842799559235573 0.1484355330467224),,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getBackCommand12,40865383,1209537456443,18051855805,1,1,"(0.18695148825645447, 0.13046197593212128)","(0.18649420142173767, 0.1581674963235855)",1,1,2.81304931640625,2.8249664306640625,Fixation,POINT (0.1867228448390961 0.1443147361278534),,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getBackCommand12,40865383,1209537464777,18051864138,1,1,"(0.18880599737167358, 0.12806464731693268)","(0.1853138506412506, 0.15394511818885803)",1,1,2.8045654296875,2.8194732666015625,Fixation,POINT (0.1870599240064621 0.1410048827528954),,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getBackCommand12,40865383,1209537473112,18051872472,1,1,"(0.18351346254348755, 0.12652622163295746)","(0.1843366175889969, 0.15302644670009613)",1,1,2.80706787109375,2.814208984375,Fixation,POINT (0.1839250400662422 0.1397763341665268),,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getBackCommand12,40865383,1209537481446,18051880805,1,1,"(0.18548113107681274, 0.13081790506839752)","(0.1854461431503296, 0.15480823814868927)",1,1,2.80059814453125,2.817489624023437,Fixation,POINT (0.1854636371135712 0.1428130716085434),,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getBackCommand12,40865383,1209537489781,18051889138,1,1,"(0.18607841432094574, 0.12648028135299683)","(0.1851416528224945, 0.15554100275039673)",1,1,2.808349609375,2.825225830078125,Fixation,POINT (0.1856100335717201 0.1410106420516968),,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getBackCommand12,40865383,1209537498115,18051897471,1,1,"(0.18469016253948212, 0.12543515861034393)","(0.1876252293586731, 0.15383170545101166)",1,1,2.788192749023437,2.822052001953125,Fixation,POINT (0.1861576959490776 0.1396334320306778),,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getBackCommand12,40865383,1209537506449,18051905804,1,1,"(0.1845231056213379, 0.12806455790996552)","(0.1894439160823822, 0.15641649067401886)",1,1,2.787628173828125,2.818603515625,Fixation,POINT (0.18698351085186 0.1422405242919922),,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getBackCommand12,40865383,1209537514784,18051914138,1,1,"(0.1841624528169632, 0.131601020693779)","(0.18238817155361176, 0.15728212893009186)",1,1,2.77679443359375,2.816436767578125,Fixation,POINT (0.1832753121852875 0.1444415748119354),,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getBackCommand12,40865383,1209537523118,18051922471,1,1,"(0.18140174448490143, 0.13233360648155212)","(0.18409626185894012, 0.1523256152868271)",1,1,2.7793121337890625,2.8084869384765625,Fixation,POINT (0.1827490031719208 0.1423296108841896),,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getBackCommand12,40865383,1209537531454,18051930805,1,1,"(0.17924660444259644, 0.1267269104719162)","(0.18293549120426178, 0.1493515521287918)",1,1,2.782958984375,2.8047332763671875,Fixation,POINT (0.1810910478234291 0.138039231300354),,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getBackCommand12,40865383,1209537539788,18051939138,1,1,"(0.18340343236923218, 0.13350699841976166)","(0.18186065554618835, 0.15608170628547668)",1,1,2.7818756103515625,2.815704345703125,Fixation,POINT (0.1826320439577103 0.1447943523526192),,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getBackCommand12,40865383,1209537548122,18051947471,1,1,"(0.18359793722629547, 0.12822695076465607)","(0.18036264181137085, 0.15415996313095093)",1,1,2.7847137451171875,2.8064422607421875,Fixation,POINT (0.1819802895188332 0.1411934569478035),,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getBackCommand12,40865383,1209537556457,18051955805,1,1,"(0.1833065301179886, 0.12800052762031555)","(0.1819603592157364, 0.16048641502857208)",1,1,2.77880859375,2.809814453125,Fixation,POINT (0.1826334446668625 0.1442434713244438),,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getBackCommand12,40865383,1209537564791,18051964138,1,1,"(0.18707917630672455, 0.12757526338100433)","(0.18932367861270905, 0.16007234156131744)",1,1,2.781234741210937,2.792022705078125,Fixation,POINT (0.1882014274597168 0.1438238024711609),,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getBackCommand12,40865383,1209537573130,18051972477,1,1,"(0.18426883220672607, 0.13869452476501465)","(0.18745967745780945, 0.1671256124973297)",1,1,2.78082275390625,2.8101959228515625,Fixation,POINT (0.1858642548322678 0.1529100686311722),,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getBackCommand12,40865383,1209537614791,18052014144,1,1,"(0.10232440382242203, 0.043329380452632904)","(0.10633839666843414, 0.02053799480199814)",1,1,2.77545166015625,2.7835693359375,Fixation,POINT (0.1043314002454281 0.0319336876273155),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getBackCommand12,40865383,1209537623126,18052022479,1,1,"(0.09601752460002899, 0.04187699779868126)","(0.09828384965658188, 0.025027895346283913)",1,1,2.784454345703125,2.786529541015625,Fixation,POINT (0.0971506871283054 0.0334524465724826),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getBackCommand12,40865383,1209537631459,18052030811,1,1,"(0.10136869549751282, 0.04419681057333946)","(0.10061486065387726, 0.021557701751589775)",1,1,2.773406982421875,2.7919921875,Fixation,POINT (0.100991778075695 0.0328772561624646),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getBackCommand12,40865383,1209537639793,18052039144,1,1,"(0.10137063264846802, 0.04602747783064842)","(0.10241901129484177, 0.023387107998132706)",1,1,2.785888671875,2.802963256835937,Fixation,POINT (0.1018948219716549 0.0347072929143906),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getBackCommand12,40865383,1209537648126,18052047477,1,1,"(0.0971340537071228, 0.039566561579704285)","(0.10341916978359222, 0.018819227814674377)",1,1,2.7730865478515625,2.791488647460937,Fixation,POINT (0.1002766117453575 0.0291928946971893),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getBackCommand12,40865383,1209537656460,18052055810,1,1,"(0.09940800815820694, 0.04508437216281891)","(0.10272490978240967, 0.017257504165172577)",1,1,2.7747039794921875,2.781005859375,Fixation,POINT (0.1010664589703083 0.0311709381639957),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getBackCommand12,40865383,1209537664795,18052064144,1,1,"(0.10154407471418381, 0.04292622581124306)","(0.10687046498060226, 0.029443567618727684)",1,1,2.769012451171875,2.7866668701171875,Fixation,POINT (0.104207269847393 0.0361848967149854),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getBackCommand12,40865383,1209537673129,18052072477,1,1,"(0.09915092587471008, 0.04112838953733444)","(0.10641825199127197, 0.024537552148103714)",1,1,2.7752838134765625,2.7946929931640625,Fixation,POINT (0.102784588932991 0.0328329708427191),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getBackCommand12,40865383,1209537681462,18052080810,1,1,"(0.10024180263280869, 0.04590301588177681)","(0.10400929301977158, 0.024407440796494484)",1,1,2.770980834960937,2.7871551513671875,Fixation,POINT (0.1021255478262901 0.0351552283391356),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getBackCommand12,40865383,1209537689797,18052089144,1,1,"(0.1019010916352272, 0.043216872960329056)","(0.10397191345691681, 0.02373952604830265)",1,1,2.78564453125,2.770248413085937,Fixation,POINT (0.102936502546072 0.0334781995043158),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getBackCommand12,40865383,1209537698132,18052097479,1,1,"(0.10222301632165909, 0.03708314895629883)","(0.10347399860620499, 0.020597731694579124)",1,1,2.778656005859375,2.793060302734375,Fixation,POINT (0.102848507463932 0.028840440325439),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getBackCommand12,40865383,1209537706466,18052105813,1,1,"(0.1036071851849556, 0.03728055581450462)","(0.10203517973423004, 0.025121793150901794)",1,1,2.784408569335937,2.77764892578125,Fixation,POINT (0.1028211824595928 0.0312011744827032),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getBackCommand12,40865383,1209537714799,18052114146,1,1,"(0.10139717906713486, 0.03888200223445892)","(0.1022464707493782, 0.02872866950929165)",1,1,2.7674102783203125,2.7935333251953125,Fixation,POINT (0.1018218249082565 0.0338053358718753),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getBackCommand12,40865383,1209537723132,18052122479,1,1,"(0.10243669897317886, 0.05170373246073723)","(0.10068423300981522, 0.026690980419516563)",1,1,2.78094482421875,2.760711669921875,Fixation,POINT (0.101560465991497 0.0391973564401269),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getBackCommand12,40865383,1209537731466,18052130812,1,1,"(0.10027186572551727, 0.044020965695381165)","(0.10100873559713364, 0.021583860740065575)",1,1,2.7734832763671875,2.7957916259765625,Fixation,POINT (0.1006403006613254 0.0328024132177234),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getBackCommand12,40865383,1209537739801,18052139146,1,1,"(0.10085713863372803, 0.0397808738052845)","(0.10293946415185928, 0.026607511565089226)",1,1,2.7724151611328125,2.7869873046875,Fixation,POINT (0.1018983013927937 0.0331941926851869),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getBackCommand12,40865383,1209537748135,18052147479,1,1,"(0.09864474833011627, 0.041491199284791946)","(0.10481543093919754, 0.02430533431470394)",1,1,2.770126342773437,2.772445678710937,Fixation,POINT (0.1017300896346569 0.0328982667997479),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getBackCommand12,40865383,1209537756469,18052155812,1,1,"(0.09479960799217224, 0.0410010926425457)","(0.10695388168096542, 0.029397031292319298)",1,1,2.7613983154296875,2.78167724609375,Fixation,POINT (0.1008767448365688 0.0351990619674325),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getBackCommand12,40865383,1209537764803,18052164145,1,1,"(0.09934884309768677, 0.037700291723012924)","(0.10498929768800735, 0.026870526373386383)",1,1,2.7747955322265625,2.7906646728515625,Fixation,POINT (0.1021690703928471 0.0322854090481997),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getBackCommand12,40865383,1209537773137,18052172479,1,1,"(0.09847977012395859, 0.03993002697825432)","(0.1049121841788292, 0.028101317584514618)",1,1,2.77593994140625,2.77691650390625,Fixation,POINT (0.1016959771513939 0.0340156722813845),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getBackCommand12,40865383,1209537781472,18052180813,1,1,"(0.10125090181827545, 0.03998317942023277)","(0.10783913731575012, 0.026233932003378868)",1,1,2.76446533203125,2.7985992431640625,Fixation,POINT (0.1045450195670128 0.0331085557118058),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getBackCommand12,40865383,1209537789804,18052189146,1,1,"(0.10217203944921494, 0.0366080105304718)","(0.10238857567310333, 0.022619714960455894)",1,1,2.777328491210937,2.793685913085937,Fixation,POINT (0.1022803075611591 0.0296138627454638),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getBackCommand12,40865383,1209537798133,18052197479,1,1,"(0.11785911023616791, 0.036260951310396194)","(0.12040106952190399, 0.03358025476336479)",1,1,2.77130126953125,2.7905426025390625,Fixation,POINT (0.119130089879036 0.0349206030368805),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getBackCommand12,40865383,1209537814795,18052214148,1,1,"(0.15077568590641022, 0.04807383939623833)","(0.1503739207983017, 0.05446824058890343)",1,1,2.792633056640625,2.7969207763671875,Fixation,POINT (0.150574803352356 0.0512710399925709),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getBackCommand12,40865383,1209537823124,18052222481,1,1,"(0.14772853255271912, 0.04908386245369911)","(0.14989180862903595, 0.05129197984933853)",1,1,2.7990875244140625,2.788970947265625,Fixation,POINT (0.1488101705908775 0.0501879211515188),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getBackCommand12,40865383,1209537831459,18052230820,1,1,"(0.15204095840454102, 0.05042072385549545)","(0.15431469678878784, 0.054980259388685226)",1,1,2.7849578857421875,2.7688751220703125,Fixation,POINT (0.1531778275966644 0.0527004916220903),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getBackCommand12,40865383,1209537839790,18052239153,1,1,"(0.15390387177467346, 0.0559118278324604)","(0.15335938334465027, 0.058609697967767715)",1,1,2.784881591796875,2.791107177734375,Fixation,POINT (0.1536316275596619 0.0572607629001141),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getBackCommand12,40865383,1209537848125,18052247487,1,1,"(0.15132306516170502, 0.05262552946805954)","(0.15138614177703857, 0.05780870467424393)",1,1,2.783111572265625,2.7703399658203125,Fixation,POINT (0.1513546034693718 0.0552171170711517),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getBackCommand12,40865383,1209537856459,18052255821,1,1,"(0.15278556942939758, 0.05333292484283447)","(0.1527411937713623, 0.050593409687280655)",1,1,2.797882080078125,2.777740478515625,Fixation,POINT (0.1527633816003799 0.0519631672650576),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getBackCommand12,40865383,1209537864793,18052264154,1,1,"(0.15300200879573822, 0.05929964780807495)","(0.15159492194652557, 0.045999251306056976)",1,1,2.802764892578125,2.77862548828125,Fixation,POINT (0.1522984653711319 0.052649449557066),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getBackCommand12,40865383,1209537873126,18052272487,1,1,"(0.1542644053697586, 0.05356104299426079)","(0.15317295491695404, 0.05087661370635033)",1,1,2.8007965087890625,2.7817535400390625,Fixation,POINT (0.1537186801433563 0.0522188283503056),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getBackCommand12,40865383,1209537881461,18052280821,1,1,"(0.1550867110490799, 0.06228986755013466)","(0.1516159027814865, 0.05559634789824486)",1,1,2.809234619140625,2.7791900634765625,Fixation,POINT (0.1533513069152832 0.0589431077241898),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getBackCommand12,40865383,1209537889794,18052289154,1,1,"(0.1589491367340088, 0.05817247927188873)","(0.16443373262882233, 0.057789530605077744)",1,1,2.8139190673828125,2.787109375,Fixation,POINT (0.1616914346814156 0.0579810049384832),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getBackCommand12,40865383,1209537973117,18052372492,1,1,"(0.7495541572570801, 0.4345559775829315)","(0.7608696818351746, 0.43688884377479553)",1,1,2.832672119140625,2.67852783203125,Fixation,POINT (0.7552119195461273 0.4357224106788635),,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getBackCommand12,40865383,1209537981450,18052380825,1,1,"(0.7445813417434692, 0.4332475960254669)","(0.7566256523132324, 0.45241931080818176)",1,1,2.85723876953125,2.704254150390625,Fixation,POINT (0.7506034970283508 0.4428334534168243),,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getBackCommand12,40865383,1209537989784,18052389159,1,1,"(0.7488206624984741, 0.42669638991355896)","(0.7636979818344116, 0.4517413377761841)",1,1,2.814483642578125,2.6953277587890625,Fixation,POINT (0.7562593221664429 0.4392188638448715),,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getBackCommand12,40865383,1209537998118,18052397492,1,1,"(0.7469688653945923, 0.4269680678844452)","(0.7608835101127625, 0.4482543170452118)",1,1,2.81231689453125,2.693344116210937,Fixation,POINT (0.7539261877536774 0.4376111924648285),,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getBackCommand12,40865383,1209538006451,18052405825,1,1,"(0.7462472319602966, 0.4290138781070709)","(0.7583246827125549, 0.4604824483394623)",1,1,2.826629638671875,2.691558837890625,Fixation,POINT (0.7522859573364258 0.4447481632232666),,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getBackCommand12,40865383,1209538014783,18052414159,1,1,"(0.7424678206443787, 0.43954360485076904)","(0.7604072690010071, 0.4447036385536194)",1,1,2.841796875,2.67669677734375,Fixation,POINT (0.7514375448226929 0.4421236217021942),,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getBackCommand12,40865383,1209538023114,18052422492,1,1,"(0.7474907636642456, 0.4331507086753845)","(0.7589498162269592, 0.44819849729537964)",1,1,2.8356170654296875,2.6877593994140625,Fixation,POINT (0.7532202899456024 0.4406746029853821),,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getBackCommand12,40865383,1209538031446,18052430825,1,1,"(0.7483376860618591, 0.42169180512428284)","(0.7540063858032227, 0.4529540538787842)",1,1,2.807830810546875,2.675765991210937,Fixation,POINT (0.7511720359325409 0.4373229295015335),,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getBackCommand12,40865383,1209538039778,18052439159,1,1,"(0.744618833065033, 0.4312538802623749)","(0.7579960227012634, 0.4417593777179718)",1,1,2.8092803955078125,2.660125732421875,Fixation,POINT (0.7513074278831482 0.4365066289901733),,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getBackCommand12,40865383,1209538048110,18052447492,1,1,"(0.7458674311637878, 0.4439028799533844)","(0.7573298811912537, 0.4482044577598572)",1,1,2.8637847900390625,2.6731719970703125,Fixation,POINT (0.7515986561775208 0.4460536688566208),,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getBackCommand12,40865383,1209538056441,18052455825,1,1,"(0.746129035949707, 0.4341600835323334)","(0.7578038573265076, 0.4397578835487366)",1,1,2.83331298828125,2.65740966796875,Fixation,POINT (0.7519664466381073 0.436958983540535),,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getBackCommand12,40865383,1209538064774,18052464158,1,1,"(0.7462453842163086, 0.4458370804786682)","(0.7628011703491211, 0.43068423867225647)",1,1,2.8418121337890625,2.6356353759765625,Fixation,POINT (0.7545232772827148 0.4382606595754623),,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getBackCommand12,40865383,1209538073108,18052472492,1,1,"(0.7476444244384766, 0.4440557360649109)","(0.7579818964004517, 0.4425159990787506)",1,1,2.8448028564453125,2.65765380859375,Fixation,POINT (0.7528131604194641 0.4432858675718308),,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getBackCommand12,40865383,1209538081441,18052480825,1,1,"(0.7499172687530518, 0.4310038089752197)","(0.7539805769920349, 0.4431220591068268)",1,1,2.8187408447265625,2.663848876953125,Fixation,POINT (0.7519489228725433 0.4370629340410232),,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getBackCommand12,40865383,1209538089774,18052489158,1,1,"(0.7467753887176514, 0.4431704580783844)","(0.7592393159866333, 0.42908915877342224)",1,1,2.8603973388671875,2.6422119140625,Fixation,POINT (0.7530073523521423 0.4361298084259033),,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getBackCommand12,40865383,1209538098114,18052497497,1,1,"(0.7464735507965088, 0.4261040687561035)","(0.7541957497596741, 0.4308134913444519)",1,1,2.805419921875,2.6625213623046875,Fixation,POINT (0.7503346502780914 0.4284587800502777),,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getBackCommand12,40865383,1209538106447,18052505830,1,1,"(0.7447970509529114, 0.45052090287208557)","(0.7556084394454956, 0.4539182782173157)",1,1,2.849822998046875,2.6956787109375,Fixation,POINT (0.7502027451992035 0.4522195905447006),,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getBackCommand12,40865383,1209538114781,18052514164,1,1,"(0.743830680847168, 0.44990992546081543)","(0.7540349960327148, 0.45109686255455017)",1,1,2.8619537353515625,2.69610595703125,Fixation,POINT (0.7489328384399414 0.4505033940076828),,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getBackCommand12,40865383,1209538123112,18052522497,1,1,"(0.7465230226516724, 0.42209017276763916)","(0.755364179611206, 0.4546518623828888)",1,1,2.8166961669921875,2.7008819580078125,Fixation,POINT (0.7509436011314392 0.438371017575264),,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getBackCommand12,40865383,1209538131443,18052530830,1,1,"(0.7474381327629089, 0.4290388524532318)","(0.7542848587036133, 0.4508107304573059)",1,1,2.840805053710937,2.687591552734375,Fixation,POINT (0.7508614957332611 0.4399247914552689),,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getBackCommand12,40865383,1209538139775,18052539164,1,1,"(0.7437590956687927, 0.4402857720851898)","(0.755032479763031, 0.44101810455322266)",1,1,2.8313446044921875,2.6726226806640625,Fixation,POINT (0.7493957877159119 0.4406519383192062),,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getBackCommand12,40865383,1209538148105,18052547496,1,1,"(0.7472060918807983, 0.44105538725852966)","(0.7545526027679443, 0.44232094287872314)",1,1,2.8634185791015625,2.67950439453125,Fixation,POINT (0.7508793473243713 0.4416881650686264),,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getBackCommand12,40865383,1209538156437,18052555830,1,1,"(0.7435333132743835, 0.4411299228668213)","(0.7569860219955444, 0.4349852204322815)",1,1,2.842132568359375,2.6568603515625,Fixation,POINT (0.750259667634964 0.4380575716495514),,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getBackCommand12,40865383,1209538164769,18052564164,1,1,"(0.7427127957344055, 0.44071635603904724)","(0.7573344707489014, 0.44394201040267944)",1,1,2.865829467773437,2.679290771484375,Fixation,POINT (0.7500236332416534 0.4423291832208633),,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getBackCommand12,40865383,1209538173101,18052572496,1,1,"(0.7456316351890564, 0.4401507079601288)","(0.7545974254608154, 0.44466349482536316)",1,1,2.8528594970703125,2.691986083984375,Fixation,POINT (0.7501145303249359 0.442407101392746),,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getBackCommand12,40865383,1209538181435,18052580830,1,1,"(0.7455058693885803, 0.43810364603996277)","(0.7530238032341003, 0.44945335388183594)",1,1,2.8410797119140625,2.697998046875,Fixation,POINT (0.7492648363113403 0.4437784999608994),,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getBackCommand12,40865383,1209538189768,18052589163,1,1,"(0.7453020811080933, 0.4494566321372986)","(0.7531688213348389, 0.43764352798461914)",1,1,2.871200561523437,2.690704345703125,Fixation,POINT (0.7492354512214661 0.4435500800609589),,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getBackCommand12,40865383,1209538198102,18052597497,1,1,"(0.7467215061187744, 0.42572587728500366)","(0.7557530403137207, 0.4413888454437256)",1,1,2.8194732666015625,2.68951416015625,Fixation,POINT (0.7512372732162476 0.4335573613643646),,,,,,,,,,,,,,,,,,,,,,,,1,,,,
0,136,getBackCommand12,40865383,1209538206435,18052605830,1,1,"(0.7435374855995178, 0.4448082745075226)","(0.7533612847328186, 0.4511491358280182)",1,1,2.8653106689453125,2.6984100341796875,Fixation,POINT (0.7484493851661682 0.4479787051677704),,,,,,,,,,,,,,,,,,,,,,,,1,,,,
