Participant,Quality,Method,YearsCoding,JavaExperience,AttentionSwitch_functiondeclaration,AttentionSwitch_parameter,AttentionSwitch_variabledeclaration,AttentionSwitch_externalclass,AttentionSwitch_exceptionhandling,AttentionSwitch_conditionalstatement,AttentionSwitch_loop,AttentionSwitch_return,AttentionSwitch_functioncall,AttentionSwitch_argument,AttentionSwitch_variable,AttentionSwitch_externallydefinedvariableorfunction,AttentionSwitch_assignment,AttentionSwitch_conditionalblock,AttentionSwitch_comment,AttentionSwitch_operator,AttentionSwitch_operation
106,1,test_10_bug2689872_19498280,6,4.0,24.0,0.0,38.0,0.0,3.0,0.0,0.0,0.0,21.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,1,updateSchema_4627680,6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,0,populateNewList_34427273,2,1.0,35.0,0.0,0.0,13.0,0.0,0.0,16.0,0.0,5.0,27.0,0.0,45.0,5.0,0.0,0.0,0.0,0.0
111,1,BFSdist_44521080,2,1.0,7.0,2.0,5.0,0.0,0.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
111,1,actionPerformed_12725774,2,1.0,39.0,24.0,44.0,0.0,0.0,49.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0
111,1,add_4114383,2,1.0,12.0,2.0,20.0,0.0,0.0,24.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,1,appendDeclarations_36405409,2,1.0,13.0,4.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
111,1,go_14477536,2,1.0,10.0,11.0,0.0,7.0,12.0,10.0,0.0,0.0,16.0,13.0,0.0,12.0,0.0,8.0,5.0,10.0,0.0
111,1,print_7957602,2,1.0,12.0,9.0,0.0,0.0,0.0,20.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,1,setGenJarDir_31789275,2,1.0,15.0,10.0,3.0,0.0,0.0,1.0,3.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
111,1,setUpMrj_14467418,2,1.0,13.0,2.0,0.0,15.0,2.0,1.0,0.0,1.0,7.0,2.0,0.0,11.0,3.0,0.0,0.0,0.0,0.0
111,1,testNegativeParseCases_31696447,2,1.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
111,1,testOneTwoThreeCreateCycle_19507735,2,1.0,10.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,44.0,12.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
111,1,updateGain_26215341,2,1.0,23.0,0.0,31.0,0.0,0.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,0,actionPerformed_12725774,4,1.0,15.0,9.0,15.0,0.0,0.0,39.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0
117,0,createChecklistItem_49866815,4,1.0,8.0,1.0,9.0,0.0,0.0,0.0,0.0,12.0,5.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
117,0,getEffect_47571922,4,1.0,17.0,0.0,13.0,0.0,0.0,15.0,14.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0
117,0,getImageWithSource_1782360,4,1.0,25.0,1.0,21.0,0.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,0,getRemoteObject_50026101,4,1.0,30.0,15.0,0.0,0.0,22.0,28.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,0,getRodinDBStatus_19505695,4,1.0,11.0,0.0,10.0,0.0,0.0,23.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
117,0,go_14477536,4,1.0,9.0,11.0,0.0,6.0,23.0,27.0,0.0,0.0,8.0,8.0,0.0,23.0,0.0,32.0,2.0,4.0,0.0
117,0,onAttach_1810081,4,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0
117,0,populateNewList_34427273,4,1.0,22.0,0.0,0.0,37.0,0.0,0.0,12.0,0.0,21.0,28.0,0.0,59.0,5.0,0.0,0.0,0.0,0.0
117,0,setPhoto_50994916,4,1.0,14.0,25.0,13.0,0.0,3.0,35.0,0.0,0.0,53.0,2.0,0.0,53.0,0.0,52.0,0.0,0.0,0.0
117,0,updateGain_26215341,4,1.0,19.0,0.0,20.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,0,updateSchema_4627680,4,1.0,10.0,14.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,7.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
117,1,messageSent_19413001,4,1.0,23.0,2.0,21.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,23.0,0.0,0.0,0.0
117,1,setGenJarDir_31789275,4,1.0,56.0,53.0,16.0,0.0,0.0,11.0,11.0,0.0,91.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
117,1,swapItems_36634895,4,1.0,47.0,40.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0
122,0,actionPerformed_12725774,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,0,addPKColumn_51577053,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,0,add_4114383,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,0,clearFieldersFromField_45147874,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,0,equals_10222579,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,0,getApplicableLaw_39298970,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,0,getImageWithSource_1782360,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,0,getMenuAdministracion_28631042,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,0,go_14477536,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,0,listen_29572299,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,0,makeUniqueParagraphForGlobalWithLength_34105249,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,0,messageSent_19413001,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,0,setPhoto_50994916,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,0,swapItems_36634895,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,0,testGetEmail_33718481,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,0,testOneTwoThreeCreateCycle_19507735,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,0,updateSchema_4627680,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,1,BFSdist_44521080,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,1,setGenJarDir_31789275,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,1,testNegativeParseCases_31696447,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,0,addPKColumn_51577053,1,1.0,30.0,24.0,41.0,0.0,15.0,12.0,0.0,0.0,4.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
129,0,clearFieldersFromField_45147874,1,1.0,4.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
129,0,getEffect_47571922,1,1.0,31.0,4.0,33.0,0.0,0.0,38.0,35.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
129,0,getImageWithSource_1782360,1,1.0,15.0,2.0,16.0,0.0,0.0,19.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,0,go_14477536,1,1.0,11.0,11.0,0.0,15.0,0.0,14.0,0.0,0.0,10.0,21.0,0.0,8.0,0.0,20.0,13.0,1.0,0.0
129,0,searchRecipe_18421665,1,1.0,20.0,8.0,15.0,0.0,0.0,63.0,61.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,0,swapItems_36634895,1,1.0,8.0,14.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0
129,0,testMoveRFWithNullContainer_19507414,1,1.0,35.0,7.0,39.0,0.0,4.0,0.0,0.0,2.0,5.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
129,0,testNegativeParseCases_31696447,1,1.0,9.0,0.0,0.0,0.0,0.0,15.0,18.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
129,0,updateSchema_4627680,1,1.0,4.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
129,1,BFSdist_44521080,1,1.0,22.0,13.0,45.0,0.0,0.0,63.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0
129,1,abstractMatrix3D_12723449,1,1.0,15.0,3.0,62.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,45.0,83.0,19.0,0.0,16.0,0.0,0.0
129,1,actionPerformed_12725774,1,1.0,41.0,10.0,46.0,0.0,0.0,36.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0
133,0,addPKColumn_51577053,5,3.0,48.0,47.0,76.0,0.0,23.0,20.0,0.0,0.0,4.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
133,0,clearFieldersFromField_45147874,5,3.0,5.0,0.0,0.0,0.0,0.0,17.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
133,0,getUserNameFromCookie_1694531,5,3.0,24.0,0.0,26.0,0.0,5.0,25.0,25.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
133,0,removeService_38221424,5,3.0,26.0,53.0,74.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
133,0,selectBracketingEntries_40936756,5,3.0,8.0,19.0,0.0,15.0,2.0,0.0,0.0,20.0,0.0,3.0,0.0,45.0,11.0,0.0,15.0,0.0,0.0
133,0,swapItems_36634895,5,3.0,13.0,4.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
133,0,updateGain_26215341,5,3.0,37.0,0.0,59.0,0.0,0.0,24.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,0,updateSchema_4627680,5,3.0,5.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0
133,1,BFSdist_44521080,5,3.0,13.0,8.0,17.0,0.0,0.0,23.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
133,1,actionPerformed_12725774,5,3.0,36.0,14.0,49.0,0.0,0.0,55.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0
133,1,equals_10222579,5,3.0,15.0,10.0,50.0,0.0,0.0,21.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,1,exportXVRL_45047585,5,3.0,17.0,10.0,59.0,0.0,2.0,1.0,0.0,0.0,11.0,29.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
133,1,getBackCommand2_29601536,5,3.0,32.0,0.0,0.0,0.0,0.0,32.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0
133,1,go_14477536,5,3.0,5.0,15.0,0.0,18.0,4.0,28.0,0.0,0.0,18.0,21.0,0.0,19.0,0.0,29.0,9.0,3.0,0.0
133,1,messageSent_19413001,5,3.0,37.0,4.0,40.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,51.0,0.0,0.0,0.0
133,1,setPhoto_50994916,5,3.0,19.0,36.0,23.0,0.0,15.0,64.0,0.0,0.0,28.0,17.0,0.0,1.0,0.0,113.0,0.0,0.0,0.0
133,1,testNegativeParseCases_31696447,5,3.0,8.0,0.0,0.0,0.0,0.0,37.0,38.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
136,0,add_4114383,5,1.0,4.0,2.0,8.0,0.0,0.0,27.0,19.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,0,clearFieldersFromField_45147874,5,1.0,4.0,0.0,0.0,0.0,0.0,14.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
136,0,testNegativeParseCases_31696447,5,1.0,5.0,0.0,0.0,0.0,0.0,16.0,17.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
136,1,actionPerformed_12725774,5,1.0,31.0,8.0,45.0,0.0,0.0,45.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0
136,1,appendDeclarations_36405409,5,1.0,7.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0
136,1,deleteCascade_34604973,5,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,5.0,0.0,8.0,0.0,0.0,29.0,0.0,0.0
136,1,getUserNameFromCookie_1694531,5,1.0,6.0,0.0,11.0,0.0,1.0,25.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
136,1,goToRegistration_47570692,5,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,6.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0
136,1,go_14477536,5,1.0,5.0,14.0,0.0,15.0,0.0,59.0,0.0,0.0,54.0,25.0,0.0,49.0,0.0,61.0,17.0,1.0,0.0
136,1,messageSent_19413001,5,1.0,5.0,5.0,15.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18.0,0.0,0.0,0.0
136,1,print_7957602,5,1.0,11.0,6.0,0.0,0.0,0.0,71.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,1,setGenJarDir_31789275,5,1.0,13.0,26.0,60.0,0.0,0.0,16.0,20.0,0.0,85.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,1,swapItems_36634895,5,1.0,7.0,3.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
136,1,testValidateSeparationCount_26285656,5,1.0,3.0,9.0,0.0,16.0,3.0,0.0,0.0,0.0,22.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
136,1,updateGain_26215341,5,1.0,8.0,0.0,21.0,0.0,0.0,34.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,0,actionPerformed_12725774,4,2.0,20.0,10.0,37.0,0.0,0.0,47.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0
139,0,addPKColumn_51577053,4,2.0,36.0,27.0,65.0,0.0,16.0,11.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
139,0,getBackCommand22_40865212,4,2.0,7.0,0.0,0.0,0.0,0.0,19.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,19.0,12.0,0.0,0.0
139,0,getImageWithSource_1782360,4,2.0,10.0,2.0,15.0,0.0,0.0,14.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,0,getMenuAdministracion_28631042,4,2.0,11.0,0.0,0.0,0.0,0.0,23.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
139,0,getUserNameFromCookie_1694531,4,2.0,4.0,0.0,5.0,0.0,0.0,53.0,54.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,0,go_14477536,4,2.0,5.0,6.0,0.0,12.0,5.0,28.0,0.0,0.0,41.0,18.0,0.0,31.0,0.0,25.0,6.0,5.0,0.0
139,0,setUpMrj_14467418,4,2.0,12.0,4.0,0.0,24.0,1.0,15.0,0.0,4.0,10.0,6.0,0.0,27.0,2.0,0.0,0.0,0.0,0.0
139,0,store_20787007,4,2.0,17.0,21.0,75.0,20.0,10.0,0.0,0.0,0.0,71.0,70.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0
139,0,testNegativeParseCases_31696447,4,2.0,5.0,0.0,0.0,0.0,0.0,37.0,42.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
139,0,updateGain_26215341,4,2.0,52.0,0.0,73.0,0.0,0.0,32.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,1,liesBetween_39299426,4,2.0,29.0,16.0,0.0,0.0,0.0,52.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,1,messageSent_19413001,4,2.0,15.0,3.0,24.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,18.0,0.0,0.0,0.0
139,1,setGenJarDir_31789275,4,2.0,10.0,16.0,33.0,0.0,0.0,22.0,30.0,0.0,38.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
143,0,clearFieldersFromField_45147874,5,5.0,5.0,0.0,0.0,0.0,0.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,0,deleteCascade_34604973,5,5.0,34.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,9.0,0.0,22.0,0.0,0.0,51.0,0.0,0.0
143,0,getImageWithSource_1782360,5,5.0,21.0,2.0,24.0,0.0,0.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,0,updateSchema_4627680,5,5.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
143,1,equals_10222579,5,5.0,24.0,19.0,36.0,0.0,0.0,42.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,1,getEffect_47571922,5,5.0,57.0,7.0,70.0,0.0,0.0,7.0,9.0,4.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0
143,1,getNAGString_43137003,5,5.0,85.0,13.0,9.0,0.0,0.0,89.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,1,selectBracketingEntries_40936756,5,5.0,6.0,11.0,0.0,12.0,11.0,0.0,0.0,14.0,0.0,9.0,0.0,73.0,8.0,0.0,33.0,0.0,0.0
143,1,swapItems_36634895,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,1,testOneTwoThreeCreateCycle_19507735,5,5.0,52.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,70.0,21.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
147,0,createCacheFile_50995324,4,1.0,24.0,23.0,83.0,31.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,1,BFSdist_44521080,4,1.0,4.0,10.0,12.0,0.0,0.0,30.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
147,1,actionPerformed_12725774,4,1.0,24.0,15.0,39.0,0.0,0.0,33.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
147,1,addPKColumn_51577053,4,1.0,17.0,25.0,38.0,0.0,19.0,15.0,0.0,0.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
147,1,add_4114383,4,1.0,14.0,6.0,8.0,0.0,0.0,42.0,22.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
147,1,appendDeclarations_36405409,4,1.0,48.0,6.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0
147,1,clearFieldersFromField_45147874,4,1.0,4.0,0.0,0.0,0.0,0.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,1,equals_10222579,4,1.0,14.0,10.0,27.0,0.0,0.0,15.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,1,exportXVRL_45047585,4,1.0,22.0,22.0,137.0,0.0,3.0,7.0,0.0,0.0,44.0,54.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
147,1,getClassNameForLookAndFeel_19218425,4,1.0,52.0,4.0,0.0,0.0,0.0,70.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0
147,1,getImageWithSource_1782360,4,1.0,64.0,5.0,56.0,0.0,0.0,25.0,28.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,1,getNAGString_43137003,4,1.0,40.0,15.0,4.0,0.0,0.0,54.0,29.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,1,go_14477536,4,1.0,12.0,14.0,0.0,15.0,2.0,15.0,0.0,0.0,25.0,16.0,0.0,14.0,0.0,13.0,6.0,3.0,0.0
147,1,messageSent_19413001,4,1.0,30.0,17.0,44.0,0.0,0.0,59.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,59.0,0.0,0.0,0.0
147,1,populateNewList_34427273,4,1.0,43.0,0.0,0.0,23.0,0.0,0.0,15.0,0.0,17.0,40.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0
147,1,setGenJarDir_31789275,4,1.0,66.0,36.0,57.0,0.0,0.0,26.0,29.0,0.0,120.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
147,1,testInvoke_39233866,4,1.0,12.0,0.0,8.0,0.0,6.0,0.0,0.0,0.0,54.0,12.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0
147,1,testNegativeParseCases_31696447,4,1.0,10.0,0.0,0.0,0.0,0.0,73.0,77.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
147,1,testSetWelcomeMsg_33719869,4,1.0,14.0,0.0,47.0,4.0,0.0,0.0,0.0,0.0,48.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
147,1,updateGain_26215341,4,1.0,54.0,0.0,65.0,0.0,0.0,21.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,1,updateSchema_4627680,4,1.0,6.0,41.0,0.0,4.0,5.0,0.0,0.0,0.0,4.0,10.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0
155,0,BFSdist_44521080,5,2.0,16.0,13.0,14.0,0.0,0.0,32.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
155,0,actionPerformed_12725774,5,2.0,14.0,13.0,25.0,0.0,0.0,35.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0
