Participant,Quality,Method,AttentionSwitch_CodetoSummary,AttentionSwitch_Token,YearsCoding,JavaExperience
182,0,go,20.0,78.0,3,2.5
310,2,go,,,10,1.0
129,0,go,24.0,143.0,1,1.0
111,1,go,3.0,175.0,2,1.0
313,2,go,,,14,3.0
315,0,go,27.0,167.0,10,3.0
133,1,go,39.0,243.0,5,3.0
143,2,go,,,5,5.0
311,1,go,4.0,32.0,9,5.0
314,2,go,,,5,3.0
106,1,go,28.0,121.0,6,4.0
318,1,go,10.0,32.0,7,5.0
147,1,go,17.0,210.0,4,1.0
191,2,go,,,4,1.0
189,1,go,12.0,371.0,8,3.0
316,2,go,,,13,4.0
312,0,go,5.0,30.0,8,1.0
139,0,go,15.0,241.0,4,2.0
317,2,getClassNameForLookAndFeel,,,5,2.0
314,1,getClassNameForLookAndFeel,15.0,61.0,5,3.0
106,2,getClassNameForLookAndFeel,,,6,4.0
147,1,getClassNameForLookAndFeel,12.0,207.0,4,1.0
191,0,getClassNameForLookAndFeel,19.0,297.0,4,1.0
312,0,getClassNameForLookAndFeel,8.0,107.0,8,1.0
319,2,getApplicableLaw,,,11,1.0
315,0,getApplicableLaw,58.0,355.0,10,3.0
168,1,test,17.0,804.0,4,2.0
311,2,test,,,9,5.0
106,1,test,3.0,140.0,6,4.0
318,2,test,,,7,5.0
136,2,updateSchema,,,5,1.0
176,0,updateSchema,11.0,65.0,4,4.0
155,2,updateSchema,,,5,2.0
117,0,updateSchema,10.0,68.0,4,1.0
166,1,updateSchema,18.0,34.0,6,4.0
317,0,updateSchema,6.0,24.0,5,2.0
168,1,updateSchema,25.0,124.0,4,2.0
319,0,updateSchema,8.0,12.0,11,1.0
186,0,updateSchema,4.0,18.0,4,3.0
182,0,updateSchema,13.0,28.0,3,2.5
310,2,updateSchema,,,10,1.0
129,0,updateSchema,16.0,38.0,1,1.0
111,2,updateSchema,,,2,1.0
313,0,updateSchema,16.0,173.0,14,3.0
315,0,updateSchema,13.0,47.0,10,3.0
133,0,updateSchema,31.0,99.0,5,3.0
143,0,updateSchema,9.0,51.0,5,5.0
311,2,updateSchema,,,9,5.0
314,0,updateSchema,5.0,91.0,5,3.0
318,2,updateSchema,,,7,5.0
147,1,updateSchema,18.0,144.0,4,1.0
191,2,updateSchema,,,4,1.0
189,2,updateSchema,,,8,3.0
316,2,updateSchema,,,13,4.0
312,0,updateSchema,4.0,40.0,8,1.0
319,1,createCacheFile,1.0,19.0,11,1.0
182,2,createCacheFile,,,3,2.5
314,2,createCacheFile,,,5,3.0
147,0,createCacheFile,17.0,246.0,4,1.0
316,2,createCacheFile,,,13,4.0
139,2,createCacheFile,,,4,2.0
166,1,showLatestPlan,6.0,111.0,6,4.0
319,2,showLatestPlan,,,11,1.0
111,2,showLatestPlan,,,2,1.0
143,2,showLatestPlan,,,5,5.0
316,0,showLatestPlan,5.0,96.0,13,4.0
155,0,removeService,12.0,132.0,5,2.0
310,2,removeService,,,10,1.0
313,2,removeService,,,14,3.0
133,0,removeService,12.0,299.0,5,3.0
314,1,removeService,3.0,42.0,5,3.0
136,2,BFSdist,,,5,1.0
176,2,BFSdist,,,4,4.0
155,0,BFSdist,13.0,345.0,5,2.0
117,2,BFSdist,,,4,1.0
166,1,BFSdist,14.0,239.0,6,4.0
317,1,BFSdist,15.0,729.0,5,2.0
168,0,BFSdist,31.0,361.0,4,2.0
319,0,BFSdist,4.0,17.0,11,1.0
182,1,BFSdist,19.0,219.0,3,2.5
310,1,BFSdist,3.0,4.0,10,1.0
129,1,BFSdist,21.0,389.0,1,1.0
111,1,BFSdist,5.0,63.0,2,1.0
313,0,BFSdist,7.0,188.0,14,3.0
315,0,BFSdist,9.0,137.0,10,3.0
133,1,BFSdist,12.0,211.0,5,3.0
143,2,BFSdist,,,5,5.0
311,1,BFSdist,16.0,164.0,9,5.0
314,1,BFSdist,5.0,52.0,5,3.0
106,1,BFSdist,15.0,24.0,6,4.0
318,1,BFSdist,8.0,35.0,7,5.0
147,1,BFSdist,11.0,220.0,4,1.0
191,0,BFSdist,4.0,194.0,4,1.0
189,0,BFSdist,10.0,337.0,8,3.0
316,0,BFSdist,16.0,205.0,13,4.0
139,2,BFSdist,,,4,2.0
136,2,testSetExample,,,5,1.0
311,1,testSetExample,25.0,272.0,9,5.0
312,0,testSetExample,4.0,90.0,8,1.0
136,2,setPhoto,,,5,1.0
117,0,setPhoto,23.0,327.0,4,1.0
166,1,setPhoto,20.0,129.0,6,4.0
168,0,setPhoto,5.0,27.0,4,2.0
182,2,setPhoto,,,3,2.5
129,2,setPhoto,,,1,1.0
315,0,setPhoto,32.0,230.0,10,3.0
133,1,setPhoto,49.0,500.0,5,3.0
106,1,setPhoto,25.0,279.0,6,4.0
191,1,setPhoto,49.0,674.0,4,1.0
313,0,listen,21.0,144.0,14,3.0
315,0,listen,42.0,245.0,10,3.0
314,2,listen,,,5,3.0
168,0,getMenuAdministracion,7.0,161.0,4,2.0
129,2,getMenuAdministracion,,,1,1.0
313,2,getMenuAdministracion,,,14,3.0
314,2,getMenuAdministracion,,,5,3.0
139,0,getMenuAdministracion,15.0,202.0,4,2.0
168,1,readFromFile,13.0,71.0,4,2.0
311,2,readFromFile,,,9,5.0
314,0,readFromFile,22.0,137.0,5,3.0
191,0,readFromFile,19.0,360.0,4,1.0
189,0,readFromFile,22.0,242.0,8,3.0
312,0,readFromFile,9.0,66.0,8,1.0
315,0,getNAGString,27.0,373.0,10,3.0
143,1,getNAGString,18.0,369.0,5,5.0
147,1,getNAGString,11.0,251.0,4,1.0
189,1,getNAGString,15.0,443.0,8,3.0
317,2,makeUniqueParagraphForGlobalWithLength,,,5,2.0
318,1,makeUniqueParagraphForGlobalWithLength,7.0,28.0,7,5.0
117,2,testOneTwoThreeCreateCycle,,,4,1.0
166,1,testOneTwoThreeCreateCycle,7.0,119.0,6,4.0
317,2,testOneTwoThreeCreateCycle,,,5,2.0
168,1,testOneTwoThreeCreateCycle,13.0,126.0,4,2.0
111,1,testOneTwoThreeCreateCycle,5.0,234.0,2,1.0
315,0,testOneTwoThreeCreateCycle,17.0,556.0,10,3.0
143,1,testOneTwoThreeCreateCycle,9.0,384.0,5,5.0
314,2,testOneTwoThreeCreateCycle,,,5,3.0
312,2,testOneTwoThreeCreateCycle,,,8,1.0
139,2,testOneTwoThreeCreateCycle,,,4,2.0
155,2,onAttach,,,5,2.0
117,0,onAttach,20.0,27.0,4,1.0
310,2,onAttach,,,10,1.0
147,2,onAttach,,,4,1.0
176,0,getBackCommand22,11.0,63.0,4,4.0
129,2,getBackCommand22,,,1,1.0
139,0,getBackCommand22,9.0,142.0,4,2.0
176,2,populateNewList,,,4,4.0
117,0,populateNewList,16.0,268.0,4,1.0
182,2,populateNewList,,,3,2.5
310,2,populateNewList,,,10,1.0
111,0,populateNewList,6.0,213.0,2,1.0
315,0,populateNewList,61.0,562.0,10,3.0
147,1,populateNewList,10.0,334.0,4,1.0
191,2,populateNewList,,,4,1.0
117,0,getEffect,17.0,102.0,4,1.0
129,0,getEffect,21.0,206.0,1,1.0
313,1,getEffect,5.0,21.0,14,3.0
143,1,getEffect,10.0,285.0,5,5.0
314,2,getEffect,,,5,3.0
191,2,getEffect,,,4,1.0
136,1,updateGain,8.0,334.0,5,1.0
155,0,updateGain,7.0,93.0,5,2.0
117,0,updateGain,14.0,118.0,4,1.0
166,2,updateGain,,,6,4.0
317,2,updateGain,,,5,2.0
168,2,updateGain,,,4,2.0
319,2,updateGain,,,11,1.0
186,1,updateGain,1.0,31.0,4,3.0
182,1,updateGain,19.0,128.0,3,2.5
310,1,updateGain,1.0,4.0,10,1.0
129,2,updateGain,,,1,1.0
111,1,updateGain,10.0,216.0,2,1.0
313,0,updateGain,19.0,385.0,14,3.0
315,0,updateGain,12.0,83.0,10,3.0
133,0,updateGain,34.0,372.0,5,3.0
143,2,updateGain,,,5,5.0
314,1,updateGain,14.0,96.0,5,3.0
106,2,updateGain,,,6,4.0
318,1,updateGain,17.0,26.0,7,5.0
147,1,updateGain,28.0,361.0,4,1.0
189,2,updateGain,,,8,3.0
316,0,updateGain,2.0,153.0,13,4.0
312,2,updateGain,,,8,1.0
139,0,updateGain,14.0,416.0,4,2.0
155,0,evaluate,4.0,25.0,5,2.0
117,2,evaluate,,,4,1.0
317,2,evaluate,,,5,2.0
319,1,evaluate,7.0,15.0,11,1.0
186,0,evaluate,7.0,20.0,4,3.0
314,2,evaluate,,,5,3.0
182,2,abstractMatrix3D,,,3,2.5
310,2,abstractMatrix3D,,,10,1.0
129,1,abstractMatrix3D,25.0,530.0,1,1.0
318,2,abstractMatrix3D,,,7,5.0
189,1,abstractMatrix3D,15.0,144.0,8,3.0
186,2,saveSetting,,,4,3.0
133,2,saveSetting,,,5,3.0
311,2,saveSetting,,,9,5.0
189,2,saveSetting,,,8,3.0
316,2,saveSetting,,,13,4.0
319,0,isInvalidEmailLink,7.0,3.0,11,1.0
111,2,isInvalidEmailLink,,,2,1.0
143,2,isInvalidEmailLink,,,5,5.0
318,2,isInvalidEmailLink,,,7,5.0
319,1,visitRetStmt,8.0,50.0,11,1.0
315,0,visitRetStmt,33.0,326.0,10,3.0
133,2,visitRetStmt,,,5,3.0
191,2,visitRetStmt,,,4,1.0
166,2,testCookieGreaterThan,,,6,4.0
317,0,testCookieGreaterThan,31.0,282.0,5,2.0
189,2,testCookieGreaterThan,,,8,3.0
136,2,getImageWithSource,,,5,1.0
176,0,getImageWithSource,11.0,76.0,4,4.0
155,0,getImageWithSource,11.0,15.0,5,2.0
117,0,getImageWithSource,12.0,83.0,4,1.0
166,2,getImageWithSource,,,6,4.0
317,2,getImageWithSource,,,5,2.0
168,1,getImageWithSource,22.0,220.0,4,2.0
319,2,getImageWithSource,,,11,1.0
182,1,getImageWithSource,15.0,32.0,3,2.5
129,0,getImageWithSource,16.0,110.0,1,1.0
111,2,getImageWithSource,,,2,1.0
313,0,getImageWithSource,11.0,88.0,14,3.0
315,0,getImageWithSource,18.0,112.0,10,3.0
133,2,getImageWithSource,,,5,3.0
143,0,getImageWithSource,9.0,85.0,5,5.0
311,0,getImageWithSource,4.0,61.0,9,5.0
314,2,getImageWithSource,,,5,3.0
106,1,getImageWithSource,14.0,132.0,6,4.0
318,2,getImageWithSource,,,7,5.0
147,1,getImageWithSource,21.0,243.0,4,1.0
191,2,getImageWithSource,,,4,1.0
189,2,getImageWithSource,,,8,3.0
316,0,getImageWithSource,9.0,63.0,13,4.0
312,0,getImageWithSource,3.0,30.0,8,1.0
139,0,getImageWithSource,23.0,107.0,4,2.0
136,1,deleteCascade,4.0,104.0,5,1.0
317,1,deleteCascade,16.0,189.0,5,2.0
319,2,deleteCascade,,,11,1.0
111,2,deleteCascade,,,2,1.0
143,0,deleteCascade,19.0,189.0,5,5.0
166,2,handleHalt,,,6,4.0
310,0,handleHalt,1.0,0.0,10,1.0
189,0,handleHalt,9.0,52.0,8,3.0
155,2,testInvoke,,,5,2.0
317,2,testInvoke,,,5,2.0
111,2,testInvoke,,,2,1.0
315,0,testInvoke,30.0,348.0,10,3.0
133,2,testInvoke,,,5,3.0
311,2,testInvoke,,,9,5.0
314,1,testInvoke,4.0,78.0,5,3.0
318,1,testInvoke,9.0,60.0,7,5.0
147,1,testInvoke,17.0,343.0,4,1.0
191,2,testInvoke,,,4,1.0
312,1,testInvoke,4.0,59.0,8,1.0
166,1,compareTo,17.0,68.0,6,4.0
168,1,compareTo,20.0,121.0,4,2.0
186,2,compareTo,,,4,3.0
313,1,compareTo,22.0,125.0,14,3.0
133,2,compareTo,,,5,3.0
314,2,compareTo,,,5,3.0
106,2,compareTo,,,6,4.0
136,2,addPKColumn,,,5,1.0
176,2,addPKColumn,,,4,4.0
155,2,addPKColumn,,,5,2.0
117,2,addPKColumn,,,4,1.0
166,0,addPKColumn,12.0,33.0,6,4.0
317,0,addPKColumn,8.0,102.0,5,2.0
168,2,addPKColumn,,,4,2.0
319,0,addPKColumn,6.0,3.0,11,1.0
186,0,addPKColumn,2.0,12.0,4,3.0
182,0,addPKColumn,25.0,143.0,3,2.5
129,0,addPKColumn,32.0,161.0,1,1.0
111,2,addPKColumn,,,2,1.0
313,0,addPKColumn,11.0,117.0,14,3.0
315,0,addPKColumn,22.0,117.0,10,3.0
133,0,addPKColumn,29.0,302.0,5,3.0
143,2,addPKColumn,,,5,5.0
311,0,addPKColumn,25.0,76.0,9,5.0
314,2,addPKColumn,,,5,3.0
106,0,addPKColumn,27.0,196.0,6,4.0
318,1,addPKColumn,11.0,14.0,7,5.0
147,1,addPKColumn,13.0,163.0,4,1.0
191,0,addPKColumn,9.0,160.0,4,1.0
189,2,addPKColumn,,,8,3.0
316,0,addPKColumn,11.0,51.0,13,4.0
139,0,addPKColumn,25.0,223.0,4,2.0
176,0,selectBracketingEntries,9.0,217.0,4,4.0
182,2,selectBracketingEntries,,,3,2.5
133,0,selectBracketingEntries,20.0,179.0,5,3.0
143,1,selectBracketingEntries,37.0,254.0,5,5.0
106,2,selectBracketingEntries,,,6,4.0
191,0,selectBracketingEntries,21.0,292.0,4,1.0
136,2,equals,,,5,1.0
176,0,equals,11.0,123.0,4,4.0
155,2,equals,,,5,2.0
117,2,equals,,,4,1.0
166,1,equals,10.0,64.0,6,4.0
317,1,equals,19.0,323.0,5,2.0
168,1,equals,19.0,338.0,4,2.0
319,2,equals,,,11,1.0
186,2,equals,,,4,3.0
182,0,equals,17.0,85.0,3,2.5
129,2,equals,,,1,1.0
111,2,equals,,,2,1.0
313,2,equals,,,14,3.0
315,2,equals,,,10,3.0
133,1,equals,29.0,200.0,5,3.0
143,1,equals,12.0,197.0,5,5.0
311,2,equals,,,9,5.0
314,1,equals,6.0,98.0,5,3.0
106,2,equals,,,6,4.0
318,1,equals,19.0,39.0,7,5.0
147,1,equals,20.0,119.0,4,1.0
191,2,equals,,,4,1.0
189,2,equals,,,8,3.0
316,2,equals,,,13,4.0
139,2,equals,,,4,2.0
117,0,createChecklistItem,6.0,102.0,4,1.0
129,2,createChecklistItem,,,1,1.0
313,0,createChecklistItem,8.0,94.0,14,3.0
314,2,createChecklistItem,,,5,3.0
318,1,createChecklistItem,6.0,48.0,7,5.0
147,2,createChecklistItem,,,4,1.0
189,0,createChecklistItem,16.0,349.0,8,3.0
136,1,actionPerformed,9.0,372.0,5,1.0
176,2,actionPerformed,,,4,4.0
155,0,actionPerformed,4.0,332.0,5,2.0
117,0,actionPerformed,9.0,169.0,4,1.0
166,2,actionPerformed,,,6,4.0
317,0,actionPerformed,41.0,407.0,5,2.0
168,1,actionPerformed,18.0,291.0,4,2.0
319,1,actionPerformed,4.0,29.0,11,1.0
186,0,actionPerformed,10.0,227.0,4,3.0
182,2,actionPerformed,,,3,2.5
310,1,actionPerformed,14.0,29.0,10,1.0
129,1,actionPerformed,17.0,260.0,1,1.0
111,1,actionPerformed,1.0,360.0,2,1.0
313,0,actionPerformed,3.0,151.0,14,3.0
315,0,actionPerformed,37.0,349.0,10,3.0
133,1,actionPerformed,15.0,358.0,5,3.0
143,2,actionPerformed,,,5,5.0
311,1,actionPerformed,23.0,57.0,9,5.0
314,1,actionPerformed,6.0,191.0,5,3.0
106,2,actionPerformed,,,6,4.0
318,1,actionPerformed,9.0,34.0,7,5.0
147,1,actionPerformed,17.0,237.0,4,1.0
191,2,actionPerformed,,,4,1.0
189,1,actionPerformed,16.0,777.0,8,3.0
316,2,actionPerformed,,,13,4.0
312,1,actionPerformed,8.0,58.0,8,1.0
139,0,actionPerformed,7.0,350.0,4,2.0
136,1,messageSent,7.0,137.0,5,1.0
176,2,messageSent,,,4,4.0
155,2,messageSent,,,5,2.0
117,1,messageSent,11.0,141.0,4,1.0
166,0,messageSent,14.0,53.0,6,4.0
317,2,messageSent,,,5,2.0
168,2,messageSent,,,4,2.0
319,2,messageSent,,,11,1.0
182,0,messageSent,14.0,93.0,3,2.5
310,0,messageSent,0.0,0.0,10,1.0
129,2,messageSent,,,1,1.0
111,2,messageSent,,,2,1.0
313,0,messageSent,15.0,207.0,14,3.0
315,2,messageSent,,,10,3.0
133,1,messageSent,47.0,333.0,5,3.0
143,2,messageSent,,,5,5.0
311,2,messageSent,,,9,5.0
314,1,messageSent,10.0,64.0,5,3.0
106,0,messageSent,31.0,334.0,6,4.0
318,2,messageSent,,,7,5.0
147,1,messageSent,15.0,374.0,4,1.0
191,2,messageSent,,,4,1.0
189,2,messageSent,,,8,3.0
316,2,messageSent,,,13,4.0
312,2,messageSent,,,8,1.0
139,1,messageSent,14.0,187.0,4,2.0
136,1,swapItems,1.0,97.0,5,1.0
176,0,swapItems,12.0,136.0,4,4.0
155,0,swapItems,4.0,46.0,5,2.0
117,1,swapItems,9.0,285.0,4,1.0
166,2,swapItems,,,6,4.0
317,2,swapItems,,,5,2.0
168,0,swapItems,15.0,113.0,4,2.0
319,0,swapItems,3.0,1.0,11,1.0
186,2,swapItems,,,4,3.0
182,2,swapItems,,,3,2.5
310,2,swapItems,,,10,1.0
129,0,swapItems,9.0,174.0,1,1.0
111,2,swapItems,,,2,1.0
313,0,swapItems,15.0,83.0,14,3.0
315,0,swapItems,12.0,100.0,10,3.0
133,0,swapItems,9.0,93.0,5,3.0
311,0,swapItems,21.0,83.0,9,5.0
314,2,swapItems,,,5,3.0
106,2,swapItems,,,6,4.0
318,2,swapItems,,,7,5.0
147,2,swapItems,,,4,1.0
191,0,swapItems,5.0,172.0,4,1.0
189,0,swapItems,23.0,575.0,8,3.0
316,0,swapItems,5.0,62.0,13,4.0
139,2,swapItems,,,4,2.0
310,1,testMoveRFWithNullContainer,1.0,6.0,10,1.0
129,0,testMoveRFWithNullContainer,7.0,122.0,1,1.0
316,0,testMoveRFWithNullContainer,4.0,53.0,13,4.0
136,0,testNegativeParseCases,9.0,72.0,5,1.0
176,2,testNegativeParseCases,,,4,4.0
155,2,testNegativeParseCases,,,5,2.0
117,2,testNegativeParseCases,,,4,1.0
166,1,testNegativeParseCases,12.0,25.0,6,4.0
317,2,testNegativeParseCases,,,5,2.0
168,1,testNegativeParseCases,13.0,49.0,4,2.0
186,1,testNegativeParseCases,1.0,55.0,4,3.0
182,0,testNegativeParseCases,13.0,93.0,3,2.5
310,1,testNegativeParseCases,1.0,1.0,10,1.0
129,0,testNegativeParseCases,19.0,88.0,1,1.0
111,1,testNegativeParseCases,8.0,26.0,2,1.0
315,2,testNegativeParseCases,,,10,3.0
133,1,testNegativeParseCases,33.0,136.0,5,3.0
143,2,testNegativeParseCases,,,5,5.0
311,2,testNegativeParseCases,,,9,5.0
314,2,testNegativeParseCases,,,5,3.0
106,1,testNegativeParseCases,16.0,187.0,6,4.0
318,1,testNegativeParseCases,19.0,24.0,7,5.0
191,0,testNegativeParseCases,18.0,129.0,4,1.0
189,1,testNegativeParseCases,13.0,79.0,8,3.0
316,2,testNegativeParseCases,,,13,4.0
139,0,testNegativeParseCases,18.0,152.0,4,2.0
136,0,add,4.0,117.0,5,1.0
176,0,add,8.0,157.0,4,4.0
155,1,add,17.0,602.0,5,2.0
117,2,add,,,4,1.0
166,1,add,7.0,223.0,6,4.0
317,1,add,10.0,135.0,5,2.0
168,0,add,23.0,330.0,4,2.0
319,2,add,,,11,1.0
182,2,add,,,3,2.5
310,2,add,,,10,1.0
129,2,add,,,1,1.0
111,1,add,4.0,93.0,2,1.0
313,2,add,,,14,3.0
315,0,add,34.0,401.0,10,3.0
133,2,add,,,5,3.0
143,2,add,,,5,5.0
311,1,add,14.0,117.0,9,5.0
314,2,add,,,5,3.0
106,2,add,,,6,4.0
318,1,add,8.0,8.0,7,5.0
147,1,add,14.0,141.0,4,1.0
191,2,add,,,4,1.0
189,2,add,,,8,3.0
316,2,add,,,13,4.0
139,2,add,,,4,2.0
136,1,appendDeclarations,4.0,103.0,5,1.0
176,2,appendDeclarations,,,4,4.0
155,0,appendDeclarations,19.0,170.0,5,2.0
117,2,appendDeclarations,,,4,1.0
166,1,appendDeclarations,24.0,154.0,6,4.0
317,2,appendDeclarations,,,5,2.0
319,1,appendDeclarations,4.0,10.0,11,1.0
186,1,appendDeclarations,22.0,222.0,4,3.0
182,1,appendDeclarations,31.0,98.0,3,2.5
310,0,appendDeclarations,7.0,41.0,10,1.0
111,1,appendDeclarations,7.0,66.0,2,1.0
313,1,appendDeclarations,13.0,262.0,14,3.0
315,0,appendDeclarations,11.0,149.0,10,3.0
133,2,appendDeclarations,,,5,3.0
143,2,appendDeclarations,,,5,5.0
314,2,appendDeclarations,,,5,3.0
106,1,appendDeclarations,21.0,98.0,6,4.0
318,2,appendDeclarations,,,7,5.0
147,1,appendDeclarations,23.0,233.0,4,1.0
191,1,appendDeclarations,31.0,279.0,4,1.0
189,2,appendDeclarations,,,8,3.0
316,0,appendDeclarations,24.0,116.0,13,4.0
139,2,appendDeclarations,,,4,2.0
136,2,getJSplitPane,,,5,1.0
314,1,getJSplitPane,3.0,38.0,5,3.0
189,2,getJSplitPane,,,8,3.0
176,0,setSecurityMode,7.0,53.0,4,4.0
317,0,setSecurityMode,11.0,125.0,5,2.0
191,1,setSecurityMode,44.0,420.0,4,1.0
316,0,setSecurityMode,13.0,123.0,13,4.0
