Method Name,Original Column,Mapped Category
saveToFile,file.1,argument
saveToFile,file.2,variable
saveToFile,close.0,function call
saveToFile,catch.0,exception handling
saveToFile,FileNotFoundException.0,parameter
saveToFile,e.0,parameter
saveToFile,e.1,variable
saveToFile,printStackTrace.0,function call
saveToFile,catch.1,exception handling
saveToFile,IOException.0,parameter
saveToFile,e.2,parameter
saveToFile,e.3,variable
saveToFile,printStackTrace.1,function call
populateNewList,private.0,function declaration
populateNewList,void.0,function declaration
populateNewList,populateNewList.0,function declaration
populateNewList,newResources.0,externally defined variable or function
populateNewList,=.0,assignment
populateNewList,mergeNewResources.0,externally defined variable or function
populateNewList,SwingUtilities.0,external class
populateNewList,invokeLater.0,function call
populateNewList,new.0,argument
populateNewList,Runnable.0,argument
populateNewList,SuppressWarnings.0,argument
populateNewList,"""""""synthetic-access"""".0""","""""""synthetic-access"""".0"""
populateNewList,Override.0,argument
populateNewList,public.0,argument
populateNewList,void.1,argument
populateNewList,run.0,argument
populateNewList,newListModel.0,argument
populateNewList,clear.0,argument
populateNewList,for.0,loop
populateNewList,Wrapper.0,loop
populateNewList,wr.0,loop
populateNewList,:.0,loop
populateNewList,newResources.1,loop
populateNewList,newListModel.1,loop
populateNewList,addElement.0,loop
populateNewList,wr.1,loop
add,public.0,function declaration
add,boolean.0,function declaration
add,add.0,function declaration
add,Date.0,parameter
add,date.0,parameter
add,if.0,conditional statement
add,dates.0,conditional statement
add,contains.0,conditional statement
add,date.1,conditional statement
add,return.0,return
add,FALSE.0,return
add,boolean.1,variable declaration
add,added.0,variable declaration
add,=.0,variable declaration
add,FALSE.1,variable declaration
add,for.0,loop
add,int.0,loop
add,i.0,loop
add,=.1,loop
add,0.0,loop
add,i.1,conditional statement
add,<.0,conditional statement
add,dates.1,conditional statement
add,size.0,conditional statement
add,&&.0,conditional statement
add,added.1,conditional statement
add,i.2,loop
add,Date.1,loop
add,nextDate.0,loop
add,=.2,loop
add,dates.2,loop
add,get.0,loop
add,i.3,loop
add,if.1,conditional statement
add,date.2,conditional statement
add,before.0,conditional statement
add,nextDate.1,conditional statement
add,dates.3,loop
add,add.1,loop
add,i.4,loop
add,date.3,loop
add,added.2,loop
add,=.3,loop
add,TRUE.0,loop
add,if.2,conditional statement
add,added.3,conditional statement
add,dates.4,conditional block
add,add.2,conditional block
add,date.4,conditional block
add,return.1,return
add,TRUE.1,return
getTargetServiceName,protected.0,function declaration
getTargetServiceName,String.0,function declaration
getTargetServiceName,getTargetServiceName.0,function declaration
getTargetServiceName,AddressingHeaders.0,parameter
getTargetServiceName,headers.0,parameter
getTargetServiceName,throws.0,exception handling
getTargetServiceName,Exception.0,exception handling
getTargetServiceName,To.0,variable declaration
getTargetServiceName,toURI.0,variable declaration
getTargetServiceName,=.0,variable declaration
getTargetServiceName,headers.1,variable declaration
getTargetServiceName,getTo.0,variable declaration
getTargetServiceName,if.0,conditional statement
getTargetServiceName,toURI.1,conditional statement
getTargetServiceName,==.0,conditional statement
getTargetServiceName,nan.0,conditional statement
getTargetServiceName,return.0,return
getTargetServiceName,nan.1,return
getTargetServiceName,String.1,variable declaration
getTargetServiceName,to.0,variable declaration
getTargetServiceName,=.1,variable declaration
getTargetServiceName,toURI.2,variable declaration
getTargetServiceName,getPath.0,variable declaration
getTargetServiceName,if.1,conditional statement
getTargetServiceName,to.1,conditional statement
getTargetServiceName,==.1,conditional statement
getTargetServiceName,nan.2,conditional statement
getTargetServiceName,return.1,return
getTargetServiceName,nan.3,return
getTargetServiceName,// set the target service.200,comment
getTargetServiceName,return.2,return
getTargetServiceName,to.2,return
getTargetServiceName,substring.0,return
getTargetServiceName,to.3,return
getTargetServiceName,lastIndexOf.0,return
getTargetServiceName,'/'.0,return
getTargetServiceName,+.0,return
getTargetServiceName,1.0,return
actionPerformed,public.0,function declaration
actionPerformed,void.0,function declaration
actionPerformed,actionPerformed.0,function declaration
actionPerformed,ActionEvent.0,parameter
actionPerformed,e.0,parameter
actionPerformed,int.0,variable declaration
actionPerformed,selectedRows.0,variable declaration
actionPerformed,=.0,variable declaration
actionPerformed,features.0,variable declaration
actionPerformed,getSelectedRows.0,variable declaration
actionPerformed,if.0,conditional statement
actionPerformed,selectedRows.1,conditional statement
actionPerformed,length.0,conditional statement
actionPerformed,>.0,conditional statement
actionPerformed,0.0,conditional statement
actionPerformed,boolean.0,conditional block
actionPerformed,valueToBeSet.0,conditional block
actionPerformed,=.1,conditional block
actionPerformed,Boolean.0,conditional block
actionPerformed,features.1,conditional block
actionPerformed,getValueAt.0,conditional block
actionPerformed,selectedRows.2,conditional block
actionPerformed,0.1,conditional block
actionPerformed,].0,].0
actionPerformed,0.2,conditional block
actionPerformed,)).0,)).0
actionPerformed,booleanValue.0,conditional block
actionPerformed,for.0,loop
actionPerformed,int.1,loop
actionPerformed,i.0,loop
actionPerformed,=.2,loop
actionPerformed,0.3,loop
actionPerformed,i.1,conditional statement
actionPerformed,<.0,conditional statement
actionPerformed,selectedRows.3,conditional statement
actionPerformed,length.1,conditional statement
actionPerformed,i.2,loop
actionPerformed,features.2,loop
actionPerformed,setValueAt.0,loop
actionPerformed,new.0,loop
actionPerformed,Boolean.1,loop
actionPerformed,valueToBeSet.1,loop
actionPerformed,selectedRows.4,loop
actionPerformed,i.3,loop
actionPerformed,].1,].1
actionPerformed,0.4,loop
go,public.0,function declaration
go,void.0,function declaration
go,go.0,function declaration
go,String.0,parameter
go,theUserName.0,parameter
go,try.0,exception handling
go,new.0,operator
go,ChatUI.0,external class
go,MessageInputReceiver.0,argument
go,this.0,argument
go,theUserName.1,argument
go,// shake hands.200,comment
go,writer.0,function call
go,println.0,function call
go,theUserName.2,argument
go,writer.1,function call
go,flush.0,externally defined variable or function
go,// OK means init with server went well.201,comment
go,if.0,conditional statement
go,reader.0,conditional statement
go,readLine.0,conditional statement
go,equals.0,conditional statement
go,"""""""OK"""".0""","""""""OK"""".0"""
go,initialized.0,conditional block
go,=.0,conditional block
go,TRUE.0,conditional block
go,readChat.0,conditional block
go,else.0,conditional statement
go,bailOut.0,conditional block
go,new.1,conditional block
go,IOException.0,conditional block
go,"""""""handshake failed"""".100""","""""""handshake failed"""".100"""
go,catch.0,exception handling
go,IOException.1,parameter
go,ioe.0,parameter
go,bailOut.1,externally defined variable or function
go,ioe.1,argument
go,catch.1,exception handling
go,Exception.0,parameter
go,e.0,parameter
go,bailOut.2,externally defined variable or function
go,e.1,argument
visitRetStmt,public.0,function declaration
visitRetStmt,void.0,function declaration
visitRetStmt,visitRetStmt.0,function declaration
visitRetStmt,RetStmt.0,parameter
visitRetStmt,stmt.0,parameter
visitRetStmt,Set.0,variable declaration
visitRetStmt,targets.0,variable declaration
visitRetStmt,=.0,variable declaration
visitRetStmt,new.0,variable declaration
visitRetStmt,LinkedHashSet.0,variable declaration
visitRetStmt,Iterator.0,variable declaration
visitRetStmt,iter.0,variable declaration
visitRetStmt,=.1,variable declaration
visitRetStmt,stmt.1,variable declaration
visitRetStmt,sub.0,variable declaration
visitRetStmt,paths.0,variable declaration
visitRetStmt,iterator.0,variable declaration
visitRetStmt,while.0,loop
visitRetStmt,iter.1,conditional statement
visitRetStmt,hasNext.0,conditional statement
visitRetStmt,Block.0,loop
visitRetStmt,path.0,loop
visitRetStmt,=.2,loop
visitRetStmt,Block.1,loop
visitRetStmt,iter.2,loop
visitRetStmt,next.0,loop
visitRetStmt,targets.1,loop
visitRetStmt,add.0,loop
visitRetStmt,path.1,loop
visitRetStmt,1.0,loop
visitRetStmt,targets.2,variable
visitRetStmt,addAll.0,function call
visitRetStmt,stmt.2,argument
visitRetStmt,catchTargets.0,argument
visitRetStmt,verifyTargets.0,externally defined variable or function
visitRetStmt,stmt.3,argument
visitRetStmt,block.0,argument
visitRetStmt,targets.3,argument
visitRetStmt,visitNode.0,externally defined variable or function
visitRetStmt,stmt.4,argument
setPhoto,public.0,function declaration
setPhoto,void.0,function declaration
setPhoto,setPhoto.0,function declaration
setPhoto,JdaiPhoto.0,parameter
setPhoto,photo.0,parameter
setPhoto,String.0,variable declaration
setPhoto,text.0,variable declaration
setPhoto,=.0,variable declaration
setPhoto,nan.0,variable declaration
setPhoto,if.0,conditional statement
setPhoto,photo.1,conditional statement
setPhoto,!=.0,conditional statement
setPhoto,nan.1,conditional statement
setPhoto,label.0,conditional block
setPhoto,setText.0,conditional block
setPhoto,""""""""""".0""",""""""""""".0"""
setPhoto,try.0,exception handling
setPhoto,text.1,conditional block
setPhoto,=.1,conditional block
setPhoto,photo.2,conditional block
setPhoto,getSection.0,conditional block
setPhoto,getInfoStore.0,conditional block
setPhoto,getCaption.0,conditional block
setPhoto,photo.3,conditional block
setPhoto,catch.0,exception handling
setPhoto,JdaiReadException.0,parameter
setPhoto,e.0,parameter
setPhoto,JdaiGuiHelpers.0,conditional block
setPhoto,reportException.0,conditional block
setPhoto,"""""""Unable to read caption"""".100""","""""""Unable to read caption"""".100"""
setPhoto,e.1,conditional block
setPhoto,if.1,conditional statement
setPhoto,text.2,conditional statement
setPhoto,==.0,conditional statement
setPhoto,nan.2,conditional statement
setPhoto,||.0,conditional statement
setPhoto,text.3,conditional statement
setPhoto,equals.0,conditional statement
setPhoto,""""""""""".1""",""""""""""".1"""
setPhoto,text.4,conditional block
setPhoto,=.2,conditional block
setPhoto,"""""""No caption set"""".101""","""""""No caption set"""".101"""
setPhoto,else.0,conditional statement
setPhoto,label.1,conditional block
setPhoto,setIcon.0,conditional block
setPhoto,nan.3,conditional block
setPhoto,label.2,externally defined variable or function
setPhoto,setToolTipText.0,function call
setPhoto,text.5,argument
setPhoto,setNewPhoto.0,function call
setPhoto,photo.4,argument
testOneTwoThreeCreateCycle,public.0,function declaration
testOneTwoThreeCreateCycle,void.0,function declaration
testOneTwoThreeCreateCycle,testOneTwoThreeCreateCycle.0,function declaration
testOneTwoThreeCreateCycle,throws.0,exception handling
testOneTwoThreeCreateCycle,Exception.0,exception handling
testOneTwoThreeCreateCycle,IRodinFile.0,variable declaration
testOneTwoThreeCreateCycle,ctx.0,variable declaration
testOneTwoThreeCreateCycle,=.0,variable declaration
testOneTwoThreeCreateCycle,createRodinFile.0,variable declaration
testOneTwoThreeCreateCycle,"""""""P/x.ctx"""".0""","""""""P/x.ctx"""".0"""
testOneTwoThreeCreateCycle,createDependency.0,function call
testOneTwoThreeCreateCycle,ctx.1,argument
testOneTwoThreeCreateCycle,"""""""y"""".0""","""""""y"""".0"""
testOneTwoThreeCreateCycle,createData.0,function call
testOneTwoThreeCreateCycle,ctx.2,argument
testOneTwoThreeCreateCycle,"""""""one"""".0""","""""""one"""".0"""
testOneTwoThreeCreateCycle,ctx.3,variable
testOneTwoThreeCreateCycle,save.0,function call
testOneTwoThreeCreateCycle,nan.0,argument
testOneTwoThreeCreateCycle,TRUE.0,argument
testOneTwoThreeCreateCycle,runBuilder.0,function call
testOneTwoThreeCreateCycle,IRodinFile.1,variable declaration
testOneTwoThreeCreateCycle,cty.0,variable declaration
testOneTwoThreeCreateCycle,=.1,variable declaration
testOneTwoThreeCreateCycle,createRodinFile.1,variable declaration
testOneTwoThreeCreateCycle,"""""""P/y.ctx"""".0""","""""""P/y.ctx"""".0"""
testOneTwoThreeCreateCycle,createDependency.1,function call
testOneTwoThreeCreateCycle,cty.1,argument
testOneTwoThreeCreateCycle,"""""""x"""".0""","""""""x"""".0"""
testOneTwoThreeCreateCycle,createData.1,function call
testOneTwoThreeCreateCycle,cty.2,argument
testOneTwoThreeCreateCycle,"""""""two"""".0""","""""""two"""".0"""
testOneTwoThreeCreateCycle,cty.3,variable
testOneTwoThreeCreateCycle,save.1,function call
testOneTwoThreeCreateCycle,nan.1,argument
testOneTwoThreeCreateCycle,TRUE.1,argument
testOneTwoThreeCreateCycle,IRodinFile.2,variable declaration
testOneTwoThreeCreateCycle,ctz.0,variable declaration
testOneTwoThreeCreateCycle,=.2,variable declaration
testOneTwoThreeCreateCycle,createRodinFile.2,variable declaration
testOneTwoThreeCreateCycle,"""""""P/z.ctx"""".0""","""""""P/z.ctx"""".0"""
testOneTwoThreeCreateCycle,createData.2,function call
testOneTwoThreeCreateCycle,ctz.1,argument
testOneTwoThreeCreateCycle,"""""""three"""".0""","""""""three"""".0"""
testOneTwoThreeCreateCycle,ctz.2,variable
testOneTwoThreeCreateCycle,save.2,function call
testOneTwoThreeCreateCycle,nan.2,argument
testOneTwoThreeCreateCycle,TRUE.2,argument
testOneTwoThreeCreateCycle,runBuilder.1,function call
testOneTwoThreeCreateCycle,"""""""CSC extract /P/x.ctx"""".100""","""""""CSC extract /P/x.ctx"""".100"""
testOneTwoThreeCreateCycle,"""""""CSC run /P/x. csc"""".101""","""""""CSC run /P/x. csc"""".101"""
testOneTwoThreeCreateCycle,"""""""CSC extract /P/y.ctx"""".102""","""""""CSC extract /P/y.ctx"""".102"""
testOneTwoThreeCreateCycle,"""""""CSC extract /P/z.ctx"""".103""","""""""CSC extract /P/z.ctx"""".103"""
testOneTwoThreeCreateCycle,"""""""CSC run /P/z.csc"""".104""","""""""CSC run /P/z.csc"""".104"""
listen,public.0,function declaration
listen,void.0,function declaration
listen,listen.0,function declaration
listen,throws.0,exception handling
listen,IOException.0,exception handling
listen,logMessage.0,externally defined variable or function
listen,"""""""Server started at """".100""","""""""Server started at """".100"""
listen,+.0,argument
listen,this.0,argument
listen,getHostname.0,argument
listen,+.1,argument
listen,""""""":"""".0""",""""""":"""".0"""
listen,+.2,argument
listen,this.1,argument
listen,getPort.0,argument
listen,while.0,loop
listen,TRUE.0,conditional statement
listen,Socket.0,loop
listen,socket.0,loop
listen,=.0,loop
listen,serverSocket.0,loop
listen,accept.0,loop
listen,logMessage.1,loop
listen,socket.1,loop
listen,getInetAddress.0,loop
listen,getCanonicalHostName.0,loop
listen,+.3,loop
listen,"""""""has made a connection !"""".101""","""""""has made a connection !"""".101"""
listen,logMessage.2,loop
listen,"""""""Creating new listener"""".102""","""""""Creating new listener"""".102"""
listen,ListenThread.0,loop
listen,task.0,loop
listen,=.1,loop
listen,new.0,loop
listen,ListenThread.1,loop
listen,socket.2,loop
listen,this.2,loop
listen,logMessage.3,loop
listen,"""""""Adding new totemcontrolcomhandler"""".103""","""""""Adding new totemcontrolcomhandler"""".103"""
listen,addHandlers.0,loop
listen,task.1,loop
listen,Thread.0,loop
listen,listener.0,loop
listen,=.2,loop
listen,new.1,loop
listen,Thread.1,loop
listen,task.2,loop
listen,logMessage.4,loop
listen,"""""""Starting new thread"""".104""","""""""Starting new thread"""".104"""
listen,listener.1,loop
listen,run.0,loop
clearFieldersFromField,public.0,function declaration
clearFieldersFromField,void.0,function declaration
clearFieldersFromField,clearFieldersFromField.0,function declaration
clearFieldersFromField,// clear all fielders from field.200,comment
clearFieldersFromField,for.0,loop
clearFieldersFromField,int.0,loop
clearFieldersFromField,i.0,loop
clearFieldersFromField,=.0,loop
clearFieldersFromField,0.0,loop
clearFieldersFromField,i.1,conditional statement
clearFieldersFromField,<.0,conditional statement
clearFieldersFromField,boardXDimension.0,conditional statement
clearFieldersFromField,i.2,loop
clearFieldersFromField,for.1,loop
clearFieldersFromField,int.1,loop
clearFieldersFromField,j.0,loop
clearFieldersFromField,=.1,loop
clearFieldersFromField,0.1,loop
clearFieldersFromField,j.1,conditional statement
clearFieldersFromField,<.1,conditional statement
clearFieldersFromField,boardYDimension.0,conditional statement
clearFieldersFromField,j.2,loop
clearFieldersFromField,for.2,loop
clearFieldersFromField,int.2,loop
clearFieldersFromField,a.0,loop
clearFieldersFromField,=.2,loop
clearFieldersFromField,0.2,loop
clearFieldersFromField,a.1,conditional statement
clearFieldersFromField,<.2,conditional statement
clearFieldersFromField,boardZDimension.0,conditional statement
clearFieldersFromField,a.2,loop
clearFieldersFromField,cricketFieldPositions.0,loop
clearFieldersFromField,i.3,loop
clearFieldersFromField,j.3,loop
clearFieldersFromField,a.3,loop
clearFieldersFromField,=.3,loop
clearFieldersFromField,0.3,loop
testInvoke,public.0,function declaration
testInvoke,void.0,function declaration
testInvoke,testInvoke.0,function declaration
testInvoke,throws.0,exception handling
testInvoke,Exception.0,exception handling
testInvoke,transport.0,externally defined variable or function
testInvoke,setRemoteService.0,function call
testInvoke,"""""""TravelProcess"""".0""","""""""TravelProcess"""".0"""
testInvoke,call.0,externally defined variable or function
testInvoke,setOperation.0,function call
testInvoke,"""""""initiate"""".0""","""""""initiate"""".0"""
testInvoke,call.1,externally defined variable or function
testInvoke,addParameter.0,function call
testInvoke,"""""""x"""".0""","""""""x"""".0"""
testInvoke,XMLType.0,argument
testInvoke,XSD_STRING.0,argument
testInvoke,ParameterMode.0,argument
testInvoke,IN.0,argument
testInvoke,call.2,externally defined variable or function
testInvoke,setReturnType.0,function call
testInvoke,XMLType.1,argument
testInvoke,XSD_STRING.1,argument
testInvoke,String.0,variable declaration
testInvoke,result.0,variable declaration
testInvoke,=.0,variable declaration
testInvoke,String.1,variable declaration
testInvoke,call.3,variable declaration
testInvoke,invoke.0,variable declaration
testInvoke,new.0,variable declaration
testInvoke,Object.0,variable declaration
testInvoke,"""""""anything"""".0""","""""""anything"""".0"""
testInvoke,assertEquals.0,function call
testInvoke,DUMMY_RESULT.0,argument
testInvoke,result.1,argument
getImageWithSource,public.0,function declaration
getImageWithSource,WebImage.0,function declaration
getImageWithSource,getImageWithSource.0,function declaration
getImageWithSource,String.0,parameter
getImageWithSource,source.0,parameter
getImageWithSource,WebImage.1,variable declaration
getImageWithSource,images.0,variable declaration
getImageWithSource,=.0,variable declaration
getImageWithSource,getImages.0,variable declaration
getImageWithSource,for.0,loop
getImageWithSource,int.0,loop
getImageWithSource,i.0,loop
getImageWithSource,=.1,loop
getImageWithSource,0.0,loop
getImageWithSource,i.1,conditional statement
getImageWithSource,<.0,conditional statement
getImageWithSource,images.1,conditional statement
getImageWithSource,length.0,conditional statement
getImageWithSource,i.2,loop
getImageWithSource,if.0,conditional statement
getImageWithSource,HttpUnitUtils.0,conditional statement
getImageWithSource,matches.0,conditional statement
getImageWithSource,source.1,conditional statement
getImageWithSource,images.2,conditional statement
getImageWithSource,i.3,conditional statement
getImageWithSource,].0,].0
getImageWithSource,getSource.0,conditional statement
getImageWithSource,return.0,return
getImageWithSource,images.3,return
getImageWithSource,i.4,return
getImageWithSource,return.1,return
getImageWithSource,nan.0,return
setGenJarDir,public.0,function declaration
setGenJarDir,void.0,function declaration
setGenJarDir,setGenJarDir.0,function declaration
setGenJarDir,File.0,parameter
setGenJarDir,genJarDir.0,parameter
setGenJarDir,SandProject.0,parameter
setGenJarDir,proj.0,parameter
setGenJarDir,proj.1,variable
setGenJarDir,getAntProject.0,function call
setGenJarDir,setProperty.0,function call
setGenJarDir,"""""""genJarDir"""".0""","""""""genJarDir"""".0"""
setGenJarDir,genJarDir.1,argument
setGenJarDir,toString.0,argument
setGenJarDir,SandProject.1,variable declaration
setGenJarDir,downstream.0,variable declaration
setGenJarDir,=.0,variable declaration
setGenJarDir,proj.2,variable declaration
setGenJarDir,getRequiredBy.0,variable declaration
setGenJarDir,for.0,loop
setGenJarDir,int.0,loop
setGenJarDir,i.0,loop
setGenJarDir,=.1,loop
setGenJarDir,0.0,loop
setGenJarDir,i.1,conditional statement
setGenJarDir,<.0,conditional statement
setGenJarDir,downstream.1,conditional statement
setGenJarDir,length.0,conditional statement
setGenJarDir,i.2,loop
setGenJarDir,setGenJarDir.1,loop
setGenJarDir,genJarDir.2,loop
setGenJarDir,downstream.2,loop
setGenJarDir,i.3,loop
setGenJarDir,].0,].0
getNAGString,public.0,function declaration
getNAGString,String.0,function declaration
getNAGString,getNAGString.0,function declaration
getNAGString,boolean.0,parameter
getNAGString,allNumeric.0,parameter
getNAGString,if.0,conditional statement
getNAGString,nags.0,conditional statement
getNAGString,==.0,conditional statement
getNAGString,nan.0,conditional statement
getNAGString,return.0,return
getNAGString,nan.1,return
getNAGString,StringBuilder.0,variable declaration
getNAGString,sb.0,variable declaration
getNAGString,=.0,variable declaration
getNAGString,new.0,variable declaration
getNAGString,StringBuilder.1,variable declaration
getNAGString,String.1,variable declaration
getNAGString,suff.0,variable declaration
getNAGString,=.1,variable declaration
getNAGString,nan.2,variable declaration
getNAGString,int.0,variable declaration
getNAGString,count.0,variable declaration
getNAGString,=.2,variable declaration
getNAGString,0.0,variable declaration
getNAGString,for.0,loop
getNAGString,int.1,loop
getNAGString,i.0,loop
getNAGString,=.3,loop
getNAGString,0.1,loop
getNAGString,i.1,conditional statement
getNAGString,<.0,conditional statement
getNAGString,nags.1,conditional statement
getNAGString,length.0,conditional statement
getNAGString,i.2,loop
getNAGString,suff.1,loop
getNAGString,=.4,loop
getNAGString,NAG.0,loop
getNAGString,numberToString.0,loop
getNAGString,nags.2,loop
getNAGString,i.3,loop
getNAGString,allNumeric.1,loop
getNAGString,if.1,conditional statement
getNAGString,suff.2,conditional statement
getNAGString,!=.0,conditional statement
getNAGString,nan.3,conditional statement
getNAGString,if.2,conditional statement
getNAGString,count.1,conditional statement
getNAGString,>.0,conditional statement
getNAGString,0.2,conditional statement
getNAGString,sb.1,loop
getNAGString,append.0,loop
getNAGString,""""""" """".0""",""""""" """".0"""
getNAGString,sb.2,loop
getNAGString,append.1,loop
getNAGString,suff.3,loop
getNAGString,return.1,return
getNAGString,sb.3,return
getNAGString,toString.0,return
getUserNameFromCookie,private.0,function declaration
getUserNameFromCookie,String.0,function declaration
getUserNameFromCookie,getUserNameFromCookie.0,function declaration
getUserNameFromCookie,throws.0,exception handling
getUserNameFromCookie,Exception.0,exception handling
getUserNameFromCookie,String.1,variable declaration
getUserNameFromCookie,userName.0,variable declaration
getUserNameFromCookie,=.0,variable declaration
getUserNameFromCookie,nan.0,variable declaration
getUserNameFromCookie,// get user name.200,comment
getUserNameFromCookie,Cookie.0,variable declaration
getUserNameFromCookie,cookies.0,variable declaration
getUserNameFromCookie,=.1,variable declaration
getUserNameFromCookie,servletRequest.0,variable declaration
getUserNameFromCookie,getCookies.0,variable declaration
getUserNameFromCookie,for.0,loop
getUserNameFromCookie,int.0,loop
getUserNameFromCookie,i.0,loop
getUserNameFromCookie,=.2,loop
getUserNameFromCookie,0.0,loop
getUserNameFromCookie,i.1,conditional statement
getUserNameFromCookie,<.0,conditional statement
getUserNameFromCookie,cookies.1,conditional statement
getUserNameFromCookie,length.0,conditional statement
getUserNameFromCookie,i.2,loop
getUserNameFromCookie,Cookie.1,loop
getUserNameFromCookie,cookie.0,loop
getUserNameFromCookie,=.3,loop
getUserNameFromCookie,cookies.2,loop
getUserNameFromCookie,i.3,loop
getUserNameFromCookie,if.0,conditional statement
getUserNameFromCookie,cookie.1,conditional statement
getUserNameFromCookie,!=.0,conditional statement
getUserNameFromCookie,nan.1,conditional statement
getUserNameFromCookie,&&.0,conditional statement
getUserNameFromCookie,cookie.2,conditional statement
getUserNameFromCookie,getName.0,conditional statement
getUserNameFromCookie,equals.0,conditional statement
getUserNameFromCookie,"""""""platform.username"""".0""","""""""platform.username"""".0"""
getUserNameFromCookie,String.2,loop
getUserNameFromCookie,value.0,loop
getUserNameFromCookie,=.4,loop
getUserNameFromCookie,cookie.3,loop
getUserNameFromCookie,getValue.0,loop
getUserNameFromCookie,userName.1,loop
getUserNameFromCookie,=.5,loop
getUserNameFromCookie,DesEncrypter.0,loop
getUserNameFromCookie,getInstance.0,loop
getUserNameFromCookie,decrypt.0,loop
getUserNameFromCookie,value.1,loop
getUserNameFromCookie,break.0,loop
getUserNameFromCookie,return.0,return
getUserNameFromCookie,userName.2,return
BFSdist,public.0,function declaration
BFSdist,void.0,function declaration
BFSdist,BFSdist.0,function declaration
BFSdist,Node.0,parameter
BFSdist,n.0,parameter
BFSdist,Vector.0,parameter
BFSdist,ToDo.0,parameter
BFSdist,int.0,parameter
BFSdist,indirConn.0,parameter
BFSdist,Node.1,variable declaration
BFSdist,n2.0,variable declaration
BFSdist,=.0,variable declaration
BFSdist,nan.0,variable declaration
BFSdist,for.0,loop
BFSdist,Enumeration.0,loop
BFSdist,es.0,loop
BFSdist,=.1,loop
BFSdist,n.1,loop
BFSdist,adjEdges.0,loop
BFSdist,elements.0,loop
BFSdist,es.1,conditional statement
BFSdist,hasMoreElements.0,conditional statement
BFSdist,n2.1,loop
BFSdist,=.2,loop
BFSdist,n.2,loop
BFSdist,adjNode.0,loop
BFSdist,Edge.0,loop
BFSdist,es.2,loop
BFSdist,nextElement.0,loop
BFSdist,if.0,conditional statement
BFSdist,n2.2,conditional statement
BFSdist,dist.0,conditional statement
BFSdist,<.0,conditional statement
BFSdist,0.0,conditional statement
BFSdist,n2.3,loop
BFSdist,dist.1,loop
BFSdist,=.3,loop
BFSdist,n.3,loop
BFSdist,dist.2,loop
BFSdist,+.0,loop
BFSdist,1.0,loop
BFSdist,indirConn.1,loop
BFSdist,n2.4,loop
BFSdist,dist.3,loop
BFSdist,++.0,loop
BFSdist,// important add adds to the end of the list.200,comment
BFSdist,ToDo.1,loop
BFSdist,add.0,loop
BFSdist,n2.5,loop
BFSdist,if.1,conditional statement
