Participant,Quality,Method,YearsCoding,Fixation_Ratio,Scanpath_Length
312,0,listen_29572299,8,,
312,0,testCookieGreaterThan_39840471,8,,
312,0,play_41287529,8,,
312,0,BFSdist_44521080,8,,
312,0,removeService_38221424,8,,
312,0,getRodinDBStatus_19505695,8,,
312,0,getImageWithSource_1782360,8,0.34375,30.0
312,0,readFromFile_16777940,8,0.3095238095238095,65.0
312,0,addRotation_23014476,8,0.5142857142857142,48.0
312,0,updateSchema_4627680,8,0.2962962962962963,40.0
312,0,clearFieldersFromField_45147874,8,0.054054054054054,9.0
312,0,go_14477536,8,0.1666666666666666,29.0
312,0,testSetExample_50891793,8,0.5217391304347826,34.0
312,0,getClassNameForLookAndFeel_19218425,8,0.5416666666666666,71.0
312,0,testSetWelcomeMsg_33719869,8,0.4545454545454545,61.0
312,0,liesBetween_39299426,8,0.1489361702127659,9.0
313,0,liesBetween_39299426,14,0.4680851063829787,50.0
313,0,swapItems_36634895,14,0.4102564102564102,45.0
313,0,listen_29572299,14,0.6078431372549019,51.0
313,0,BFSdist_44521080,14,0.6129032258064516,43.0
313,0,getImageWithSource_1782360,14,0.5625,42.0
313,0,updateSchema_4627680,14,0.8518518518518519,43.0
313,0,messageSent_19413001,14,0.7666666666666667,51.0
313,0,updateGain_26215341,14,0.8108108108108109,49.0
313,0,store_20787007,14,0.7857142857142857,80.0
313,0,createChecklistItem_49866815,14,0.59375,78.0
313,0,actionPerformed_12725774,14,0.5869565217391305,66.0
313,0,addPKColumn_51577053,14,0.7272727272727273,65.0
191,0,addRotation_23014476,4,0.6,27.0
191,0,swapItems_36634895,4,0.4102564102564102,52.0
191,0,readFromFile_16777940,4,0.5714285714285714,36.0
191,0,setGenJarDir_31789275,4,0.7575757575757576,6.0
191,0,addPKColumn_51577053,4,0.4848484848484848,61.0
191,0,BFSdist_44521080,4,0.4193548387096774,71.0
191,0,clearFieldersFromField_45147874,4,0.4864864864864865,48.0
191,0,getClassNameForLookAndFeel_19218425,4,0.5833333333333334,34.0
191,0,selectBracketingEntries_40936756,4,0.5945945945945946,23.0
191,0,testNegativeParseCases_31696447,4,0.5454545454545454,17.0
168,0,clearFieldersFromField_45147874,4,0.3243243243243243,28.0
168,0,BFSdist_44521080,4,0.4032258064516129,5.0
168,0,swapItems_36634895,4,0.358974358974359,46.0
168,0,getMenuAdministracion_28631042,4,0.4193548387096774,111.0
168,0,add_4114383,4,0.4117647058823529,77.0
168,0,setPhoto_50994916,4,0.0588235294117647,16.0
186,0,getImageWithSource_1782360,4,,
186,0,messageSent_19413001,4,,
186,0,setGenJarDir_31789275,4,0.0909090909090909,4.0
186,0,updateSchema_4627680,4,0.1851851851851851,18.0
186,0,evaluate_45130358,4,0.2,4.0
186,0,actionPerformed_12725774,4,0.4565217391304347,28.0
186,0,addPKColumn_51577053,4,0.0606060606060606,11.0
186,0,go_14477536,4,0.4285714285714285,1.0
186,0,BFSdist_44521080,4,,
186,0,setSecurityMode_38737384,4,,
186,0,getRodinDBStatus_19505695,4,0.5,36.0
139,0,getMenuAdministracion_28631042,4,0.6451612903225806,15.0
139,0,actionPerformed_12725774,4,0.7608695652173914,21.0
139,0,getBackCommand22_40865212,4,0.7727272727272727,8.0
139,0,go_14477536,4,0.6904761904761905,11.0
139,0,store_20787007,4,0.8571428571428571,26.0
139,0,updateGain_26215341,4,0.7027027027027027,29.0
139,0,getImageWithSource_1782360,4,0.53125,17.0
139,0,addPKColumn_51577053,4,0.5454545454545454,10.0
139,0,testNegativeParseCases_31696447,4,0.5909090909090909,8.0
139,0,getUserNameFromCookie_1694531,4,0.5471698113207547,7.0
139,0,setUpMrj_14467418,4,0.5142857142857142,8.0
316,0,updateGain_26215341,13,0.3783783783783784,73.0
316,0,appendDeclarations_36405409,13,0.4090909090909091,47.0
316,0,addPKColumn_51577053,13,0.1818181818181818,39.0
316,0,getRemoteObject_50026101,13,0.3636363636363636,28.0
316,0,setSecurityMode_38737384,13,0.3666666666666666,46.0
316,0,getImageWithSource_1782360,13,0.25,36.0
316,0,testMoveRFWithNullContainer_19507414,13,0.4,16.0
316,0,searchRecipe_18421665,13,0.3902439024390244,11.0
316,0,clearFieldersFromField_45147874,13,0.1891891891891892,13.0
316,0,swapItems_36634895,13,0.3076923076923077,58.0
316,0,setGenJarDir_31789275,13,0.4848484848484848,0.0
316,0,showLatestPlan_18418213,13,0.4878048780487805,27.0
316,0,liesBetween_39299426,13,0.2978723404255319,81.0
316,0,BFSdist_44521080,13,0.4838709677419355,14.0
317,0,clearFieldersFromField_45147874,5,0.5135135135135135,41.0
317,0,actionPerformed_12725774,5,0.6956521739130435,53.0
317,0,updateSchema_4627680,5,0.1851851851851851,
317,0,go_14477536,5,0.3333333333333333,71.0
317,0,addPKColumn_51577053,5,0.4848484848484848,42.0
317,0,testCookieGreaterThan_39840471,5,0.5,52.0
317,0,setSecurityMode_38737384,5,0.5,89.0
106,0,messageSent_19413001,6,0.6,53.0
106,0,clearFieldersFromField_45147874,6,0.3513513513513513,30.0
106,0,addPKColumn_51577053,6,0.303030303030303,28.0
133,0,clearFieldersFromField_45147874,5,0.2702702702702703,3.0
133,0,updateSchema_4627680,5,0.5185185185185185,8.0
133,0,getUserNameFromCookie_1694531,5,0.5283018867924528,8.0
133,0,updateGain_26215341,5,0.6486486486486487,33.0
133,0,selectBracketingEntries_40936756,5,0.5945945945945946,19.0
133,0,removeService_38221424,5,0.6071428571428571,60.0
133,0,addPKColumn_51577053,5,0.6060606060606061,17.0
133,0,swapItems_36634895,5,0.3333333333333333,49.0
166,0,messageSent_19413001,6,0.4,36.0
166,0,addPKColumn_51577053,6,0.2727272727272727,9.0
111,0,populateNewList_34427273,2,0.8076923076923077,21.0
182,0,addPKColumn_51577053,3,0.5757575757575758,17.0
182,0,updateSchema_4627680,3,0.2592592592592592,2.0
182,0,getRodinDBStatus_19505695,3,0.5833333333333334,4.0
182,0,clearFieldersFromField_45147874,3,0.1081081081081081,3.0
182,0,go_14477536,3,0.4285714285714285,12.0
182,0,messageSent_19413001,3,0.4333333333333333,18.0
182,0,testNegativeParseCases_31696447,3,0.5454545454545454,4.0
182,0,equals_10222579,3,0.4838709677419355,11.0
189,0,BFSdist_44521080,8,0.5483870967741935,56.0
189,0,createChecklistItem_49866815,8,0.625,82.0
189,0,handleHalt_19682824,8,0.45,21.0
189,0,readFromFile_16777940,8,0.4523809523809524,43.0
189,0,addRotation_23014476,8,0.6285714285714286,65.0
189,0,swapItems_36634895,8,0.5641025641025641,56.0
129,0,getEffect_47571922,1,0.3947368421052631,15.0
129,0,testNegativeParseCases_31696447,1,0.5454545454545454,5.0
129,0,go_14477536,1,0.3333333333333333,9.0
129,0,clearFieldersFromField_45147874,1,0.3513513513513513,15.0
129,0,addPKColumn_51577053,1,0.3636363636363636,9.0
129,0,updateSchema_4627680,1,0.2592592592592592,9.0
129,0,searchRecipe_18421665,1,0.5365853658536586,14.0
129,0,getImageWithSource_1782360,1,0.40625,14.0
129,0,swapItems_36634895,1,0.5128205128205128,23.0
129,0,testMoveRFWithNullContainer_19507414,1,0.4,19.0
117,0,getRemoteObject_50026101,4,0.3636363636363636,4.0
117,0,updateSchema_4627680,4,0.4074074074074074,7.0
117,0,getRodinDBStatus_19505695,4,0.4583333333333333,11.0
117,0,getEffect_47571922,4,0.3684210526315789,20.0
117,0,populateNewList_34427273,4,0.7307692307692307,17.0
117,0,onAttach_1810081,4,0.3888888888888889,1.0
117,0,getImageWithSource_1782360,4,0.3125,10.0
117,0,go_14477536,4,0.6190476190476191,13.0
117,0,createChecklistItem_49866815,4,0.40625,18.0
117,0,setPhoto_50994916,4,0.4705882352941176,3.0
117,0,updateGain_26215341,4,0.4054054054054054,28.0
117,0,actionPerformed_12725774,4,0.5,17.0
122,0,getMenuAdministracion_28631042,2,,
122,0,clearFieldersFromField_45147874,2,,
122,0,equals_10222579,2,,
122,0,setPhoto_50994916,2,,
122,0,actionPerformed_12725774,2,,
122,0,getImageWithSource_1782360,2,,
122,0,listen_29572299,2,,
122,0,messageSent_19413001,2,,
122,0,updateSchema_4627680,2,,
122,0,swapItems_36634895,2,,
122,0,testGetEmail_33718481,2,,
122,0,addPKColumn_51577053,2,,
122,0,go_14477536,2,,
122,0,getApplicableLaw_39298970,2,,
122,0,testOneTwoThreeCreateCycle_19507735,2,,
122,0,add_4114383,2,,
122,0,makeUniqueParagraphForGlobalWithLength_34105249,2,,
155,0,getImageWithSource_1782360,5,0.125,4.0
155,0,getUserNameFromCookie_1694531,5,0.4150943396226415,10.0
155,0,addRotation_23014476,5,0.4571428571428571,29.0
155,0,swapItems_36634895,5,0.2564102564102564,24.0
155,0,actionPerformed_12725774,5,0.5652173913043478,45.0
155,0,removeService_38221424,5,0.6071428571428571,47.0
155,0,BFSdist_44521080,5,0.7258064516129032,33.0
155,0,appendDeclarations_36405409,5,0.6818181818181818,30.0
155,0,evaluate_45130358,5,0.3666666666666666,15.0
155,0,updateGain_26215341,5,0.7027027027027027,28.0
311,0,swapItems_36634895,9,0.3076923076923077,46.0
311,0,getUserNameFromCookie_1694531,9,0.1509433962264151,26.0
311,0,addPKColumn_51577053,9,0.5454545454545454,15.0
311,0,getImageWithSource_1782360,9,0.34375,3.0
176,0,swapItems_36634895,4,0.5641025641025641,5.0
176,0,print_7957602,4,0.3272727272727272,25.0
176,0,add_4114383,4,0.4313725490196078,9.0
176,0,invalidateSession_18354735,4,0.4722222222222222,1.0
176,0,selectBracketingEntries_40936756,4,0.6216216216216216,8.0
176,0,updateSchema_4627680,4,0.4444444444444444,8.0
176,0,getBackCommand22_40865212,4,0.5454545454545454,4.0
176,0,testGetEmail_33718481,4,0.7619047619047619,8.0
176,0,getImageWithSource_1782360,4,0.375,4.0
176,0,equals_10222579,4,0.5161290322580645,17.0
176,0,setSecurityMode_38737384,4,0.3,11.0
310,0,handleHalt_19682824,10,0.0,0.0
310,0,messageSent_19413001,10,0.0,0.0
310,0,appendDeclarations_36405409,10,0.2727272727272727,35.0
143,0,clearFieldersFromField_45147874,5,0.3243243243243243,30.0
143,0,getImageWithSource_1782360,5,0.25,10.0
143,0,deleteCascade_34604973,5,0.4285714285714285,37.0
143,0,updateSchema_4627680,5,0.3333333333333333,28.0
147,1,go_14477536,4,0.5476190476190477,12.0
147,1,equals_10222579,4,0.2903225806451613,22.0
147,1,appendDeclarations_36405409,4,0.4545454545454545,25.0
147,1,testInvoke_39233866,4,0.6764705882352942,52.0
147,1,getImageWithSource_1782360,4,0.5625,30.0
147,1,exportXVRL_45047585,4,0.7222222222222222,42.0
147,1,populateNewList_34427273,4,0.8076923076923077,86.0
147,1,getClassNameForLookAndFeel_19218425,4,0.5,14.0
147,1,setGenJarDir_31789275,4,0.6363636363636364,14.0
147,1,add_4114383,4,0.4705882352941176,32.0
147,1,getNAGString_43137003,4,0.4655172413793103,26.0
147,1,BFSdist_44521080,4,0.4354838709677419,24.0
147,1,testNegativeParseCases_31696447,4,0.5,9.0
147,1,clearFieldersFromField_45147874,4,0.2432432432432432,17.0
147,1,messageSent_19413001,4,0.7333333333333333,52.0
147,1,updateGain_26215341,4,0.6216216216216216,48.0
147,1,updateSchema_4627680,4,0.4814814814814814,22.0
147,1,actionPerformed_12725774,4,0.5,43.0
147,1,addPKColumn_51577053,4,0.5454545454545454,16.0
147,1,testSetWelcomeMsg_33719869,4,0.6363636363636364,44.0
314,1,print_7957602,5,0.2,28.0
314,1,actionPerformed_12725774,5,0.6086956521739131,69.0
314,1,getClassNameForLookAndFeel_19218425,5,0.4166666666666667,36.0
314,1,BFSdist_44521080,5,0.2419354838709677,41.0
314,1,equals_10222579,5,0.6129032258064516,46.0
314,1,updateGain_26215341,5,0.3783783783783784,63.0
314,1,setGenJarDir_31789275,5,,
314,1,messageSent_19413001,5,0.3333333333333333,49.0
314,1,getJSplitPane_39233258,5,0.2424242424242424,19.0
314,1,getBackCommand2_29601536,5,0.4545454545454545,13.0
314,1,testInvoke_39233866,5,0.4705882352941176,39.0
314,1,removeService_38221424,5,0.3214285714285714,14.0
318,1,toString_39120328,7,0.3478260869565217,
318,1,exportXVRL_45047585,7,0.1666666666666666,
318,1,equals_10222579,7,0.2580645161290322,
318,1,testNegativeParseCases_31696447,7,0.0454545454545454,
318,1,BFSdist_44521080,7,0.0806451612903225,
318,1,testValidateSeparationCount_26285656,7,0.2142857142857142,
318,1,add_4114383,7,0.0196078431372549,
318,1,makeUniqueParagraphForGlobalWithLength_34105249,7,0.0476190476190476,
318,1,createChecklistItem_49866815,7,0.28125,
318,1,go_14477536,7,0.1428571428571428,
318,1,testInvoke_39233866,7,0.2058823529411764,
318,1,setGenJarDir_31789275,7,0.0303030303030303,
318,1,addPKColumn_51577053,7,0.1212121212121212,
318,1,actionPerformed_12725774,7,0.108695652173913,
318,1,updateGain_26215341,7,0.1891891891891892,
319,1,evaluate_45130358,11,0.3,15.0
319,1,visitRetStmt_13482891,11,0.375,50.0
319,1,actionPerformed_12725774,11,0.217391304347826,29.0
319,1,testNegativeParseCases_31696447,11,0.2272727272727272,10.0
319,1,goToRegistration_47570692,11,0.15,19.0
319,1,appendDeclarations_36405409,11,0.2272727272727272,10.0
319,1,createCacheFile_50995324,11,0.1923076923076923,19.0
319,1,getTargetServiceName_29318894,11,0.1842105263157894,24.0
136,1,appendDeclarations_36405409,5,0.3636363636363636,27.0
136,1,goToRegistration_47570692,5,0.475,69.0
136,1,setGenJarDir_31789275,5,0.5151515151515151,76.0
136,1,swapItems_36634895,5,0.3846153846153846,63.0
136,1,go_14477536,5,0.5476190476190477,22.0
136,1,messageSent_19413001,5,0.5333333333333333,43.0
136,1,actionPerformed_12725774,5,0.5434782608695652,20.0
136,1,deleteCascade_34604973,5,0.4,31.0
136,1,testValidateSeparationCount_26285656,5,0.5714285714285714,27.0
136,1,print_7957602,5,0.2909090909090909,26.0
136,1,getUserNameFromCookie_1694531,5,0.4716981132075472,33.0
136,1,updateGain_26215341,5,0.5945945945945946,52.0
312,1,add_4114383,8,,
312,1,test_10_bug2689872_19498280,8,,
312,1,testInvoke_39233866,8,0.4117647058823529,50.0
312,1,actionPerformed_12725774,8,0.217391304347826,43.0
313,1,testNegativeParseCases_31696447,14,,
313,1,compareTo_17121898,14,0.6222222222222222,52.0
313,1,getEffect_47571922,14,0.2368421052631578,21.0
313,1,appendDeclarations_36405409,14,0.5909090909090909,49.0
191,1,setSecurityMode_38737384,4,0.7666666666666667,69.0
191,1,setPhoto_50994916,4,0.6862745098039216,42.0
191,1,updateGain_26215341,4,,
191,1,getUserNameFromCookie_1694531,4,0.6981132075471698,40.0
191,1,appendDeclarations_36405409,4,0.7272727272727273,50.0
168,1,testGetEmail_33718481,4,0.6666666666666666,6.0
168,1,compareTo_17121898,4,0.2888888888888888,46.0
168,1,getImageWithSource_1782360,4,0.59375,29.0
168,1,updateSchema_4627680,4,0.2962962962962963,10.0
168,1,test_10_bug2689872_19498280,4,,72.0
168,1,appendDeclarations_36405409,4,0.6363636363636364,25.0
168,1,store_20787007,4,0.5714285714285714,75.0
168,1,getUserNameFromCookie_1694531,4,,
168,1,testNegativeParseCases_31696447,4,0.3636363636363636,15.0
168,1,equals_10222579,4,0.4838709677419355,57.0
168,1,testOneTwoThreeCreateCycle_19507735,4,0.3148148148148148,5.0
168,1,exportXVRL_45047585,4,0.6111111111111112,70.0
168,1,readFromFile_16777940,4,0.2142857142857142,39.0
168,1,setGenJarDir_31789275,4,0.4848484848484848,35.0
168,1,actionPerformed_12725774,4,0.3478260869565217,54.0
186,1,testNegativeParseCases_31696447,4,0.1818181818181818,40.0
186,1,appendDeclarations_36405409,4,0.5909090909090909,46.0
186,1,testValidateSeparationCount_26285656,4,0.1071428571428571,12.0
186,1,add_4114383,4,,
186,1,updateGain_26215341,4,0.1351351351351351,31.0
139,1,liesBetween_39299426,4,0.6595744680851063,18.0
139,1,setGenJarDir_31789275,4,0.6666666666666666,28.0
139,1,messageSent_19413001,4,0.4666666666666667,23.0
317,1,add_4114383,5,0.4705882352941176,52.0
317,1,equals_10222579,5,0.7741935483870968,40.0
317,1,store_20787007,5,0.6785714285714286,69.0
317,1,deleteCascade_34604973,5,0.6571428571428571,39.0
317,1,BFSdist_44521080,5,0.8064516129032258,54.0
317,1,setGenJarDir_31789275,5,0.8787878787878788,108.0
106,1,setPhoto_50994916,6,0.5294117647058824,48.0
106,1,searchRecipe_18421665,6,0.6097560975609756,37.0
106,1,BFSdist_44521080,6,0.0161290322580645,24.0
106,1,appendDeclarations_36405409,6,0.4545454545454545,17.0
106,1,updateSchema_4627680,6,,
106,1,testNegativeParseCases_31696447,6,0.5454545454545454,38.0
106,1,go_14477536,6,0.3333333333333333,18.0
106,1,getImageWithSource_1782360,6,0.4375,25.0
106,1,test_10_bug2689872_19498280,6,,67.0
133,1,setPhoto_50994916,5,0.7058823529411765,34.0
133,1,go_14477536,5,0.5952380952380952,6.0
133,1,testNegativeParseCases_31696447,5,0.4545454545454545,5.0
133,1,exportXVRL_45047585,5,0.5,32.0
133,1,messageSent_19413001,5,0.6666666666666666,9.0
133,1,BFSdist_44521080,5,0.4677419354838709,13.0
133,1,actionPerformed_12725774,5,0.5652173913043478,52.0
133,1,getBackCommand2_29601536,5,0.5,11.0
133,1,equals_10222579,5,0.5483870967741935,34.0
166,1,add_4114383,6,0.5882352941176471,34.0
166,1,equals_10222579,6,0.4193548387096774,33.0
166,1,getBackCommand2_29601536,6,0.5909090909090909,15.0
166,1,appendDeclarations_36405409,6,0.5,31.0
166,1,BFSdist_44521080,6,0.5967741935483871,31.0
166,1,showLatestPlan_18418213,6,0.2926829268292683,32.0
166,1,updateSchema_4627680,6,0.2592592592592592,8.0
166,1,setPhoto_50994916,6,0.4117647058823529,13.0
166,1,testNegativeParseCases_31696447,6,0.3636363636363636,11.0
166,1,compareTo_17121898,6,0.4222222222222222,8.0
166,1,testOneTwoThreeCreateCycle_19507735,6,0.4629629629629629,41.0
111,1,go_14477536,2,0.6190476190476191,10.0
111,1,actionPerformed_12725774,2,0.8043478260869565,22.0
111,1,setUpMrj_14467418,2,0.4285714285714285,25.0
111,1,updateGain_26215341,2,0.7837837837837838,11.0
111,1,BFSdist_44521080,2,0.3064516129032258,0.0
111,1,print_7957602,2,0.2545454545454545,7.0
111,1,appendDeclarations_36405409,2,0.5454545454545454,6.0
111,1,setGenJarDir_31789275,2,0.5151515151515151,2.0
111,1,testOneTwoThreeCreateCycle_19507735,2,0.4629629629629629,2.0
111,1,add_4114383,2,0.3137254901960784,5.0
111,1,testNegativeParseCases_31696447,2,0.1818181818181818,10.0
182,1,invalidateSession_18354735,3,0.3333333333333333,1.0
182,1,appendDeclarations_36405409,3,0.4090909090909091,10.0
182,1,setGenJarDir_31789275,3,0.3939393939393939,0.0
182,1,getUserNameFromCookie_1694531,3,0.3018867924528302,9.0
182,1,updateGain_26215341,3,0.3513513513513513,3.0
182,1,getImageWithSource_1782360,3,0.1875,1.0
182,1,BFSdist_44521080,3,0.4677419354838709,11.0
189,1,abstractMatrix3D_12723449,8,0.3888888888888889,32.0
189,1,go_14477536,8,0.5714285714285714,68.0
189,1,isInvalidEmailLink_49250848,8,,
189,1,testNegativeParseCases_31696447,8,0.4545454545454545,33.0
189,1,getNAGString_43137003,8,0.4655172413793103,52.0
189,1,actionPerformed_12725774,8,0.6739130434782609,88.0
129,1,BFSdist_44521080,1,0.5483870967741935,7.0
129,1,actionPerformed_12725774,1,0.4565217391304347,31.0
129,1,abstractMatrix3D_12723449,1,0.5740740740740741,13.0
117,1,swapItems_36634895,4,0.3846153846153846,8.0
117,1,messageSent_19413001,4,0.5333333333333333,26.0
117,1,setGenJarDir_31789275,4,0.5757575757575758,5.0
122,1,BFSdist_44521080,2,,
122,1,testNegativeParseCases_31696447,2,,
122,1,setGenJarDir_31789275,2,,
155,1,add_4114383,5,0.7254901960784313,37.0
155,1,testOneTwoThreeCreateCycle_19507735,5,,
311,1,testSetWelcomeMsg_33719869,9,0.8181818181818182,50.0
311,1,setGenJarDir_31789275,9,0.5151515151515151,24.0
311,1,addRotation_23014476,9,0.7714285714285715,26.0
311,1,clearFieldersFromField_45147874,9,0.2432432432432432,5.0
311,1,testSetExample_50891793,9,0.7391304347826086,29.0
311,1,liesBetween_39299426,9,0.5531914893617021,49.0
311,1,BFSdist_44521080,9,0.4354838709677419,10.0
311,1,appendDeclarations_36405409,9,0.2727272727272727,5.0
311,1,add_4114383,9,0.3529411764705882,56.0
311,1,updateGain_26215341,9,,
311,1,actionPerformed_12725774,9,0.3043478260869565,14.0
311,1,go_14477536,9,0.2142857142857142,26.0
176,1,searchRecipe_18421665,4,0.6341463414634146,10.0
176,1,setGenJarDir_31789275,4,0.696969696969697,10.0
176,1,store_20787007,4,0.6071428571428571,6.0
310,1,testMoveRFWithNullContainer_19507414,10,0.04,1.0
310,1,addPKColumn_51577053,10,0.0606060606060606,5.0
310,1,equals_10222579,10,0.4516129032258064,3.0
310,1,actionPerformed_12725774,10,0.1304347826086956,0.0
310,1,getImageWithSource_1782360,10,,
310,1,testNegativeParseCases_31696447,10,0.0,1.0
310,1,BFSdist_44521080,10,0.0,4.0
310,1,updateGain_26215341,10,0.027027027027027,4.0
143,1,testOneTwoThreeCreateCycle_19507735,5,0.5185185185185185,8.0
143,1,swapItems_36634895,5,,
143,1,getNAGString_43137003,5,0.4827586206896552,56.0
143,1,selectBracketingEntries_40936756,5,0.4594594594594595,14.0
143,1,getEffect_47571922,5,0.4210526315789473,70.0
143,1,equals_10222579,5,0.5161290322580645,65.0
