participant,method,ratings
312,addRotation_23014476,"[4.5, 1.5, 1.5, '4']"
312,updateSchema_4627680,"[4.5, 1.5, 1.5, 4]"
312,clearFieldersFromField_45147874,"[5, '2', 1.5, 5]"
312,go_14477536,"[4.5, 1.5, 1.5, 5]"
312,testSetWelcomeMsg_33719869,"['4', '2', 2, 4]"
312,liesBetween_39299426,"[4.5, '2', 1.5, 4.5]"
313,equals_10222579,"['4', 1.5, 3, '3']"
313,liesBetween_39299426,"[5, 1.5, 2, 4.5]"
313,swapItems_36634895,"[4.5, '2', '2', 4.5]"
313,listen_29572299,"[4.5, '2', '2', 4]"
313,BFSdist_44521080,"[4.5, 2, 2, 4.5]"
313,getImageWithSource_1782360,"[5, 1.5, '2', '4']"
313,updateGain_26215341,"[5, 1.5, 1.5, 4.5]"
313,store_20787007,"['4', 2, 1.5, 4]"
313,createChecklistItem_49866815,"[5, 1.5, 1.5, 4.5]"
313,actionPerformed_12725774,"['5', '2', 2, 4.5]"
313,addPKColumn_51577053,"[4, '2', 2, '4']"
191,getEffect_47571922,"['4', '2', '2', '2']"
191,go_14477536,"[4, 1.5, 4, 3]"
191,addRotation_23014476,"['4', 2, '2', '4']"
191,add_4114383,"[4, 1.5, '4', 3]"
191,swapItems_36634895,"[5, 1.5, 1.5, 4]"
191,readFromFile_16777940,"[4.5, 1.5, '2', '3']"
191,setGenJarDir_31789275,"[4.5, 2, '2', 4]"
191,addPKColumn_51577053,"[4.5, 2, 2, 4]"
191,BFSdist_44521080,"[4, 2, '2', 4]"
191,clearFieldersFromField_45147874,"[4.5, 2, '1', 4]"
191,getClassNameForLookAndFeel_19218425,"[4.5, 1.5, '2', '4']"
191,selectBracketingEntries_40936756,"[4.5, 1.5, '2', '5']"
191,testNegativeParseCases_31696447,"[4.5, '2', 1.5, '3']"
168,clearFieldersFromField_45147874,"[4, '2', 2, '4']"
168,BFSdist_44521080,"[4, 2, '2', '4']"
168,swapItems_36634895,"[4, '2', 2, 4]"
168,getMenuAdministracion_28631042,"[4, '2', 1.5, '5']"
168,add_4114383,"[5, 2, 1.5, '4']"
168,setPhoto_50994916,"[4, 2, 2, '4']"
186,getImageWithSource_1782360,"[4.5, '2', 1.5, 4]"
186,messageSent_19413001,"[4.5, 1.5, 1.5, 4.5]"
186,liesBetween_39299426,"[4, 1.5, '4', 2]"
186,setGenJarDir_31789275,"['4', '2', 2, '4']"
186,updateSchema_4627680,"[4, '2', 1.5, 4]"
186,evaluate_45130358,"[5, 2, '2', 4]"
186,actionPerformed_12725774,"[4, 1.5, '2', 4]"
186,addPKColumn_51577053,"[4.5, 1.5, 3, 4]"
186,go_14477536,"[4.5, 2, 1.5, 4]"
186,BFSdist_44521080,"[4.5, 1.5, 1.5, 4]"
186,setSecurityMode_38737384,"[4.5, 1.5, 1.5, 4.5]"
186,getRodinDBStatus_19505695,"[4.5, 1.5, 1.5, 4]"
139,getMenuAdministracion_28631042,"['5', '2', '2', '4']"
139,actionPerformed_12725774,"[4.5, 2, 1.5, 4]"
139,getBackCommand22_40865212,"[4.5, 1.5, 1.5, 4.5]"
139,go_14477536,"['4', 2, '2', 4]"
139,BFSdist_44521080,"[4.5, 2, 2, '2']"
139,store_20787007,"[4, '2', 2, 4]"
139,updateGain_26215341,"[4.5, '2', 2, 4.5]"
139,getImageWithSource_1782360,"[4, 2, '2', 4]"
139,addPKColumn_51577053,"[5, 2, 1.5, 4]"
139,getUserNameFromCookie_1694531,"[4.5, 2, '2', 4]"
139,createCacheFile_50995324,"[24.5, 2, 2, 4]"
139,setUpMrj_14467418,"[4.5, 1.5, 2, 4.5]"
316,appendDeclarations_36405409,"[4.5, 2, 1.5, 4.5]"
316,getImageWithSource_1782360,"[5, 1.5, 1.5, 4.5]"
316,testMoveRFWithNullContainer_19507414,"[4.5, 2, 1.5, 5]"
316,searchRecipe_18421665,"[4, '2', 1.5, 4]"
316,swapItems_36634895,"[5, 1.5, 1.5, 4.5]"
316,setGenJarDir_31789275,"[4.5, 2, '2', 5]"
316,liesBetween_39299426,"[5, 1.5, 1.5, 5]"
316,BFSdist_44521080,"[4.5, 2, 1.5, 4.5]"
317,clearFieldersFromField_45147874,"[4.5, 1.5, 2, 4.5]"
317,swapItems_36634895,"[4, '2', 2, '3']"
317,actionPerformed_12725774,"[5, 2, 2, 4]"
317,updateSchema_4627680,"['4', 2, 2, '4']"
317,go_14477536,"[4.5, 1.5, 2, 4.5]"
317,addPKColumn_51577053,"[4.5, 1.5, 1.5, 4.5]"
317,testCookieGreaterThan_39840471,"[4.5, 1.5, 1.5, 4]"
317,setSecurityMode_38737384,"[4.5, '2', 1.5, 4.5]"
106,messageSent_19413001,"[5, 1, '2', 4.5]"
106,clearFieldersFromField_45147874,"[4.5, '2', 1.5, 5]"
106,getClassNameForLookAndFeel_19218425,"[4.5, '2', 2, '2']"
133,setGenJarDir_31789275,"[4, 1.5, 4.5, '2']"
133,setPhoto_50994916,"[4, 1, 4.5, '1']"
133,add_4114383,"[4, 1, 4.5, 3]"
133,clearFieldersFromField_45147874,"[5, 1, '4', 4]"
133,updateSchema_4627680,"[5, 1.5, '2', 4]"
133,testInvoke_39233866,"[4.5, 1.5, '4', 4]"
133,getImageWithSource_1782360,"['2', 1, '3', 4]"
133,getUserNameFromCookie_1694531,"[5, 1, 1.5, 4.5]"
133,compareTo_17121898,"['4', '2', '2', '3']"
133,updateGain_26215341,"['5', 1.5, '2', '4']"
133,selectBracketingEntries_40936756,"['4', '2', '2', 4.5]"
133,saveSetting_46026508,"[5, 2, 1, 279.5]"
133,addPKColumn_51577053,"[4.5, 1.5, '3', 4.5]"
133,swapItems_36634895,"['4', '2', 1.5, 4.5]"
166,getImageWithSource_1782360,"[4.5, 2, '2', '3']"
166,messageSent_19413001,"[4, 1, '3', 4]"
166,addPKColumn_51577053,"[4.5, 2, '2', '4']"
166,play_41287529,"[4, 1.5, 4, '3']"
182,addPKColumn_51577053,"[4.5, 1.5, '3', 4.5]"
182,abstractMatrix3D_12723449,"[4.5, 1.5, 4.5, 4]"
182,updateSchema_4627680,"[4.5, '2', '2', 4.5]"
182,getRodinDBStatus_19505695,"['4', '2', '2', 4]"
182,clearFieldersFromField_45147874,"[4.5, '2', 1, 4.5]"
182,go_14477536,"[4.5, '2', '2', '4']"
182,populateNewList_34427273,"['4', '2', '2', '3']"
182,messageSent_19413001,"['4', '2', '2', '4']"
182,testNegativeParseCases_31696447,"[4.5, '1', 2, 4]"
182,equals_10222579,"[4.5, 1.5, '2', 4]"
189,BFSdist_44521080,"[4, '2', '2', 4.5]"
189,createChecklistItem_49866815,"[5, '2', 2, 4.5]"
189,handleHalt_19682824,"['4', '2', 1.5, '5']"
189,readFromFile_16777940,"[4, 2, 1.5, 4]"
189,swapItems_36634895,"[4.5, '2', 1, 4.5]"
129,go_14477536,"[4, 2, '2', 4.5]"
129,clearFieldersFromField_45147874,"[4.5, '2', 1, 4]"
129,addPKColumn_51577053,"[5, 2, '2', 4.5]"
129,updateSchema_4627680,"[4, '2', '2', 4]"
129,searchRecipe_18421665,"[4.5, 1.5, '2', 4.5]"
129,swapItems_36634895,"[4, '2', 1.5, '4']"
117,getRemoteObject_50026101,"[4, 2, 2, '4']"
117,updateSchema_4627680,"[4.5, '2', 2, '4']"
117,getRodinDBStatus_19505695,"[4, '2', 2, 4]"
117,populateNewList_34427273,"[4, '2', '2', 4.5]"
117,onAttach_1810081,"[4.5, 1.5, 1.5, 4]"
117,getImageWithSource_1782360,"['4', '2', '2', 4]"
117,go_14477536,"[4.5, 2, 2, 4]"
117,setPhoto_50994916,"[4, 1, 2, 4.5]"
117,actionPerformed_12725774,"[4.5, 1.5, 1, 4.5]"
122,getMenuAdministracion_28631042,"[4, '2', '2', '4']"
122,clearFieldersFromField_45147874,"[4.5, 1.5, '2', 4.5]"
122,equals_10222579,"['4', '2', '2', '4']"
122,setPhoto_50994916,"[5, '2', 2, 4.5]"
122,getImageWithSource_1782360,"[4.5, 1.5, 1, 5]"
122,listen_29572299,"[4, '2', 1.5, '4']"
122,messageSent_19413001,"[4, '2', 1, 4]"
122,swapItems_36634895,"[5, '2', 1, 4.5]"
122,addPKColumn_51577053,"[4, '2', 2, 4]"
122,go_14477536,"['4', '2', '2', 4]"
122,getApplicableLaw_39298970,"[4.5, 1.5, '3', 4.5]"
122,testOneTwoThreeCreateCycle_19507735,"['4', '2', 2, '5']"
122,add_4114383,"[4.5, 2, 2, 4.5]"
122,makeUniqueParagraphForGlobalWithLength_34105249,"['5', '2', 2, '4']"
155,getImageWithSource_1782360,"[5, 1.5, 1.5, 4]"
155,getUserNameFromCookie_1694531,"[5, 1.5, 2, 4]"
155,addRotation_23014476,"[5, '2', 2, 4]"
155,swapItems_36634895,"[4.5, '2', 1, 4]"
155,actionPerformed_12725774,"[4.5, 2, 1, 4.5]"
155,BFSdist_44521080,"[4.5, 1.5, '2', '3']"
155,appendDeclarations_36405409,"[4, 2, 1.5, 4.5]"
155,evaluate_45130358,"[4.5, '2', 1.5, 4]"
311,swapItems_36634895,"[4, '2', '2', '4']"
311,readFromFile_16777940,"[4, '2', '2', 3]"
311,getUserNameFromCookie_1694531,"[4, 2, '2', '4']"
311,addPKColumn_51577053,"[4, '2', 2, '4']"
311,getImageWithSource_1782360,"[4, '2', 1.5, '4']"
176,swapItems_36634895,"[4, '2', 1.5, 4]"
176,add_4114383,"[5, '2', 1.5, 4.5]"
176,invalidateSession_18354735,"[4.5, 1.5, 1.5, 4.5]"
176,testGetEmail_33718481,"['5', '2', '2', '4']"
176,getImageWithSource_1782360,"[4.5, '2', 2, 4.5]"
176,setSecurityMode_38737384,"[4, '2', 2, 4]"
310,handleHalt_19682824,"['4', '2', 2, '4']"
310,messageSent_19413001,"['4', '2', 2, '4']"
310,appendDeclarations_36405409,"['5', '2', 2, 3]"
143,clearFieldersFromField_45147874,"[4, 1.5, 1.5, 4.5]"
143,getImageWithSource_1782360,"['4', '2', 2, 4]"
143,deleteCascade_34604973,"[4.5, 1.5, 2, 4]"
143,updateSchema_4627680,"['4', '2', 2, '4']"
