participant,method,ratings
319,getTargetServiceName_29318894,"['2', '4', '2', '4']"
136,appendDeclarations_36405409,"[3, 4, 2, '2']"
136,setPhoto_50994916,"[4, '4', 2, 4]"
136,goToRegistration_47570692,"['2', 4, 2, '4']"
136,getJSplitPane_39233258,"['4', 4, 1.5, 4]"
136,testNegativeParseCases_31696447,"[4, 3, 1.5, 4]"
136,updateSchema_4627680,"[4.5, '3', 2, 4]"
136,setGenJarDir_31789275,"[3, 4, '4', 3]"
136,addPKColumn_51577053,"[4, '4', 2, 4]"
136,equals_10222579,"['3', 4, 2, '4']"
136,swapItems_36634895,"[4, '4', 2, '2']"
136,invalidateSession_18354735,"['4', 4, 1.5, '4']"
136,actionPerformed_12725774,"['2', 4, '3', '4']"
136,BFSdist_44521080,"[4, '4', 2, '4']"
136,testValidateSeparationCount_26285656,"['3', 4, 4.5, 3]"
136,getImageWithSource_1782360,"[4, '4', 2, 4]"
136,testSetExample_50891793,"['4', '4', 2, 4]"
136,getBackCommand2_40865212,"['4', '3', 2, 4]"
312,add_4114383,"[2, '4', 2, 4]"
312,getJSplitPane_39233258,"[4.5, '4', 1.5, 4]"
312,swapItems_36634895,"['4', '2', 3, 4.5]"
312,testNegativeParseCases_31696447,"['4', '3', 2, 4]"
312,getUserNameFromCookie_1694531,"['4', '4', 2, 4]"
312,print_7957602,"['3', '4', 2, 4.5]"
312,getImageWithSource_1782360,"[4.5, '3', 1.5, 4]"
312,messageSent_19413001,"[3, 4, 2, 4]"
312,testInvoke_39233866,"[3, '4', '3', 4]"
312,testOneTwoThreeCreateCycle_19507735,"[4, '4', 1.5, 4]"
312,testSetExample_50891793,"[4.5, '3', 1.5, 4]"
312,getClassNameForLookAndFeel_19218425,"[4, '3', 1.5, 4]"
312,updateGain_26215341,"[4, 3, 2, 4]"
312,setGenJarDir_31789275,"[4, 3, 2, 4]"
312,setUpMrj_14467418,"[4.5, '3', '2', 4.5]"
312,actionPerformed_12725774,"['2', '4', '2', 4]"
313,getRemoteObject_50026101,"[4.5, 3, '2', '3']"
313,getUserNameFromCookie_1694531,"['4', '4', 2, 4]"
313,getMenuAdministracion_28631042,"[4, '3', 2, 4]"
313,go_14477536,"[4.5, '3', 2, 4]"
313,removeService_38221424,"[4, '3', 2, 4]"
313,clearFieldersFromField_45147874,"[4, '4', 2, 4.5]"
313,updateSchema_4627680,"[4, 3, 1.5, 4]"
313,messageSent_19413001,"[4.5, '3', 1.5, 4.5]"
313,getBackCommand2_29601536,"['3', '4', 2, 4]"
313,compareTo_17121898,"['4', '2', 4.5, '2']"
313,appendDeclarations_36405409,"['2', 4.5, '2', 4]"
313,setGenJarDir_31789275,"['3', '4', '2', 4]"
191,setSecurityMode_38737384,"['3', 2, 4.5, 3]"
191,getImageWithSource_1782360,"[4, 2, '3', 4]"
191,testInvoke_39233866,"[4, 2, '3', '2']"
191,visitRetStmt_13482891,"[4, 2, 3, 3]"
191,messageSent_19413001,"[4, 2, '4', 3]"
191,updateSchema_4627680,"['4', '4', 2, '3']"
191,getUserNameFromCookie_1694531,"[4, 2, '4', '1']"
191,equals_10222579,"[4, '3', '2', '4']"
191,actionPerformed_12725774,"[4, 2, 4, 3]"
191,appendDeclarations_36405409,"['4', 2, 4.5, '2']"
168,compareTo_17121898,"['3', 4, 2, 3]"
168,getImageWithSource_1782360,"['2', 4, 2, '4']"
168,test_10_bug2689872_19498280,"['3', '4', 2, '3']"
168,store_20787007,"['3', 4, 2, '3']"
168,testNegativeParseCases_31696447,"['2', 4, '3', '4']"
168,testSetWelcomeMsg_33719869,"['3', 4, '2', '4']"
168,go_14477536,"[4, '3', '2', 4]"
168,testOneTwoThreeCreateCycle_19507735,"[3, 4, 2, 3]"
168,exportXVRL_45047585,"['3', 4, '2', 3]"
168,readFromFile_16777940,"['2', 4, 2, '4']"
168,updateGain_26215341,"['3', 4, 2, '4']"
168,addPKColumn_51577053,"['3', 3, 2, 3]"
168,actionPerformed_12725774,"[2, 4, 2, '4']"
186,clearFieldersFromField_45147874,"[4.5, '4', 1.5, 4]"
186,searchRecipe_18421665,"['4', '3', '4', 4]"
186,testNegativeParseCases_31696447,"[3, 4, 2, '2']"
186,appendDeclarations_36405409,"['3', 4.5, '3', 4]"
186,testValidateSeparationCount_26285656,"[4, '2', 4, '2']"
186,compareTo_17121898,"['4', '4', 2, 4]"
186,saveSetting_46026508,"[4, '3', 2, 4]"
186,equals_10222579,"[4, '4', 1.5, 4]"
186,swapItems_36634895,"[4, '2', '3', '4']"
186,updateGain_26215341,"['2', '4', 2, 4]"
186,getUserNameFromCookie_1694531,"['4', '4', '2', 4]"
186,abstractMatrix3D_12723449,"['4', 4, 2, 4]"
139,equals_10222579,"['4', 3, '2', '4']"
139,liesBetween_39299426,"['4', 4, 2, '2']"
139,appendDeclarations_36405409,"[4.5, 2, 3, '3']"
139,invalidateSession_18354735,"['4', 4, '2', '3']"
139,swapItems_36634895,"['4', 2, '3', '4']"
139,clearFieldersFromField_45147874,"['2', '2', '3', 4.5]"
139,testNegativeParseCases_31696447,"['5', '3', 2, '4']"
139,getRemoteObject_50026101,"[4, 2, 4, 3]"
139,testOneTwoThreeCreateCycle_19507735,"[4, 3, 2, 4]"
139,setGenJarDir_31789275,"['2', '4', '3', '4']"
139,add_4114383,"[4.5, '3', 2, 4]"
139,messageSent_19413001,"['2', '4', '3', '4']"
139,searchRecipe_18421665,"[4, '2', '3', 4.5]"
316,updateGain_26215341,"[4.5, 3, 1.5, 4.5]"
316,setUpMrj_14467418,"['4', '4', 1, 4]"
316,addPKColumn_51577053,"[4.5, '3', 1.5, 4.5]"
316,getRemoteObject_50026101,"[4.5, 3, 1.5, 4]"
316,setSecurityMode_38737384,"[4.5, 3, 1.5, 4]"
316,actionPerformed_12725774,"['3', 4.5, '2', 4]"
316,saveSetting_46026508,"['4', '3', 2, 4]"
316,testNegativeParseCases_31696447,"['3', 4, 2, 4]"
316,clearFieldersFromField_45147874,"[5, '4', 1.5, 4.5]"
316,add_4114383,"['4', '4', 2, 4.5]"
316,updateSchema_4627680,"[4.5, '4', 1.5, 4]"
316,showLatestPlan_18418213,"[4, 3, 1.5, 4.5]"
316,createCacheFile_50995324,"[4.5, '3', 2, 4.5]"
316,go_14477536,"['3', 4, 1.5, 4]"
316,messageSent_19413001,"['3', 4, 1.5, 4]"
316,equals_10222579,"['3', 4, 1.5, '4']"
316,getUserNameFromCookie_1694531,"[4, '4', 1.5, 4]"
317,add_4114383,"['3', 4, 2, '3']"
317,testNegativeParseCases_31696447,"['4', 4, 2, '4']"
317,testInvoke_39233866,"[4, 3, 2, '2']"
317,appendDeclarations_36405409,"[4.5, 3, 2, 4]"
317,getImageWithSource_1782360,"[2, '3', '2', '4']"
317,equals_10222579,"['2', '4', 2, '4']"
317,testOneTwoThreeCreateCycle_19507735,"[4, 4, 2, '4']"
317,messageSent_19413001,"[4, 3, 2, '4']"
317,getClassNameForLookAndFeel_19218425,"[4.5, '4', 2, '4']"
317,testGetEmail_33718481,"['4', '2', '3', '3']"
317,store_20787007,"['3', '4', 2, 3]"
317,getUserNameFromCookie_1694531,"['4', '4', 1.5, '4']"
317,makeUniqueParagraphForGlobalWithLength_34105249,"[4.5, '4', 2, '4']"
317,BFSdist_44521080,"['2', '4', '3', '4']"
317,setGenJarDir_31789275,"['2', '4', 2, '4']"
317,updateGain_26215341,"['3', '4', 2, 4.5]"
106,testGetEmail_33718481,"[4, '4', 1.5, 4.5]"
106,searchRecipe_18421665,"['2', 4, '3', 4.5]"
106,swapItems_36634895,"[4, '3', '3', 4]"
106,compareTo_17121898,"[5, 2, '4', '2']"
106,add_4114383,"['3', 4, 2, 4.5]"
106,setGenJarDir_31789275,"['4', 4.5, 2, '3']"
106,testSetExample_50891793,"['3', 4, '2', '4']"
106,goToRegistration_47570692,"['4', 4, 2, '4']"
106,testNegativeParseCases_31696447,"['2', '4', 2, 4]"
106,selectBracketingEntries_40936756,"[4, '3', 2, 3]"
106,updateGain_26215341,"[4.5, '3', 2, 4]"
106,equals_10222579,"['4', '4', 2, '4']"
106,store_20787007,"['4', 4, 2, '4']"
106,go_14477536,"['2', 4, 2, 4]"
106,getUserNameFromCookie_1694531,"['4', 4, 2, '4']"
106,addPKColumn_51577053,"[4, '3', 1.5, '5']"
106,getImageWithSource_1782360,"['2', 4, 2, '4']"
106,test_10_bug2689872_19498280,"['2', 5, '2', '4']"
133,go_14477536,"['4', 2, 4.5, '2']"
133,testNegativeParseCases_31696447,"['4', '4', '4', '3']"
133,messageSent_19413001,"['3', 4, 4.5, '3']"
133,actionPerformed_12725774,"['2', 4, '3', '4']"
133,removeService_38221424,"[4.5, '3', 1.5, 4.5]"
133,getBackCommand2_29601536,"['3', '4', 3, '3']"
133,appendDeclarations_36405409,"['3', 4, '2', '4']"
133,visitRetStmt_13482891,"['4', 4, '2', 3]"
166,testCookieGreaterThan_39840471,"['4', '2', '3', '4']"
166,clearFieldersFromField_45147874,"['4', '2', 4, '3']"
166,updateGain_26215341,"[4, '4', '2', '4']"
166,equals_10222579,"['3', '4', 4, '2']"
166,appendDeclarations_36405409,"['2', 4, '2', '4']"
166,BFSdist_44521080,"['3', 4, 4, 2]"
166,handleHalt_19682824,"[4.5, 2, '4', 3]"
166,testSetWelcomeMsg_33719869,"['2', 2, '3', 4]"
166,go_14477536,"['4', '2', '3', 2]"
166,showLatestPlan_18418213,"['4', '3', '4', '3']"
166,actionPerformed_12725774,"[4, 2, '4', '3']"
166,getBackCommand2_40865212,"['3', 4, 1.5, '4']"
166,updateSchema_4627680,"[4, '2', '5', '3']"
166,setPhoto_50994916,"['4', 1.5, 5, '2']"
166,testNegativeParseCases_31696447,"['2', '4', '3', '4']"
166,setGenJarDir_31789275,"[4, 2, 4, 3]"
166,swapItems_36634895,"[4.5, 2, 4, '4']"
166,compareTo_17121898,"['4', 4, 4.5, '3']"
166,testOneTwoThreeCreateCycle_19507735,"['3', 4, '2', '3']"
111,goToRegistration_47570692,"[4, 4, 1.5, '4']"
111,testInvoke_39233866,"['3', 4.5, 1.5, '4']"
111,equals_10222579,"[4, '4', 1.5, '3']"
111,messageSent_19413001,"['3', 4, 1.5, '3']"
111,swapItems_36634895,"[4, '2', '3', '3']"
111,deleteCascade_34604973,"['3', 4, 1.5, '3']"
111,getUserNameFromCookie_1694531,"['4', 4, 2, '3']"
111,showLatestPlan_18418213,"[4, '4', 2, 4.5]"
111,populateNewList_34427273,"[4, '3', 1.5, '4']"
111,addRotation_23014476,"[4, '4', 1.5, '4']"
111,BFSdist_44521080,"[3, 4.5, 2, 3]"
111,print_7957602,"[3, 4.5, 2, '3']"
111,setGenJarDir_31789275,"[3, 4.5, 2, 2]"
111,isInvalidEmailLink_49250848,"['4', '4', 1.5, 4.5]"
111,updateSchema_4627680,"[4, '4', 1.5, 3]"
111,clearFieldersFromField_45147874,"[4, '4', 1, '3']"
111,testNegativeParseCases_31696447,"[3, 4, 2, 3]"
111,addPKColumn_51577053,"[4, '4', 1.5, 3]"
182,createCacheFile_50995324,"[4, 2, '3', 4]"
182,selectBracketingEntries_40936756,"['4', '4', '2', '3']"
182,addRotation_23014476,"[4, 2, '3', 4]"
182,invalidateSession_18354735,"[4, 2, 5, '2']"
182,appendDeclarations_36405409,"['4', 2, 5, '2']"
182,setGenJarDir_31789275,"['4', '2', 5, '2']"
182,setPhoto_50994916,"[4, 1.5, 5, 4]"
182,getUserNameFromCookie_1694531,"['3', '4', 4.5, 4.5]"
182,BFSdist_44521080,"[3, 4, 4, '2']"
182,actionPerformed_12725774,"[4, '4', '2', '3']"
182,add_4114383,"['4', '2', '3', '3']"
182,goToRegistration_47570692,"['2', '3', '2', 4]"
182,swapItems_36634895,"['4', '4', 1.5, 4.5]"
189,setGenJarDir_31789275,"['4', '4', 2, '3']"
189,messageSent_19413001,"[4, '4', 1.5, '3']"
189,saveSetting_46026508,"[4, '3', 2, 4]"
189,add_4114383,"['4', 4, 1.5, '4']"
189,updateGain_26215341,"['4', 4, 1.5, '4']"
189,abstractMatrix3D_12723449,"['2', 4, 2, '4']"
189,clearFieldersFromField_45147874,"[4, '4', 2, '4']"
189,addRotation_23014476,"[4, '3', 1.5, 4.5]"
189,getUserNameFromCookie_1694531,"['4', 4, 1.5, '4']"
189,addPKColumn_51577053,"['3', 4, 1.5, 3]"
189,updateSchema_4627680,"[4, '4', 1, 3]"
189,equals_10222579,"[4, '4', 1, '3']"
189,getImageWithSource_1782360,"[4, '4', 1.5, '3']"
189,testNegativeParseCases_31696447,"[3, 4, 2, '2']"
189,getJSplitPane_39233258,"[4, '4', '2', 4.5]"
189,testCookieGreaterThan_39840471,"['3', 4.5, 1.5, 3]"
129,exportXVRL_45047585,"[4, '4', 1.5, 4.5]"
129,getEffect_47571922,"[4.5, '3', 1.5, 4.5]"
129,testNegativeParseCases_31696447,"[4, '3', 1.5, 4.5]"
129,add_4114383,"['4', 4.5, 1.5, 4]"
129,createChecklistItem_49866815,"[4, '2', '3', 4]"
129,equals_10222579,"[4, '4', 1, 4]"
129,getTargetServiceName_29318894,"[3, 4, 2, 4]"
129,getImageWithSource_1782360,"[4.5, '3', 1, 4.5]"
129,getMenuAdministracion_28631042,"['4', 4, 2, 4]"
129,updateGain_26215341,"[4, 3, '2', '2']"
129,actionPerformed_12725774,"['2', 4.5, 2, 4.5]"
129,setGenJarDir_31789275,"['4', 4, 1.5, 4]"
129,messageSent_19413001,"[4, '3', 2, '4']"
129,abstractMatrix3D_12723449,"[4, '2', 4, '2']"
129,getBackCommand22_40865212,"['4', 4, 1, '4']"
129,getUserNameFromCookie_1694531,"['4', 4.5, 1, '4']"
129,testMoveRFWithNullContainer_19507414,"['5', '2', 3, '4']"
129,setPhoto_50994916,"[4, '4', 1.5, 4.5]"
117,swapItems_36634895,"['2', '4', '2', '4']"
117,evaluate_45130358,"[4, '3', '3', 4]"
117,print_7957602,"[4, 3, 2, 4]"
117,testOneTwoThreeCreateCycle_19507735,"['4', '3', 2, '4']"
117,equals_10222579,"[4, '4', '3', 4]"
117,add_4114383,"['3', '4', 2, 4]"
117,getEffect_47571922,"['4', '3', 1.5, 4.5]"
117,appendDeclarations_36405409,"[4.5, '4', 1.5, 4]"
117,messageSent_19413001,"['3', '4', '4', '4']"
117,addPKColumn_51577053,"['3', 4, 2, '4']"
117,testNegativeParseCases_31696447,"[3, '4', 2, 4]"
117,createChecklistItem_49866815,"[4, '3', 1.5, 4.5]"
117,BFSdist_44521080,"['2', '4', 1.5, 5]"
117,updateGain_26215341,"[4.5, '3', 1.5, 4]"
117,clearFieldersFromField_45147874,"[4.5, '3', '3', 4.5]"
122,BFSdist_44521080,"['3', '4', '3', 4.5]"
122,appendDeclarations_36405409,"[4.5, '4', '3', 4]"
122,actionPerformed_12725774,"[4, '4', 1.5, 5]"
122,addRotation_23014476,"['4', '3', '2', '3']"
122,updateSchema_4627680,"[4, '3', 1.5, 4]"
122,updateGain_26215341,"['4', '4', '2', 4]"
122,testInvoke_39233866,"['4', '2', '3', '3']"
122,testGetEmail_33718481,"[4, '3', 1.5, 4.5]"
122,testNegativeParseCases_31696447,"['3', 4, 3, '4']"
122,setGenJarDir_31789275,"['3', 4, 2, '3']"
122,getBackCommand2_29601536,"[4, 4, 1, 4]"
155,clearFieldersFromField_45147874,"[4.5, '3', '2', 4]"
155,testSetWelcomeMsg_33719869,"['4', '2', '3', '3']"
155,add_4114383,"[4.5, 1, '5', '1']"
155,equals_10222579,"[4, '4', 1.5, 4.5]"
155,saveToFile_47571713,"[4, 4, 1, 4]"
155,play_41287529,"['4', 4, 1.5, 4.5]"
155,go_14477536,"[4.5, '4', 1.5, 4]"
155,onAttach_1810081,"[4, '4', 1, 4]"
155,updateSchema_4627680,"[4.5, '4', 1, 4]"
155,liesBetween_39299426,"['3', '4', 1.5, 4]"
155,removeService_38221424,"[4.5, '3', 1, 4.5]"
155,addPKColumn_51577053,"[4.5, '4', 1, 4]"
155,testNegativeParseCases_31696447,"[4, '4', 1.5, 4]"
155,testInvoke_39233866,"['4', '4', 2, 4.5]"
155,setGenJarDir_31789275,"[3, 4, 1.5, 4]"
155,updateGain_26215341,"[4.5, '3', 1.5, 4]"
311,test_10_bug2689872_19498280,"['4', 4, 2, '3']"
311,testSetWelcomeMsg_33719869,"['3', '4', '4', '2']"
311,setGenJarDir_31789275,"[4, '3', 4, 3]"
311,addRotation_23014476,"['4', 1.5, 5, '1']"
311,testSetExample_50891793,"['4', 2, 5, 3]"
311,liesBetween_39299426,"['4', 1.5, 5, '1']"
311,BFSdist_44521080,"['2', 4, '3', '4']"
311,add_4114383,"['4', 4, '3', 3]"
311,messageSent_19413001,"[3, '3', 2, '4']"
311,go_14477536,"['2', 4.5, '2', '4']"
311,testInvoke_39233866,"['4', 4.5, '2', 3]"
311,testNegativeParseCases_31696447,"['4', 4, 2, '4']"
311,toString_39120328,"['4', '2', '3', '4']"
311,getRodinDBStatus_19505695,"['4', '4', 2, '4']"
311,saveSetting_46026508,"[4, '3', 2, '4']"
311,equals_10222579,"['4', 4.5, 2, '4']"
176,messageSent_19413001,"['3', 4, '2', '4']"
176,searchRecipe_18421665,"[3, '4', 4, '3']"
176,print_7957602,"[4, 3, 1.5, 4.5]"
176,appendDeclarations_36405409,"[4.5, '4', 1.5, 4]"
176,selectBracketingEntries_40936756,"[5, '3', 1.5, 4.5]"
176,updateSchema_4627680,"[4.5, '3', 1.5, 4.5]"
176,getBackCommand22_40865212,"['4', '4', 1.5, '5']"
176,addPKColumn_51577053,"['4', 4.5, 1.5, '4']"
176,testNegativeParseCases_31696447,"['2', 4, 1, '4']"
176,setGenJarDir_31789275,"[2, 4.5, 3, 4]"
176,actionPerformed_12725774,"['3', 4, '2', 4]"
176,go_14477536,"['4', 4, '2', '5']"
176,equals_10222579,"[4, '3', 1.5, 4]"
176,populateNewList_34427273,"[4.5, '4', 1.5, 4.5]"
176,BFSdist_44521080,"[4, '4', 1.5, 4]"
176,getRemoteObject_50026101,"['4', 4, 2, 3]"
176,clearFieldersFromField_45147874,"['3', 4, 2, 4]"
176,store_20787007,"['3', '5', 2, '3']"
176,getUserNameFromCookie_1694531,"['2', '4', 1.5, 4.5]"
310,abstractMatrix3D_12723449,"[4, '4', 2, '4']"
310,go_14477536,"['3', 4, 1.5, '3']"
310,testMoveRFWithNullContainer_19507414,"['3', 4, 1.5, 2]"
310,updateSchema_4627680,"['4', 4, 1.5, '4']"
310,add_4114383,"['4', 4, '2', 3]"
310,getBackCommand2_29601536,"[4, '4', 1.5, '4']"
310,getUserNameFromCookie_1694531,"['4', 4, 1, '4']"
310,setGenJarDir_31789275,"['3', 4, 1.5, '3']"
310,exportXVRL_45047585,"['4', 4, 2, '3']"
310,populateNewList_34427273,"[4, '5', 1.5, '4']"
310,removeService_38221424,"[4, '5', 1, 4]"
310,testNegativeParseCases_31696447,"[3, 4, 2, 3]"
310,clearFieldersFromField_45147874,"[4, '4', 2, 4]"
310,addRotation_23014476,"['3', '4', 2, '4']"
310,swapItems_36634895,"['4', 4, 1.5, 3]"
310,BFSdist_44521080,"['2', '4', 2, 4]"
310,updateGain_26215341,"[3, 4.5, 2, 3]"
143,searchRecipe_18421665,"['4', '2', '4', '4']"
143,setUpMrj_14467418,"['4', 4, 1.5, '3']"
143,BFSdist_44521080,"[4, '4', 2, 5]"
143,testNegativeParseCases_31696447,"['4', '4', 2, 4]"
143,testOneTwoThreeCreateCycle_19507735,"['3', 4, 2, '3']"
143,updateGain_26215341,"[4.5, '3', '3', '3']"
143,actionPerformed_12725774,"['2', 4.5, 1.5, '4']"
143,go_14477536,"['4', '4', 1.5, 4]"
143,messageSent_19413001,"[4, '4', 1.5, '4']"
143,addPKColumn_51577053,"['4', 4, 1.5, 4]"
143,appendDeclarations_36405409,"['3', 4, 1.5, 4]"
143,selectBracketingEntries_40936756,"[3, '2', 4.5, 3]"
143,toString_39120328,"['3', 4, 2, '4']"
143,setGenJarDir_31789275,"['4', 4, 1.5, '3']"
143,showLatestPlan_18418213,"['3', '4', '2', '4']"
143,add_4114383,"['4', 4, 2, '4']"
143,equals_10222579,"['2', '4', '2', '4']"
143,getUserNameFromCookie_1694531,"['4', 4, 2, '4']"
