Participant,Quality,Method
136,1,appendDeclarations_36405409
136,1,goToRegistration_47570692
136,1,setGenJarDir_31789275
136,1,swapItems_36634895
136,1,go_14477536
136,1,messageSent_19413001
136,1,actionPerformed_12725774
136,1,deleteCascade_34604973
136,1,testValidateSeparationCount_26285656
136,1,getUserNameFromCookie_1694531
136,1,updateGain_26215341
312,1,testInvoke_39233866
312,1,actionPerformed_12725774
313,1,compareTo_17121898
313,1,getEffect_47571922
313,1,appendDeclarations_36405409
191,1,setSecurityMode_38737384
191,1,setPhoto_50994916
191,1,getUserNameFromCookie_1694531
191,1,appendDeclarations_36405409
168,1,testGetEmail_33718481
168,1,compareTo_17121898
168,1,getImageWithSource_1782360
168,1,updateSchema_4627680
168,1,test_10_bug2689872_19498280
168,1,store_20787007
168,1,testNegativeParseCases_31696447
168,1,equals_10222579
168,1,testOneTwoThreeCreateCycle_19507735
168,1,exportXVRL_45047585
168,1,readFromFile_16777940
168,1,setGenJarDir_31789275
168,1,actionPerformed_12725774
186,1,testNegativeParseCases_31696447
186,1,appendDeclarations_36405409
186,1,testValidateSeparationCount_26285656
186,1,updateGain_26215341
139,1,liesBetween_39299426
139,1,setGenJarDir_31789275
139,1,messageSent_19413001
317,1,add_4114383
317,1,equals_10222579
317,1,store_20787007
317,1,deleteCascade_34604973
317,1,BFSdist_44521080
317,1,setGenJarDir_31789275
106,1,setPhoto_50994916
106,1,searchRecipe_18421665
106,1,BFSdist_44521080
106,1,appendDeclarations_36405409
106,1,testNegativeParseCases_31696447
106,1,go_14477536
106,1,getImageWithSource_1782360
106,1,test_10_bug2689872_19498280
133,1,setPhoto_50994916
133,1,go_14477536
133,1,testNegativeParseCases_31696447
133,1,messageSent_19413001
133,1,BFSdist_44521080
133,1,actionPerformed_12725774
133,1,getBackCommand2_29601536
133,1,equals_10222579
166,1,add_4114383
166,1,equals_10222579
166,1,getBackCommand2_29601536
166,1,appendDeclarations_36405409
166,1,BFSdist_44521080
166,1,showLatestPlan_18418213
166,1,updateSchema_4627680
166,1,setPhoto_50994916
166,1,testNegativeParseCases_31696447
166,1,compareTo_17121898
166,1,testOneTwoThreeCreateCycle_19507735
111,1,go_14477536
111,1,actionPerformed_12725774
111,1,setUpMrj_14467418
111,1,updateGain_26215341
111,1,BFSdist_44521080
111,1,appendDeclarations_36405409
111,1,setGenJarDir_31789275
111,1,testOneTwoThreeCreateCycle_19507735
111,1,add_4114383
111,1,testNegativeParseCases_31696447
182,1,invalidateSession_18354735
182,1,appendDeclarations_36405409
182,1,setGenJarDir_31789275
182,1,getUserNameFromCookie_1694531
182,1,updateGain_26215341
182,1,getImageWithSource_1782360
182,1,BFSdist_44521080
189,1,abstractMatrix3D_12723449
189,1,go_14477536
189,1,testNegativeParseCases_31696447
189,1,getNAGString_43137003
189,1,actionPerformed_12725774
129,1,BFSdist_44521080
129,1,actionPerformed_12725774
129,1,abstractMatrix3D_12723449
117,1,swapItems_36634895
117,1,messageSent_19413001
117,1,setGenJarDir_31789275
155,1,add_4114383
311,1,testSetWelcomeMsg_33719869
311,1,setGenJarDir_31789275
311,1,addRotation_23014476
311,1,clearFieldersFromField_45147874
311,1,testSetExample_50891793
311,1,liesBetween_39299426
311,1,BFSdist_44521080
311,1,add_4114383
311,1,actionPerformed_12725774
311,1,go_14477536
176,1,searchRecipe_18421665
176,1,setGenJarDir_31789275
176,1,store_20787007
310,1,testMoveRFWithNullContainer_19507414
310,1,actionPerformed_12725774
310,1,testNegativeParseCases_31696447
310,1,BFSdist_44521080
310,1,updateGain_26215341
143,1,testOneTwoThreeCreateCycle_19507735
143,1,getNAGString_43137003
143,1,selectBracketingEntries_40936756
143,1,getEffect_47571922
143,1,equals_10222579
